geoid,countyfp,tot_elignonreg_prc_final,unreliable_flag
6067002300,67,0.10432414545454599,0
6067002400,67,0.0364869610636277,0
6067009004,67,0.230052358049432,0
6067008913,67,0.244397722122838,0
6067008910,67,0.240859138888889,0
6067008911,67,0.284466106870229,0
6067009504,67,0.402726939704209,0
6067009322,67,0.357150785201963,0
6067009503,67,0.354173115942029,0
6067009502,67,0.33921376783398194,0
6067009006,67,0.3257230680173661,0
6067009005,67,0.332283408748115,0
6067009108,67,0.254357378531073,0
6067009109,67,0.240140393667095,0
6067009111,67,0.31385004145937,0
6067007017,67,0.34982259699129103,0
6067007015,67,0.24816437869822505,0
6067008513,67,0.19718113174182106,0
6067007107,67,0.253644859685147,0
6067002500,67,0.0,1
6067003900,67,0.113481590330789,0
6067004005,67,0.163966270928463,0
6067004004,67,0.19900891221373998,0
6067004001,67,0.178208713789108,0
6067005403,67,0.25124707165109,0
6067005402,67,0.451525507246377,0
6067005404,67,0.15671512461059198,0
6067004401,67,0.318979864498645,0
6067004203,67,0.39622788182831703,0
6067004300,67,0.29620919494344605,0
6067004100,67,0.307350298769772,0
6067004202,67,0.3497149030732861,0
6067004012,67,0.251979283154122,0
6067005502,67,0.3239430744336569,0
6067004006,67,0.26987947274352103,0
6067005601,67,0.326169714285714,0
6067004402,67,0.330971147540984,0
6067004601,67,0.433557140637141,0
6067004602,67,0.38069439672801597,0
6067004801,67,0.4049145966958211,0
6067005201,67,0.5676089517078922,0
6067004904,67,0.312900820244328,0
6067004903,67,0.36384183312782603,0
6067004802,67,0.38267461682243,0
6067005202,67,0.268380655534941,0
6067005605,67,0.16797370666666694,0
6067003101,67,0.307273632958802,0
6067005701,67,0.0833140595497457,0
6067005606,67,0.276165746124031,0
6067005702,67,0.0,1
6067005801,67,0.21572701396753505,0
6067002900,67,0.1915244266666669,0
6067003000,67,0.32465813852813796,0
6067003102,67,0.21245469654528493,0
6067002800,67,0.253649359605911,0
6067004905,67,0.37011775518847995,0
6067005101,67,0.34073061538461497,0
6067005002,67,0.406580584063413,0
6067004906,67,0.32879984891407,0
6067002200,67,0.178051394621639,0
6067004008,67,0.11805895522388099,0
6067004011,67,0.146522911392405,0
6067004010,67,0.292730640860215,0
6067004009,67,0.23153367231638397,0
6067003502,67,0.23863056360708496,0
6067003300,67,0.12677922339889,0
6067003400,67,0.16279078974359001,0
6067003800,67,0.34445869812145,0
6067003700,67,0.31073238095238104,0
6067002100,67,0.24648731656184505,0
6067007207,67,0.32334567699836897,0
6067005804,67,0.0,1
6067005803,67,0.00912259389671359,0
6067007206,67,0.22228560827250599,0
6067007209,67,0.33994917948717995,0
6067007402,67,0.350290665044607,0
6067007208,67,0.305883278867102,0
6067007204,67,0.2307623461091749,0
6067007403,67,0.381646312399356,0
6067007414,67,0.396403413136894,0
6067007416,67,0.387356142625608,0
6067007413,67,0.40012063319764796,0
6067007417,67,0.380621348484849,0
6067007422,67,0.310405635738832,0
6067007421,67,0.26767149253731304,0
6067006102,67,0.2983612573673869,0
6067006002,67,0.169377212121212,0
6067006101,67,0.266509153206069,0
6067006201,67,0.24072122395833306,0
