geoid,countyfp,prcdisabled_final,unreliable_flag
6067002300,67,0.054656755575,0
6067002400,67,0.0359381529461,1
6067009004,67,0.15956043956,0
6067008913,67,0.11721183800599999,0
6067008910,67,0.12472647702400001,0
6067008911,67,0.122926093514,0
6067009504,67,0.12016129032299999,0
6067009322,67,0.0874684608915,0
6067009503,67,0.173197047132,0
6067009502,67,0.12114065180099999,0
6067009006,67,0.17210144927499998,0
6067009005,67,0.163522012579,0
6067009108,67,0.116465863454,0
6067009109,67,0.0821196157422,0
6067009111,67,0.0920598388953,0
6067007017,67,0.0358056265985,1
6067007015,67,0.0832201086957,0
6067008513,67,0.026369168357,0
6067007107,67,0.0490107913669,0
6067002500,67,0.0498177399757,1
6067003900,67,0.0527690700104,0
6067004005,67,0.07301066447910001,0
6067004004,67,0.0750378979282,0
6067004001,67,0.127914110429,0
6067005403,67,0.0337552742616,1
6067005402,67,0.0520020800832,0
6067005404,67,0.0507246376812,0
6067004401,67,0.18721461187199998,0
6067004203,67,0.113320079523,0
6067004300,67,0.148201736255,0
6067004100,67,0.188049209139,0
6067004202,67,0.108695652174,0
6067004012,67,0.0658472344162,0
6067005502,67,0.09916881627969999,0
6067004006,67,0.058483754512599996,0
6067005601,67,0.120356037152,0
6067004402,67,0.139525845317,0
6067004601,67,0.120124113475,0
6067004602,67,0.134899328859,0
6067004801,67,0.148696682464,0
6067005201,67,0.0925039872408,0
6067004904,67,0.12034632034600001,0
6067004903,67,0.18104495747299998,0
6067004802,67,0.10514624213300001,0
6067005202,67,0.0254196642686,1
6067005605,67,0.0903614457831,0
6067003101,67,0.165196078431,0
6067005701,67,0.032066508313500004,1
6067005606,67,0.0901838362817,0
6067005702,67,0.09221311475410003,0
6067005801,67,0.0825199645075,0
6067002900,67,0.0552316661553,0
6067003000,67,0.189798339265,0
6067003102,67,0.0838825644098,0
6067002800,67,0.21323529411800002,0
6067004905,67,0.15753781950999998,0
6067005101,67,0.18887555022,0
6067005002,67,0.279776847978,0
6067004906,67,0.136315228967,0
6067002200,67,0.20446584938700002,0
6067004008,67,0.0548064375816,0
6067004011,67,0.07237189646060001,0
6067004010,67,0.218840115348,0
6067004009,67,0.10758323058000001,1
6067003502,67,0.13935969868200002,0
6067003300,67,0.0638841567291,0
6067003400,67,0.171428571429,0
6067003800,67,0.138619509412,0
6067003700,67,0.17695814339000002,0
6067002100,67,0.108019639935,0
6067007207,67,0.12895841282,0
6067005804,67,0.00965406275141,1
6067005803,67,0.061431623931599996,0
6067007206,67,0.0952588081775,0
6067007209,67,0.23198198198199999,0
6067007402,67,0.12792260145099998,0
6067007208,67,0.0649779735683,0
6067007204,67,0.0656779661017,0
6067007403,67,0.116549295775,0
6067007414,67,0.109420289855,0
6067007416,67,0.135658914729,0
6067007413,67,0.208069620253,0
6067007417,67,0.0646861523718,0
6067007422,67,0.0600139567341,0
6067007421,67,0.06572349570199999,0
6067006102,67,0.139047619048,0
6067006002,67,0.105053720653,0
6067006101,67,0.13367942894200002,0
6067006201,67,0.138547486034,0
6067006003,67,0.0995145631068,0
6067005901,67,0.148360394779,0
6067007904,67,0.101197982346,0
6067007701,67,0.123736751294,0
6067007802,67,0.200203252033,0
6067007801,67,0.09966371140319999,0
6067007905,67,0.113608992373,0
6067007702,67,0.144788486699,0
6067007601,67,0.045885286782999996,0
6067006202,67,0.15038314176200002,0
6067006400,67,0.144832126399,0
6067006300,67,0.142517814727,0
6067006701,67,0.0787046525927,0
6067006600,67,0.151915812196,0
6067006500,67,0.12041487477900001,0
6067006800,67,0.218213814342,0
6067006702,67,0.11722866174900001,0
6067008007,67,0.0400210637177,1
6067008006,67,0.064829821718,0
6067008005,67,0.136159804321,0
6067008009,67,0.07756813417189999,0
6067008117,67,0.158637873754,0
6067008113,67,0.150234741784,0
6067008120,67,0.144237405107,0
6067008119,67,0.169106662683,0
6067008111,67,0.11553030302999999,0
6067008010,67,0.0601710445938,1
6067007004,67,0.0816901408451,0
6067006900,67,0.21026974325599998,0
6067007001,67,0.10786250493899999,0
6067007007,67,0.08002520478889999,0
6067007501,67,0.181328545781,0
6067007503,67,0.155671108222,0
6067007504,67,0.133233532934,0
6067007013,67,0.0982355746304,0
6067007010,67,0.059583632448,0
6067007012,67,0.145,0
6067007011,67,0.0978956999085,0
6067007014,67,0.098745114174,0
6067007202,67,0.163425925926,0
6067009900,67,0.169291338583,0
6067009606,67,0.183678625568,0
6067000100,67,0.0746336996337,0
6067007429,67,0.10737833595,0
6067007426,67,0.09577677224739999,0
