provider,lat,lon,num_stops_per_day,score,id,geometry,in_county
ST-GTFS_transit_score.csv,37.250304,-122.392496,2,1,0,POINT (-122.392496 37.250304),True
ST-GTFS_transit_score.csv,37.250542,-122.392345,2,1,1,POINT (-122.392345 37.250542),True
ST-GTFS_transit_score.csv,37.251775,-122.382835,4,1,2,POINT (-122.382835 37.251775),True
ST-GTFS_transit_score.csv,37.259674,-122.412919,2,1,3,POINT (-122.412919 37.259674),True
ST-GTFS_transit_score.csv,37.259815,-122.413015,2,1,4,POINT (-122.413015 37.259815),True
ST-GTFS_transit_score.csv,37.324404,-122.399359,2,1,5,POINT (-122.399359 37.324404),True
ST-GTFS_transit_score.csv,37.32686,-122.386755,2,1,6,POINT (-122.386755 37.32686),True
ST-GTFS_transit_score.csv,37.367887,-122.211422,8,2,7,POINT (-122.211422 37.367887),True
ST-GTFS_transit_score.csv,37.37151,-122.208598,1,1,8,POINT (-122.208598 37.37151),True
ST-GTFS_transit_score.csv,37.371593,-122.208237,3,1,9,POINT (-122.208237 37.371593),True
ST-GTFS_transit_score.csv,37.37208,-122.208772,4,1,10,POINT (-122.208772 37.37208),True
ST-GTFS_transit_score.csv,37.372095,-122.208537,7,2,11,POINT (-122.208537 37.372095),True
ST-GTFS_transit_score.csv,37.37455300000001,-122.215169,4,1,12,POINT (-122.215169 37.37455300000001),True
ST-GTFS_transit_score.csv,37.374892,-122.215484,7,2,13,POINT (-122.215484 37.374892),True
ST-GTFS_transit_score.csv,37.375424,-122.219051,4,1,14,POINT (-122.219051 37.375424),True
ST-GTFS_transit_score.csv,37.375478,-122.219486,7,2,15,POINT (-122.219486 37.375478),True
ST-GTFS_transit_score.csv,37.377083,-122.19961200000002,4,1,16,POINT (-122.199612 37.377083),True
ST-GTFS_transit_score.csv,37.37912,-122.224792,1,1,17,POINT (-122.224792 37.37912),True
ST-GTFS_transit_score.csv,37.379265,-122.224677,6,2,18,POINT (-122.224677 37.379265),True
ST-GTFS_transit_score.csv,37.381059,-122.226791,2,1,19,POINT (-122.226791 37.381059),True
ST-GTFS_transit_score.csv,37.381312,-122.217796,7,2,20,POINT (-122.217796 37.381312),True
ST-GTFS_transit_score.csv,37.381765,-122.194685,4,1,21,POINT (-122.194685 37.381765),True
ST-GTFS_transit_score.csv,37.382304,-122.228961,8,2,22,POINT (-122.228961 37.382304),True
ST-GTFS_transit_score.csv,37.382304,-122.194356,4,1,23,POINT (-122.194356 37.382304),True
ST-GTFS_transit_score.csv,37.382959,-122.232229,2,1,24,POINT (-122.232229 37.382959),True
ST-GTFS_transit_score.csv,37.383067,-122.232049,6,2,25,POINT (-122.232049 37.383067),True
ST-GTFS_transit_score.csv,37.383539,-122.215994,6,2,26,POINT (-122.215994 37.383539),True
ST-GTFS_transit_score.csv,37.383944,-122.234296,3,1,27,POINT (-122.234296 37.383944),True
ST-GTFS_transit_score.csv,37.38464000000001,-122.219209,6,2,28,POINT (-122.219209 37.38464000000001),True
ST-GTFS_transit_score.csv,37.385354,-122.222421,5,2,29,POINT (-122.222421 37.385354),True
ST-GTFS_transit_score.csv,37.386894,-122.264585,4,1,30,POINT (-122.264585 37.386894),True
ST-GTFS_transit_score.csv,37.387252,-122.237546,2,1,31,POINT (-122.237546 37.387252),True
ST-GTFS_transit_score.csv,37.38760300000001,-122.237656,6,2,32,POINT (-122.237656 37.38760300000001),True
ST-GTFS_transit_score.csv,37.388286,-122.263364,1,1,33,POINT (-122.263364 37.388286),True
ST-GTFS_transit_score.csv,37.388365,-122.263322,4,1,34,POINT (-122.263322 37.388365),True
ST-GTFS_transit_score.csv,37.391493,-122.24102,6,2,35,POINT (-122.24102 37.391493),True
ST-GTFS_transit_score.csv,37.392793,-122.26134,4,1,36,POINT (-122.26134 37.392793),True
ST-GTFS_transit_score.csv,37.392877,-122.190863,4,1,37,POINT (-122.190863 37.392877),True
ST-GTFS_transit_score.csv,37.39340900000001,-122.190921,4,1,38,POINT (-122.190921 37.39340900000001),True
