provider,lat,lon,num_stops_per_day,score,id,geometry,in_county
GTFSTransitData_VN_transit_score.csv,38.290833,-122.31,39,4,69,POINT (-122.31 38.290833),True
GTFSTransitData_VN_transit_score.csv,38.291111,-122.293611,39,4,70,POINT (-122.293611 38.291111),True
GTFSTransitData_VN_transit_score.csv,38.291111,-122.291944,39,4,71,POINT (-122.291944 38.291111),True
GTFSTransitData_VN_transit_score.csv,38.291111,-122.289444,39,4,72,POINT (-122.289444 38.291111),True
GTFSTransitData_VN_transit_score.csv,38.291944,-122.277778,36,4,74,POINT (-122.277778 38.291944),True
GTFSTransitData_VN_transit_score.csv,38.291944,-122.2775,61,4,75,POINT (-122.2775 38.291944),True
GTFSTransitData_VN_transit_score.csv,38.292222,-122.294167,39,4,76,POINT (-122.294167 38.292222),True
GTFSTransitData_VN_transit_score.csv,38.293056,-122.31,39,4,77,POINT (-122.31 38.293056),True
GTFSTransitData_VN_transit_score.csv,38.293333,-122.284722,39,4,78,POINT (-122.284722 38.293333),True
GTFSTransitData_VN_transit_score.csv,38.293333,-122.269444,39,4,79,POINT (-122.269444 38.293333),True
GTFSTransitData_VN_transit_score.csv,38.294444,-122.312778,39,4,80,POINT (-122.312778 38.294444),True
GTFSTransitData_VN_transit_score.csv,38.295,-122.302222,39,4,81,POINT (-122.302222 38.295),True
GTFSTransitData_VN_transit_score.csv,38.295,-122.286667,39,4,82,POINT (-122.286667 38.295),True
GTFSTransitData_VN_transit_score.csv,38.295556,-122.2925,65,4,83,POINT (-122.2925 38.295556),True
GTFSTransitData_VN_transit_score.csv,38.295556,-122.284444,39,4,84,POINT (-122.284444 38.295556),True
GTFSTransitData_VN_transit_score.csv,38.296111,-122.305556,39,4,85,POINT (-122.305556 38.296111),True
GTFSTransitData_VN_transit_score.csv,38.296111,-122.285,39,4,86,POINT (-122.285 38.296111),True
GTFSTransitData_VN_transit_score.csv,38.296354,-122.286277,35,4,87,POINT (-122.286277 38.296354),True
GTFSTransitData_VN_transit_score.csv,38.296513,-122.2948694,30,4,88,POINT (-122.2948694 38.296513),True
GTFSTransitData_VN_transit_score.csv,38.296944,-122.299722,30,4,89,POINT (-122.299722 38.296944),True
GTFSTransitData_VN_transit_score.csv,38.296944,-122.269444,39,4,90,POINT (-122.269444 38.296944),True
GTFSTransitData_VN_transit_score.csv,38.2971109,-122.2860503,39,4,91,POINT (-122.2860503 38.2971109),True
GTFSTransitData_VN_transit_score.csv,38.297433,-122.28482,65,4,92,POINT (-122.28482 38.29743300000001),True
GTFSTransitData_VN_transit_score.csv,38.2975,-122.314167,39,4,93,POINT (-122.314167 38.2975),True
GTFSTransitData_VN_transit_score.csv,38.2975,-122.308056,39,4,94,POINT (-122.308056 38.2975),True
GTFSTransitData_VN_transit_score.csv,38.2975,-122.28,673,4,95,POINT (-122.28 38.2975),True
GTFSTransitData_VN_transit_score.csv,38.298056,-122.298611,69,4,96,POINT (-122.298611 38.298056),True
