idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
421,-122.2987806,38.29816756,0.41025641,0.695238095,0.0,0.282051282,0.435897436,0.102564103,0.769230769,0.307692308,0.025641026,0.58974359,0.057142857,0.0,0.119047619,0.120722135
398,-122.2985586,38.2909731,0.41025641,0.742857143,0.630685921,0.282051282,0.435897436,0.102564103,0.769230769,0.307692308,0.025641026,0.58974359,0.057142857,0.0,0.119047619,0.120722135
375,-122.2983366,38.28377864,0.41025641,0.304761905,0.703610108,0.282051282,0.435897436,0.102564103,0.769230769,0.307692308,0.025641026,0.58974359,0.057142857,0.0,0.119047619,0.120722135
422,-122.2896246,38.29834169,0.384615385,0.980952381,0.492418773,1.0,0.948717949,1.0,0.743589744,0.897435897,0.564102564,0.564102564,0.085714286,0.066666667,0.182637363,0.197205652
376,-122.2891823,38.28395273,0.153846154,0.380952381,0.781227437,0.897435897,0.794871795,0.846153846,0.666666667,0.820512821,0.282051282,0.923076923,0.180952381,0.257142857,0.187032967,0.194379906
399,-122.2894034,38.29114721,0.153846154,0.657142857,0.591696751,0.897435897,0.794871795,0.846153846,0.666666667,0.820512821,0.282051282,0.923076923,0.238095238,0.238095238,0.186080586,0.193563579
423,-122.2804685,38.29851512,0.769230769,0.80952381,0.968592058,0.871794872,0.615384615,0.743589744,0.948717949,0.769230769,0.846153846,0.769230769,0.295238095,0.580952381,0.236556777,0.229136578
400,-122.2802482,38.29132062,0.769230769,0.80952381,0.449819495,0.871794872,0.615384615,0.743589744,0.948717949,0.769230769,0.846153846,0.769230769,0.295238095,0.580952381,0.236556777,0.229136578
377,-122.280028,38.28412613,0.769230769,0.80952381,0.449819495,0.871794872,0.615384615,0.743589744,0.948717949,0.769230769,0.846153846,0.769230769,0.295238095,0.580952381,0.236556777,0.229136578
401,-122.271093,38.29149334,0.769230769,0.80952381,0.518050542,0.871794872,0.615384615,0.743589744,0.948717949,0.769230769,0.846153846,0.769230769,0.295238095,0.580952381,0.236556777,0.229136578
378,-122.2708736,38.28429883,0.769230769,0.647619048,0.920577617,0.871794872,0.615384615,0.743589744,0.948717949,0.769230769,0.846153846,0.769230769,0.552380952,0.438095238,0.229413919,0.223014129
379,-122.2617192,38.28447084,0.358974359,0.361904762,0.646931408,0.512820513,0.666666667,0.897435897,0.717948718,0.333333333,0.205128205,0.102564103,0.314285714,0.371428571,0.131208791,0.141036107
446,-122.2806888,38.30570963,0.743589744,0.20952381,0.51299639,0.205128205,0.358974359,0.461538462,0.333333333,0.128205128,0.230769231,0.820512821,0.542857143,0.628571429,0.146630037,0.141067504
447,-122.2715317,38.30588238,0.743589744,0.20952381,0.785559567,0.205128205,0.358974359,0.461538462,0.333333333,0.128205128,0.230769231,0.820512821,0.542857143,0.628571429,0.146630037,0.141067504
424,-122.2713123,38.29868786,0.743589744,0.628571429,0.526353791,0.205128205,0.358974359,0.461538462,0.333333333,0.128205128,0.230769231,0.820512821,0.39047619,0.342857143,0.132344322,0.128822606
506,-122.299447,38.319751,0.58974359,0.857142857,0.555234657,0.538461538,0.769230769,0.179487179,0.974358974,0.948717949,0.333333333,0.897435897,0.428571429,0.333333333,0.189560439,0.19544741
467,-122.2992248,38.31255651,0.58974359,0.885714286,0.964620939,0.538461538,0.769230769,0.179487179,0.974358974,0.948717949,0.333333333,0.897435897,0.514285714,0.361904762,0.190989011,0.196671899
444,-122.2990027,38.30536203,0.58974359,0.619047619,0.853429603,0.538461538,0.769230769,0.179487179,0.974358974,0.948717949,0.333333333,0.897435897,0.371428571,0.533333333,0.199560439,0.204018838
445,-122.2898458,38.30553618,0.025641026,0.761904762,0.637906137,0.794871795,0.41025641,0.974358974,0.846153846,0.846153846,0.923076923,0.41025641,0.504761905,0.428571429,0.205860806,0.194034537
468,-122.290067,38.31273067,0.923076923,0.476190476,0.632490975,0.769230769,0.820512821,0.0,0.794871795,0.794871795,0.076923077,0.794871795,0.657142857,0.657142857,0.1903663,0.19833595
507,-122.2902882,38.31992518,0.923076923,0.895238095,0.797833935,0.769230769,0.820512821,0.0,0.794871795,0.794871795,0.076923077,0.794871795,0.714285714,0.723809524,0.193699634,0.201193093
469,-122.2809091,38.31290414,0.307692308,0.180952381,0.623826715,0.461538462,0.974358974,0.512820513,0.897435897,0.871794872,0.769230769,0.846153846,0.495238095,0.457142857,0.207289377,0.219434851
622,-122.3184363,38.34098395,0.871794872,0.257142857,0.660288809,0.58974359,0.256410256,0.205128205,0.615384615,0.58974359,0.41025641,0.512820513,0.771428571,0.8,0.186410256,0.170769231
544,-122.3088287,38.3267706,0.871794872,0.714285714,0.60866426,0.58974359,0.256410256,0.205128205,0.615384615,0.58974359,0.41025641,0.512820513,0.123809524,0.180952381,0.151172161,0.140565149
583,-122.3090518,38.33396508,0.871794872,0.352380952,0.56101083,0.58974359,0.256410256,0.205128205,0.615384615,0.58974359,0.41025641,0.512820513,0.761904762,0.761904762,0.184981685,0.169544741
582,-122.3182122,38.33378948,0.871794872,0.352380952,0.658483755,0.58974359,0.256410256,0.205128205,0.615384615,0.58974359,0.41025641,0.512820513,0.761904762,0.761904762,0.184981685,0.169544741
546,-122.2905096,38.32711969,0.846153846,0.942857143,0.903249097,0.846153846,0.384615385,0.333333333,0.487179487,0.256410256,0.051282051,0.641025641,0.847619048,0.952380952,0.197472527,0.185745683
545,-122.2996692,38.32694549,0.846153846,0.942857143,0.903610108,0.846153846,0.384615385,0.333333333,0.487179487,0.256410256,0.051282051,0.641025641,0.847619048,0.952380952,0.197472527,0.185745683
465,-122.3175403,38.3122061,0.820512821,0.247619048,0.945848375,0.923076923,0.923076923,0.820512821,0.820512821,0.461538462,0.692307692,0.743589744,0.60952381,0.676190476,0.228498169,0.235416013
504,-122.3177642,38.31940055,0.820512821,0.228571429,0.90433213,0.923076923,0.923076923,0.820512821,0.820512821,0.461538462,0.692307692,0.743589744,0.638095238,0.59047619,0.224212454,0.231742543
466,-122.3083826,38.31238166,0.820512821,0.228571429,0.600722022,0.923076923,0.923076923,0.820512821,0.820512821,0.461538462,0.692307692,0.743589744,0.638095238,0.59047619,0.224212454,0.231742543
505,-122.3086056,38.31957612,0.820512821,0.59047619,0.437545126,0.923076923,0.923076923,0.820512821,0.820512821,0.461538462,0.692307692,0.743589744,0.676190476,0.40952381,0.215164835,0.223987441
443,-122.3081596,38.30518719,0.333333333,0.40952381,0.584476534,0.358974359,0.076923077,0.692307692,0.692307692,0.564102564,0.307692308,0.333333333,0.580952381,0.695238095,0.155091575,0.136232339
581,-122.3273726,38.33361318,0.564102564,0.438095238,0.889530686,0.307692308,0.179487179,0.564102564,0.461538462,0.0,0.58974359,0.384615385,0.933333333,0.923809524,0.178608059,0.160784929
542,-122.3271477,38.32641873,0.564102564,0.076190476,0.706859206,0.307692308,0.179487179,0.564102564,0.461538462,0.0,0.58974359,0.384615385,0.8,0.828571429,0.166227106,0.150172685
543,-122.3179882,38.32659501,0.487179487,0.8,0.706859206,0.948717949,0.153846154,0.153846154,0.41025641,0.205128205,0.0,0.025641026,0.79047619,0.819047619,0.149230769,0.134505495
503,-122.3269228,38.31922429,0.487179487,0.142857143,0.616967509,0.948717949,0.153846154,0.153846154,0.41025641,0.205128205,0.0,0.025641026,0.733333333,0.714285714,0.141611722,0.127974882
374,-122.3074909,38.28360385,0.948717949,0.580952381,0.711913357,0.615384615,0.641025641,0.58974359,0.384615385,0.025641026,0.974358974,0.358974359,0.723809524,0.704761905,0.187619048,0.188288854
350,-122.2981147,38.27658418,0.948717949,0.571428571,0.988086643,0.615384615,0.641025641,0.58974359,0.384615385,0.025641026,0.974358974,0.358974359,0.323809524,0.666666667,0.185714286,0.186656201
440,-122.33563,38.30465851,0.205128205,0.4,0.570036101,0.717948718,0.051282051,0.871794872,0.358974359,0.358974359,0.487179487,0.230769231,0.828571429,0.904761905,0.174505495,0.15177394
420,-122.3079366,38.29799274,0.512820513,0.533333333,0.639711191,0.692307692,0.743589744,0.641025641,1.0,1.0,0.666666667,0.666666667,0.59047619,0.504761905,0.212234432,0.21378336
397,-122.3077137,38.29079829,0.512820513,0.066666667,0.872202166,0.692307692,0.743589744,0.641025641,1.0,1.0,0.666666667,0.666666667,0.485714286,0.285714286,0.201282051,0.204395604
353,-122.2706543,38.27710433,0.025641026,0.961904762,0.409025271,0.666666667,1.0,0.666666667,0.102564103,0.666666667,1.0,0.615384615,0.057142857,0.0,0.154945055,0.17566719
354,-122.2615008,38.27727632,0.025641026,0.961904762,0.0,0.666666667,1.0,0.666666667,0.102564103,0.666666667,1.0,0.615384615,0.057142857,0.0,0.154945055,0.17566719
329,-122.2704351,38.26990983,0.025641026,0.961904762,0.0,0.666666667,1.0,0.666666667,0.102564103,0.666666667,1.0,0.615384615,0.057142857,0.0,0.154945055,0.17566719
190,-122.2506086,38.21989153,0.666666667,0.514285714,0.0,0.333333333,0.717948718,0.538461538,0.256410256,0.743589744,0.717948718,0.487179487,0.780952381,0.771428571,0.171648352,0.177896389
172,-122.2412457,38.2128675,0.666666667,0.514285714,0.0,0.333333333,0.717948718,0.538461538,0.256410256,0.743589744,0.717948718,0.487179487,0.780952381,0.771428571,0.171648352,0.177896389
63,-122.239949,38.16970058,0.666666667,0.514285714,0.0,0.333333333,0.717948718,0.538461538,0.256410256,0.743589744,0.717948718,0.487179487,0.780952381,0.771428571,0.171648352,0.177896389
171,-122.2503914,38.21269704,0.666666667,0.514285714,0.369314079,0.333333333,0.717948718,0.538461538,0.256410256,0.743589744,0.717948718,0.487179487,0.780952381,0.771428571,0.171648352,0.177896389
82,-122.2493063,38.17672468,0.666666667,0.552380952,0.444043321,0.333333333,0.717948718,0.538461538,0.256410256,0.743589744,0.717948718,0.487179487,0.961904762,1.0,0.185934066,0.190141287
62,-122.2490894,38.16953022,0.666666667,0.552380952,0.610469314,0.333333333,0.717948718,0.538461538,0.256410256,0.743589744,0.717948718,0.487179487,0.961904762,1.0,0.185934066,0.190141287
42,-122.2488726,38.16233577,0.974358974,0.20952381,0.909747292,0.076923077,0.871794872,0.717948718,0.435897436,0.692307692,0.538461538,0.871794872,0.866666667,0.971428571,0.187582418,0.198147567
43,-122.2397331,38.16250611,0.974358974,0.057142857,0.806498195,0.076923077,0.871794872,0.717948718,0.435897436,0.692307692,0.538461538,0.871794872,0.942857143,0.99047619,0.191391941,0.201412873
19,-122.2395171,38.15531164,0.974358974,0.057142857,0.984476534,0.076923077,0.871794872,0.717948718,0.435897436,0.692307692,0.538461538,0.871794872,0.942857143,0.99047619,0.191391941,0.201412873
207,-122.2691205,38.22674297,0.102564103,1.0,0.0,0.128205128,0.128205128,0.615384615,0.307692308,0.435897436,0.461538462,0.307692308,0.904761905,0.876190476,0.146446887,0.131020408
208,-122.2599731,38.22691484,0.102564103,1.0,0.0,0.128205128,0.128205128,0.615384615,0.307692308,0.435897436,0.461538462,0.307692308,0.904761905,0.876190476,0.146446887,0.131020408
245,-122.2695585,38.2411319,0.102564103,1.0,0.0,0.128205128,0.128205128,0.615384615,0.307692308,0.435897436,0.461538462,0.307692308,0.904761905,0.876190476,0.146446887,0.131020408
188,-122.2689015,38.21954851,0.102564103,1.0,0.0,0.128205128,0.128205128,0.615384615,0.307692308,0.435897436,0.461538462,0.307692308,0.904761905,0.876190476,0.146446887,0.131020408
99,-122.2586654,38.18374806,0.102564103,1.0,0.396028881,0.128205128,0.128205128,0.615384615,0.307692308,0.435897436,0.461538462,0.307692308,0.904761905,0.876190476,0.146446887,0.131020408
80,-122.2675887,38.17638186,0.102564103,1.0,0.889530686,0.128205128,0.128205128,0.615384615,0.307692308,0.435897436,0.461538462,0.307692308,0.904761905,0.876190476,0.146446887,0.131020408
81,-122.2584475,38.17655362,0.435897436,0.038095238,0.808303249,0.051282051,0.512820513,0.948717949,0.538461538,0.384615385,0.256410256,0.717948718,0.923809524,0.914285714,0.165824176,0.16411303
61,-122.2582298,38.16935918,0.435897436,0.304761905,0.706859206,0.051282051,0.512820513,0.948717949,0.538461538,0.384615385,0.256410256,0.717948718,0.952380952,0.933333333,0.169157509,0.166970173
60,-122.2673701,38.16918743,0.435897436,0.304761905,0.89133574,0.051282051,0.512820513,0.948717949,0.538461538,0.384615385,0.256410256,0.717948718,0.952380952,0.933333333,0.169157509,0.166970173
41,-122.258012,38.16216474,0.615384615,0.0,0.698916968,0.0,0.487179487,0.769230769,0.512820513,0.512820513,0.384615385,0.538461538,0.971428571,0.961904762,0.168937729,0.165682889
439,-122.3447867,38.30448089,0.282051282,0.323809524,0.73898917,0.153846154,0.102564103,0.487179487,0.076923077,0.179487179,0.820512821,0.692307692,0.161904762,0.314285714,0.138608059,0.123202512
462,-122.3450133,38.31167528,0.282051282,0.085714286,0.670758123,0.153846154,0.102564103,0.487179487,0.076923077,0.179487179,0.820512821,0.692307692,0.066666667,0.076190476,0.126703297,0.11299843
541,-122.3363071,38.32624176,0.230769231,0.819047619,0.0,0.256410256,0.333333333,0.025641026,0.025641026,0.41025641,0.897435897,0.435897436,0.2,0.276190476,0.13029304,0.125965463
621,-122.3275975,38.34080763,0.897435897,0.457142857,0.954151625,0.641025641,0.205128205,0.282051282,0.564102564,0.641025641,0.641025641,0.051282051,0.380952381,0.619047619,0.161538462,0.147252747
661,-122.3278225,38.3480021,0.897435897,0.495238095,0.409025271,0.641025641,0.205128205,0.282051282,0.564102564,0.641025641,0.641025641,0.051282051,0.104761905,0.2,0.140586081,0.129293564
