idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
421,-122.2987806,38.29816756,0.41025641,0.695238095,0.0,0.282051282,0.435897436,0.102564103,0.769230769,0.307692308,0.025641026,0.58974359,0.057142857,0.0,0.119047619,0.120722135
505,-122.3086056,38.31957612,0.820512821,0.59047619,0.437545126,0.923076923,0.923076923,0.820512821,0.820512821,0.461538462,0.692307692,0.743589744,0.676190476,0.40952381,0.215164835,0.223987441
61,-122.2582298,38.16935918,0.435897436,0.304761905,0.706859206,0.051282051,0.512820513,0.948717949,0.538461538,0.384615385,0.256410256,0.717948718,0.952380952,0.933333333,0.169157509,0.166970173
1555,-122.4610828,38.49654074,0.128205128,0.838095238,0.509747292,0.384615385,0.307692308,0.435897436,0.641025641,0.923076923,0.743589744,0.282051282,0.114285714,0.171428571,0.146849817,0.139058085
2412,-122.4281247,38.61239511,1.0,0.723809524,0.369314079,0.41025641,0.897435897,0.41025641,0.230769231,0.230769231,0.512820513,1.0,0.838095238,0.780952381,0.193406593,0.204238619
2170,-122.5834222,38.58038401,0.794871795,0.771428571,0.479422383,0.820512821,0.58974359,0.923076923,0.871794872,0.974358974,0.435897436,0.153846154,0.857142857,0.857142857,0.200769231,0.197362637
