gid,osm_id,code,fclass,name,lon,lat
2612,358764486,2082,school,Davis School,-122.3019189,38.3143584
3118,358769924,2082,school,Lutheran School,-122.2985853,38.2982478
3651,358776208,2082,school,Soda Canyon School,-122.2860856,38.3576905
10141,358832387,2082,school,Carneros Elementary School,-122.32053,38.2438049
31343,1347464428,2501,supermarket,Vallergas,-122.3107514,38.3198296
31345,1347464430,2501,supermarket,Whole Foods,-122.3063419,38.3232512
31348,1347464433,2501,supermarket,Trader Joe's,-122.3059235,38.3227883
66324,3715624080,2501,supermarket,Nob Hill,-122.2859373,38.3241936
66325,3715632816,2501,supermarket,Lucky Supermarket,-122.3017838,38.3234529
72842,4087973857,2402,motel,Napa Winery Inn,-122.3170988,38.3315648
72844,4087973859,2402,motel,Motel 6 Napa,-122.3093012,38.3198918
72845,4087973860,2402,motel,Chablis Inn,-122.3090411,38.31956
72846,4087973861,2402,motel,Chardonnay Lodge,-122.2964439,38.3124198
72848,4087973864,2402,motel,BEST WESTERN PLUS Elm House Inn,-122.3001447,38.2970151
72851,4087973869,2402,motel,Napa Discovery Inn,-122.275229,38.2942254
82728,4610501222,2082,school,River Middle School,-122.3031993,38.2873225
82729,4610501234,2082,school,Harvest Middle School,-122.3038745,38.2867081
82944,4615542659,2501,supermarket,Grocery Outlet,-122.290877,38.2809103
83245,4625801868,2082,school,Ox-Bow School of Art,-122.2790204,38.299249
6430,358805451,2082,school,Heritage School,-122.6252625,38.5821303
10129,358832335,2082,school,Calistoga Junior-Senior High School,-122.5808165,38.5840743
10133,358832359,2082,school,Palisades High School,-122.5808165,38.5837965
46366,2291453833,2402,motel,Eurospa and Inn,-122.5780663,38.5752868
2457,358762530,2082,school,Browns Valley Elementary School,-122.3397981,38.3047459
3106,358769746,2082,school,Los Amigos Elementary School,-122.3310858,38.2307497
3206,358770984,2082,school,Mont La Salle School,-122.388311,38.3360244
3229,358771290,2082,school,Mount Veeder School,-122.410534,38.3671347
72841,4087973856,2402,motel,BEST WESTERN PREMIER Ivy Hotel Napa,-122.3232133,38.3354299
82734,4610544349,2082,school,Nature's Way Montessori,-122.3169771,38.3018496
2702,358765504,2082,school,Enterprise School,-122.4516465,38.411578
2865,358767171,2082,school,Hardin School,-122.4016454,38.606295
2931,358767874,2082,school,Howell Mountain Elementary School,-122.4497018,38.5829623
3314,358772306,2082,school,Pacific Union College,-122.4404486,38.5702492
6433,358805472,2082,school,Pope Valley Elementary School,-122.4394238,38.623239
6472,358807220,2110,hospital,Saint Helena Hospital and Health Center,-122.4747023,38.5426856
10132,358832358,2082,school,Pacific Union College Elementary School,-122.4405349,38.5657405
10135,358832368,2082,school,Saint Helena Parochial School,-122.4697022,38.5032421
10139,358832379,2082,school,Madrone High School,-122.4619243,38.4974089
10140,358832382,2082,school,Saint Helena Senior High School,-122.4627577,38.4971311
12944,358851322,2110,hospital,California State Veterans Home,-122.3638661,38.3913006
22469,622778483,2501,supermarket,College Market,-122.4434981,38.5708674
2817,358766702,2082,school,Gordon Valley School,-122.1216365,38.3374121
2363,358761181,2082,school,Atlas Peak School,-122.2499743,38.4174108
2502,358763048,2082,school,Capell Elementary School,-122.2066405,38.452965
3902,358779214,2082,school,Wooden Valley Elementary School,-122.1852498,38.3774115
6468,358806895,2110,hospital,Napa State Hospital,-122.2664143,38.2780247
10142,358832403,2082,school,Napa Junction Elementary School,-122.2583045,38.1854732
2645,358764837,2082,school,Donaldson Way Elementary School,-122.2649712,38.1715847
10127,358832310,2082,school,Development Center for Handicapped Minors,-122.2566391,38.2793595
6432,358805470,2082,school,Monticello Elementary School,-122.2791435,38.6657381
20507,539791918,2001,police,Upper Valley Sheriffs Regional Stn,-122.5009542,38.527906
12941,358851316,2005,post_office,Imola Contact Station Post Office,-122.3038639,38.3463019
15284,368167635,2002,fire_station,Napa City Fire Station 1,-122.2908857,38.2968312
15286,368167639,2002,fire_station,Fire Station Number 2,-122.2999745,38.3118585
16002,368169939,2007,library,Napa County Law Library,-122.285628,38.2975863
20518,539833699,2002,fire_station,Carneros Vol. Fire Dept Stn 10,-122.3093683,38.2054494
20524,539867038,2002,fire_station,Napa City Fire Station 2,-122.3001365,38.3118369
20525,539867526,2001,police,Napa City Police Department,-122.2901298,38.296774
20526,539904564,2002,fire_station,Napa City Fire Station 3,-122.3182794,38.3304518
20528,539940698,2002,fire_station,Soda Canyon Vol. Fire Dept. Stn 13,-122.2952065,38.4099604
10130,358832336,2005,post_office,Calistoga Post Office,-122.5777609,38.578241
16000,368169937,2007,library,Calistoga Public Library,-122.5798099,38.5760844
16897,368171958,2008,town_hall,Calistoga City Hall,-122.5797054,38.5793521
20506,539762294,2001,police,Calistoga Police Department,-122.5799142,38.5786319
20510,539801432,2002,fire_station,Co. St Helena Fire Station 26,-122.512211,38.5478356
20523,539838166,2002,fire_station,Caneros. Vol. Fire Dept Satelite Stn,-122.336341,38.2548432
10128,358832331,2005,post_office,Angwin Post Office,-122.4434504,38.5703222
10136,358832369,2005,post_office,Saint Helena Post Office,-122.4715319,38.5057754
12938,358851309,2005,post_office,Rutherford Post Office,-122.4227568,38.4590766
12939,358851310,2005,post_office,Pope Valley Post Office,-122.4288681,38.6154615
12940,358851312,2005,post_office,Oakville Post Office,-122.4031273,38.4374886
12942,358851319,2005,post_office,Deer Park Post Office,-122.4758134,38.5418522
12943,358851320,2005,post_office,Veterans Home Post Office,-122.3638661,38.391292
16003,368169941,2007,library,Saint Helena Public Library,-122.4695657,38.5078554
16004,368169944,2007,library,W E Nelson Memorial Library,-122.4399849,38.5695001
16898,368171963,2008,town_hall,Saint Helena City Hall,-122.4716468,38.5062976
20500,539595057,2002,fire_station,Dry Creek/Lokoya Vol. Fire Station 16,-122.433831,38.4073899
20503,539633563,2002,fire_station,Co. Yountville Fire Station 12,-122.3573674,38.3949812
20504,539718471,2002,fire_station,Rutherford Vol. Fire Dept. Station 15,-122.423535,38.4589049
20505,539730838,2002,fire_station,Rutherford Vol. Fire Dept. Equip Barn,-122.3825327,38.470918
20508,539795203,2002,fire_station,St. Helena Fire Department,-122.4713004,38.5069233
20509,539795215,2001,police,St. Helena Police Department,-122.4712962,38.5062911
20511,539803679,2002,fire_station,Deer Park Volunteer Fire Department,-122.4756328,38.5446041
20512,539810508,2001,police,Upper Valley Sheriffs Regional Stn,-122.4417932,38.5723256
20513,539810531,2002,fire_station,Angwin Volunteer Fire Department,-122.4447006,38.5755888
20514,539821820,2002,fire_station,Co. Las Posadas Fire Station,-122.4187397,38.5632578
20517,539832105,2002,fire_station,Pope Valley Vol. Fire Dept. Stn 20,-122.4288596,38.6156085
20529,539946377,2002,fire_station,Capell Valley Volunteer Fire Dept,-122.2056451,38.4539471
20530,539946534,2002,fire_station,Co. Gordon Valley Fire Station 22,-122.1211347,38.3357773
20531,539946535,2002,fire_station,Gordon Valley Volunteer Fire Dept,-122.1210566,38.3357762
20532,539952302,2002,fire_station,Co. Spanish Flat Fire Station 24,-122.2330199,38.5379898
20533,539952304,2001,police,Napa County Sheriff Marine Unit,-122.2291404,38.5507412
20519,539834652,2001,police,Napa County Sheriff's Department,-122.2662769,38.2204575
20520,539834653,2002,fire_station,Co. Greenwood Ranch Fire Station 27,-122.2670977,38.2200192
20521,539834679,2002,fire_station,American Canyon Fire Department,-122.2481224,38.1714628
20527,539912229,2002,fire_station,Co. Napa Fire Station 25,-122.2639521,38.338329
