lon,lat,county,num_stops_per_day,score_std,geometry,in_county
-121.41783,38.450207,67,56,1.0,POINT (-121.41783 38.450207),True
-121.427384,38.452549,67,56,1.0,POINT (-121.427384 38.452549),True
-121.427223,38.452835,67,54,1.0,POINT (-121.427223 38.452835),True
-121.418322,38.453234,67,276,1.0,POINT (-121.418322 38.453234),True
-121.418841,38.453591,67,296,1.0,POINT (-121.418841 38.453591),True
-121.418798,38.453876,67,174,1.0,POINT (-121.418798 38.453876),True
-121.418659,38.454113,67,110,1.0,POINT (-121.418659 38.454113),True
-121.418263,38.454141,67,278,1.0,POINT (-121.418263 38.454141),True
-121.427811,38.454628,67,56,1.0,POINT (-121.427811 38.454628),True
-121.42765,38.455243,67,54,1.0,POINT (-121.42765 38.455243),True
-121.406134,38.456373,67,30,1.0,POINT (-121.406134 38.456373),True
-121.404985,38.456696,67,32,1.0,POINT (-121.404985 38.456696),True
-121.428246,38.456806,67,56,1.0,POINT (-121.428246 38.456806),True
-121.427928,38.45681,67,54,1.0,POINT (-121.427928 38.45681),True
-121.416569,38.457369,67,32,1.0,POINT (-121.416569 38.457369),True
-121.41716,38.458358,67,234,1.0,POINT (-121.41716 38.458358),True
-121.429365,38.458599,67,276,1.0,POINT (-121.429365 38.458599),True
-121.405676,38.458672,67,30,1.0,POINT (-121.405676 38.458672),True
-121.430422,38.458941,67,278,1.0,POINT (-121.430422 38.458941),True
-121.417259,38.459496,67,236,1.0,POINT (-121.417259 38.459496),True
-121.429215,38.459648,67,56,1.0,POINT (-121.429215 38.459648),True
-121.406055,38.459942,67,32,1.0,POINT (-121.406055 38.459942),True
-121.429421,38.460533,67,54,1.0,POINT (-121.429421 38.460533),True
-121.417191,38.46072,67,234,1.0,POINT (-121.417191 38.46072),True
-121.4301,38.46122,67,56,1.0,POINT (-121.4301 38.46122),True
-121.408104,38.461574,67,30,1.0,POINT (-121.408104 38.461574),True
-121.430283,38.462101,67,54,1.0,POINT (-121.430283 38.462101),True
-121.413563,38.462193,67,236,1.0,POINT (-121.413563 38.462193),True
-121.408444,38.462734,67,32,1.0,POINT (-121.408444 38.462734),True
-121.448058,38.462785,67,276,1.0,POINT (-121.448058 38.462785),True
-121.446445,38.46279,67,28,1.0,POINT (-121.446445 38.46279000000001),True
-121.448928,38.462823,67,56,1.0,POINT (-121.448928 38.462823),True
-121.449009,38.463285,67,278,1.0,POINT (-121.449009 38.463285),True
-121.431842,38.463788,67,32,1.0,POINT (-121.431842 38.463788),True
-121.430801,38.463867,67,30,1.0,POINT (-121.430801 38.463867),True
-121.431694,38.464218,67,56,1.0,POINT (-121.431694 38.464218),True
-121.43506,38.46428,67,30,1.0,POINT (-121.43506 38.46428),True
-121.431505,38.464535,67,54,1.0,POINT (-121.431505 38.464535),True
-121.417481,38.464657,67,234,1.0,POINT (-121.417481 38.464657),True
-121.414715,38.464688,67,236,1.0,POINT (-121.414715 38.464688),True
-121.428146,38.465183,67,30,1.0,POINT (-121.428146 38.465183),True
-121.428314,38.465233,67,32,1.0,POINT (-121.428314 38.465233),True
-121.436512,38.465393,67,32,1.0,POINT (-121.436512 38.465393),True
-121.440008,38.465833,67,30,1.0,POINT (-121.440008 38.465833),True
-121.416347,38.465959,67,236,1.0,POINT (-121.416347 38.46595900000001),True
-121.440545,38.466242,67,32,1.0,POINT (-121.440545 38.466242),True
-121.417822,38.466436,67,234,1.0,POINT (-121.417822 38.466436),True
-121.447518,38.46666,67,28,1.0,POINT (-121.447518 38.46666),True
-121.444062,38.466668,67,30,1.0,POINT (-121.444062 38.466668),True
-121.44414,38.466978,67,32,1.0,POINT (-121.44414 38.466978),True
-121.4471,38.467042,67,30,1.0,POINT (-121.4471 38.467042),True
-121.427284,38.467064,67,32,1.0,POINT (-121.427284 38.467064),True
-121.433212,38.467091,67,56,1.0,POINT (-121.433212 38.467091),True
-121.427162,38.467659,67,30,1.0,POINT (-121.427162 38.467659),True
-121.447617,38.467672,67,60,1.0,POINT (-121.447617 38.467672),True
-121.433319,38.467754,67,54,1.0,POINT (-121.433319 38.467754),True
-121.42672,38.468422,67,236,1.0,POINT (-121.42672 38.468422),True
-121.423004,38.468525,67,236,1.0,POINT (-121.423004 38.468525),True
-121.426613,38.468563,67,234,1.0,POINT (-121.426613 38.468563),True
-121.423019,38.468712,67,234,1.0,POINT (-121.423019 38.468712),True
-121.390134,38.468876,67,62,1.0,POINT (-121.390134 38.468876),True
-121.419334,38.468941,67,236,1.0,POINT (-121.419334 38.468941),True
-121.419777,38.469135,67,234,1.0,POINT (-121.419777 38.46913499999999),True
-121.390337,38.469485,67,30,1.0,POINT (-121.390337 38.469485),True
-121.427376,38.469616,67,236,1.0,POINT (-121.427376 38.46961599999999),True
-121.427412,38.470347,67,32,1.0,POINT (-121.427412 38.470347),True
-121.449028,38.470642,67,58,1.0,POINT (-121.449028 38.470642),True
-121.426637,38.470665,67,30,1.0,POINT (-121.426637 38.470665),True
-121.435303,38.471012,67,56,1.0,POINT (-121.435303 38.471012),True
-121.424828,38.471317,67,32,1.0,POINT (-121.424828 38.471317),True
-121.449068,38.471448,67,60,1.0,POINT (-121.449068 38.471448),True
-121.435516,38.471863,67,54,1.0,POINT (-121.435516 38.471863),True
-121.424538,38.471958,67,30,1.0,POINT (-121.424538 38.471958),True
-121.427094,38.47234,67,234,1.0,POINT (-121.427094 38.47234),True
-121.425583,38.472691,67,32,1.0,POINT (-121.425583 38.472691),True
-121.390377,38.472902,67,30,1.0,POINT (-121.390377 38.472902),True
-121.427338,38.472908,67,236,1.0,POINT (-121.427338 38.472908),True
-121.390221,38.473019,67,32,1.0,POINT (-121.390221 38.473019),True
-121.436478,38.473652,67,54,1.0,POINT (-121.436478 38.473652),True
-121.436783,38.47374,67,56,1.0,POINT (-121.436783 38.47374),True
-121.45026,38.473817,67,58,1.0,POINT (-121.45026 38.473817),True
-121.42675,38.474079,67,88,1.0,POINT (-121.42675 38.474079),True
-121.399477,38.474157,67,30,1.0,POINT (-121.399477 38.474157),True
-121.430808,38.47417,67,150,1.0,POINT (-121.430808 38.47417),True
-121.435915,38.474173,67,150,1.0,POINT (-121.435915 38.474173),True
-121.396238,38.474178,67,30,1.0,POINT (-121.396238 38.474178),True
-121.443505,38.474198,67,150,1.0,POINT (-121.443505 38.474198),True
-121.44114,38.474198,67,150,1.0,POINT (-121.44114 38.474198),True
-121.448212,38.474205,67,150,1.0,POINT (-121.448212 38.474205),True
-121.454361,38.474239,67,180,1.0,POINT (-121.454361 38.474239),True
-121.417481,38.474281,67,30,1.0,POINT (-121.417481 38.474281),True
-121.399483,38.474281,67,32,1.0,POINT (-121.399483 38.474281),True
-121.413643,38.474297,67,30,1.0,POINT (-121.413643 38.474297),True
-121.396417,38.474313,67,32,1.0,POINT (-121.396417 38.474313),True
-121.428711,38.474335,67,146,1.0,POINT (-121.428711 38.474335),True
-121.404822,38.474353,67,30,1.0,POINT (-121.404822 38.474353),True
-121.433647,38.474354,67,146,1.0,POINT (-121.433647 38.474354),True
-121.437584,38.474377,67,146,1.0,POINT (-121.437584 38.474377),True
-121.441391,38.474388,67,146,1.0,POINT (-121.441391 38.474388),True
-121.444122,38.474396,67,146,1.0,POINT (-121.444122 38.474396),True
-121.410919,38.474403,67,32,1.0,POINT (-121.410919 38.474403),True
-121.414879,38.474419,67,32,1.0,POINT (-121.414879 38.474419),True
-121.417702,38.474423,67,32,1.0,POINT (-121.417702 38.474423),True
-121.404686,38.474453,67,32,1.0,POINT (-121.404686 38.474453),True
-121.449219,38.474472,67,146,1.0,POINT (-121.449219 38.474472),True
-121.455055,38.474506,67,178,1.0,POINT (-121.455055 38.474506),True
-121.451273,38.47456,67,32,1.0,POINT (-121.451273 38.47456),True
-121.458153,38.474644,67,180,1.0,POINT (-121.458153 38.474644),True
-121.450378,38.474885,67,28,1.0,POINT (-121.450378 38.474885),True
-121.408576,38.475036,67,32,1.0,POINT (-121.408576 38.475036),True
-121.459206,38.475559,67,178,1.0,POINT (-121.459206 38.475559),True
-121.419785,38.476357,67,88,1.0,POINT (-121.419785 38.476357),True
-121.420075,38.476425,67,86,1.0,POINT (-121.420075 38.476425),True
-121.532997,38.476799,67,8,0.5,POINT (-121.532997 38.476799),True
-121.532501,38.476841,67,9,0.5,POINT (-121.532501 38.476841),True
-121.521317,38.478169,67,9,0.5,POINT (-121.521317 38.478169),True
-121.520729,38.478218,67,8,0.5,POINT (-121.520729 38.478218),True
-121.408635,38.478374,67,32,1.0,POINT (-121.408635 38.478374),True
-121.408966,38.478386,67,30,1.0,POINT (-121.408966 38.478386),True
-121.451691,38.47847,67,28,1.0,POINT (-121.451691 38.47847),True
-121.537254,38.478485,67,8,0.5,POINT (-121.537254 38.478485),True
-121.421043,38.478561,67,86,1.0,POINT (-121.421043 38.478561),True
-121.461517,38.478565,67,180,1.0,POINT (-121.461517 38.478565),True
-121.461327,38.478699,67,178,1.0,POINT (-121.461327 38.478699),True
-121.537483,38.47876,67,9,0.5,POINT (-121.537483 38.47876),True
-121.421196,38.479446,67,88,1.0,POINT (-121.421196 38.479446),True
-121.421799,38.480244,67,86,1.0,POINT (-121.421799 38.480244),True
-121.540794,38.480396,67,8,0.5,POINT (-121.540794 38.480396),True
-121.516792,38.480499,67,9,0.5,POINT (-121.516792 38.480499),True
-121.408959,38.48053,67,30,1.0,POINT (-121.408959 38.48053),True
-121.462883,38.480629,67,180,1.0,POINT (-121.462883 38.480629),True
-121.540886,38.480702,67,9,0.5,POINT (-121.540886 38.480702),True
-121.515205,38.480805,67,160,1.0,POINT (-121.515205 38.480805),True
-121.462807,38.480869,67,178,1.0,POINT (-121.462807 38.480869),True
-121.516388,38.481037,67,148,1.0,POINT (-121.516388 38.481037),True
-121.507242,38.481172,67,152,1.0,POINT (-121.507242 38.48117199999999),True
-121.500943,38.481247,67,152,1.0,POINT (-121.500943 38.481247),True
-121.497407,38.481298,67,152,1.0,POINT (-121.497407 38.481298),True
-121.494088,38.481347,67,152,1.0,POINT (-121.494088 38.481347),True
-121.507065,38.481361,67,148,1.0,POINT (-121.507065 38.481361),True
-121.491425,38.481377,67,152,1.0,POINT (-121.491425 38.481377),True
-121.4863,38.481383,67,152,1.0,POINT (-121.4863 38.481383),True
-121.500565,38.481384,67,148,1.0,POINT (-121.500565 38.48138400000001),True
-121.479904,38.481384,67,174,1.0,POINT (-121.479904 38.48138400000001),True
-121.474578,38.481427,67,174,1.0,POINT (-121.474578 38.481427),True
-121.472055,38.481433,67,174,1.0,POINT (-121.472055 38.481433),True
-121.497124,38.481438,67,148,1.0,POINT (-121.497124 38.481438),True
-121.468142,38.481462,67,204,1.0,POINT (-121.468142 38.481462),True
-121.46532,38.481473,67,204,1.0,POINT (-121.46532 38.481473),True
-121.491501,38.481491,67,148,1.0,POINT (-121.491501 38.481491),True
-121.493973,38.481495,67,148,1.0,POINT (-121.493973 38.481495),True
-121.421333,38.481499,67,88,1.0,POINT (-121.421333 38.481499),True
-121.487244,38.481506,67,148,1.0,POINT (-121.487244 38.481506),True
-121.464043,38.481533,67,202,1.0,POINT (-121.464043 38.481533),True
-121.481011,38.48156,67,148,1.0,POINT (-121.481011 38.48155999999999),True
-121.475647,38.48156,67,170,1.0,POINT (-121.475647 38.48155999999999),True
-121.415299,38.481567,67,88,1.0,POINT (-121.415299 38.481567),True
-121.460432,38.481568,67,24,1.0,POINT (-121.460432 38.481568),True
-121.472839,38.481583,67,170,1.0,POINT (-121.472839 38.481583),True
-121.412735,38.481583,67,88,1.0,POINT (-121.412735 38.481583),True
-121.442035,38.481585,67,56,1.0,POINT (-121.442035 38.481585),True
-121.469393,38.481628,67,170,1.0,POINT (-121.469393 38.481628),True
-121.46106,38.481632,67,24,1.0,POINT (-121.46106 38.481632),True
-121.420082,38.481754,67,86,1.0,POINT (-121.420082 38.481754),True
-121.417061,38.481754,67,86,1.0,POINT (-121.417061 38.481754),True
-121.413666,38.481758,67,86,1.0,POINT (-121.413666 38.481758),True
-121.493299,38.48183,67,1,0.25,POINT (-121.493299 38.48183),True
-121.409966,38.481831,67,148,1.0,POINT (-121.409966 38.481831),True
-121.457532,38.481855,67,24,1.0,POINT (-121.457532 38.481855),True
-121.458077,38.481899,67,24,1.0,POINT (-121.458077 38.481899),True
-121.442116,38.481937,67,54,1.0,POINT (-121.442116 38.481937),True
-121.45316,38.482025,67,28,1.0,POINT (-121.45316 38.482025),True
-121.454948,38.482045,67,24,1.0,POINT (-121.454948 38.482045),True
-121.480183,38.482152,67,26,1.0,POINT (-121.480183 38.482152),True
-121.454636,38.482189,67,24,1.0,POINT (-121.454636 38.482189),True
-121.466981,38.482687,67,276,1.0,POINT (-121.466981 38.482687),True
-121.453062,38.482768,67,52,1.0,POINT (-121.453062 38.482768),True
-121.517517,38.482933,67,148,1.0,POINT (-121.517517 38.482933),True
-121.5439,38.482952,67,8,0.5,POINT (-121.5439 38.482952),True
-121.517732,38.482957,67,152,1.0,POINT (-121.517732 38.482957),True
-121.543678,38.48296,67,9,0.5,POINT (-121.543678 38.48296),True
-121.408966,38.48312,67,116,1.0,POINT (-121.408966 38.48312),True
-121.519959,38.483158,67,276,1.0,POINT (-121.519959 38.483158),True
-121.408722,38.483196,67,88,1.0,POINT (-121.408722 38.483196),True
-121.492607,38.483273,67,1,0.25,POINT (-121.492607 38.483273),True
-121.467367,38.48337,67,702,1.0,POINT (-121.467367 38.48337),True
-121.526371,38.483407,67,276,1.0,POINT (-121.526371 38.483407),True
-121.51928,38.483555,67,268,1.0,POINT (-121.51928 38.483555),True
-121.467258,38.483607,67,278,1.0,POINT (-121.467258 38.483607),True
-121.522606,38.483662,67,276,1.0,POINT (-121.522606 38.483662),True
-121.524059,38.483814,67,276,1.0,POINT (-121.524059 38.483814),True
-121.524735,38.483856,67,268,1.0,POINT (-121.524735 38.483856),True
-121.444199,38.484127,67,54,1.0,POINT (-121.444199 38.484127),True
-121.531296,38.48415,67,268,1.0,POINT (-121.531296 38.48415),True
-121.532213,38.484186,67,276,1.0,POINT (-121.532213 38.484186),True
-121.480522,38.484348,67,24,1.0,POINT (-121.480522 38.484348),True
-121.455048,38.484358,67,48,1.0,POINT (-121.455048 38.484358),True
-121.480218,38.484763,67,24,1.0,POINT (-121.480218 38.484763),True
-121.445305,38.484932,67,56,1.0,POINT (-121.445305 38.484932),True
-121.54615,38.485031,67,8,0.5,POINT (-121.54615 38.485031),True
-121.546227,38.485424,67,9,0.5,POINT (-121.546227 38.485424),True
-121.535668,38.485542,67,594,1.0,POINT (-121.535668 38.485542),True
-121.492342,38.485694,67,1,0.25,POINT (-121.492342 38.485694),True
-121.517304,38.486004,67,126,1.0,POINT (-121.517304 38.486004),True
-121.446152,38.486164,67,54,1.0,POINT (-121.446152 38.486164),True
-121.517502,38.486225,67,122,1.0,POINT (-121.517502 38.486225),True
