provider,lat,lon,num_stops_per_day,score,id,geometry,in_county
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.0140744,-121.10285511,6,2,13,POINT (-121.10285511 39.0140744),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.01439198,-121.10314382,5,2,14,POINT (-121.10314382 39.01439198),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.020887,-121.0998125,5,2,15,POINT (-121.0998125 39.020887),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.03552246,-121.09619141,5,2,16,POINT (-121.09619141 39.03552246),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.03552246,-121.09558105,6,2,17,POINT (-121.09558105 39.03552246),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.0413208,-121.07891846,12,3,18,POINT (-121.07891846 39.0413208),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.04248047,-121.09197998,12,3,19,POINT (-121.09197998 39.04248047),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.06657826,-121.08799735,5,2,20,POINT (-121.08799735 39.06657826),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.06689453,-121.08740234,6,2,21,POINT (-121.08740234 39.06689453),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.09368897,-121.08551025,6,2,22,POINT (-121.08551025 39.09368897),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.10054984,-121.085243,5,2,23,POINT (-121.085243 39.10054984),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.1126709,-121.08068848,6,2,24,POINT (-121.08068848 39.1126709),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.11273307,-121.08260349,5,2,25,POINT (-121.08260349 39.11273307),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.12450739,-121.07808747,5,2,26,POINT (-121.07808747 39.12450739),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.12469483,-121.07788086,6,2,27,POINT (-121.07788086 39.12469483),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.1401002,-121.06957171,10,2,28,POINT (-121.06957171 39.14010020000001),True
nevada-county-gold-country-stage_20150716_2005_transit_score.csv,39.14147949,-121.06958008,5,2,29,POINT (-121.06958008 39.14147949),True
