idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
106,-121.0906944,39.03986686,1.0,0.5,0.658181027,0.210526316,0.315789474,0.105263158,0.421052632,0.0,0.0,0.789473684,0.24,0.16,0.1256742532,0.121254623057
633,-121.0646057,39.15527405,0.263157895,0.067567568,0.871192341,0.578947368,0.684210526,0.789473684,0.0,0.315789474,0.263157895,0.105263158,0.106666667,0.253333333,0.06138643905,0.0819402560143
1019,-121.2046338,39.21876225,0.894736842,0.675675676,0.600087032,0.631578947,0.842105263,0.842105263,0.684210526,0.736842105,0.684210526,1.0,0.826666667,0.76,0.23732432425,0.239511074914
1139,-121.0379272,39.23469054,0.631578947,1.0,0.0,1.0,0.947368421,0.894736842,0.631578947,0.631578947,0.842105263,0.157894737,0.026666667,0.386666667,0.16645282125,0.183275350543
1035,-121.05627,39.22013551,0.631578947,0.905405405,0.890339426,1.0,0.947368421,0.894736842,0.631578947,0.631578947,0.842105263,0.157894737,0.706666667,0.066666667,0.1788311996,0.193885389129
1354,-121.0197767,39.26363917,0.842105263,0.959459459,0.984986945,0.526315789,0.526315789,0.684210526,0.789473684,0.421052632,0.421052632,0.842105263,0.413333333,0.506666667,0.18806448555,0.183754521429
1973,-120.1940918,39.32532932,0.368421053,0.972972973,0.0,0.842105263,0.894736842,0.157894737,1.0,1.0,0.736842105,0.947368421,0.92,0.24,0.205883357,0.214817313514
