geoid,countyfp,prc_latino,unreliable_flag
6039000300,39,0.521543480706,0
6039000106,39,0.108139534884,0
6039000108,39,0.0299210206561,0
6039000201,39,0.437793003967,0
6039000109,39,0.165672326755,0
6039000604,39,0.928546949966,0
6039000603,39,0.866925938451,0
6039000800,39,0.816619339411,0
6039000900,39,0.911942996916,0
6039000506,39,0.745582509733,0
6039000508,39,0.577479892761,0
6039000102,39,0.148166379523,0
6039000502,39,0.812611997611,0
6039000103,39,0.108760193049,1
6039001000,39,0.530473135525,0
6039000503,39,0.573008093013,0
6039000602,39,0.888914496428,0
6039000104,39,0.0561853129621,0
6039000700,39,0.596013452547,0
6039000509,39,0.254911838791,0
6039000507,39,0.663217391304,0
6039000400,39,0.75402446877,0
6039000202,39,0.462661798872,0
