geoid,prc_white,unreliable_flag
6039000300,0.399257509281,0
6039000106,0.843217054264,0
6039000108,0.897174969623,0
6039000201,0.289698281043,0
6039000109,0.745754933456,0
6039000604,0.0486634681289,0
6039000603,0.0644234020967,1
6039000800,0.171872664774,0
6039000900,0.0274380516856,0
6039000506,0.192422881102,0
6039000508,0.352144772118,0
6039000102,0.678070391336,0
6039000502,0.126887959724,0
6039000103,0.842963836478,0
6039001000,0.419807538091,0
6039000503,0.332953379688,0
6039000602,0.092187139894,0
6039000104,0.803351404633,0
6039000700,0.289968009187,0
6039000509,0.663643996641,0
6039000507,0.279391304348,0
6039000400,0.232453316162,0
6039000202,0.463491536674,0
