,gid,osm_id,code,fclass,name,lon,lat
0,87371,4852814840,2005,post_office,,-121.4963114,38.6119414
1,10709,358835730,2005,post_office,North Highlands Post Office,-121.3835469,38.6845378
2,15385,368167893,2002,fire_station,Sacramento Metro Fire Station Number 112,-121.3877305,38.6907361
3,15394,368167903,2002,fire_station,Sacramento Metro Fire Station Number 103,-121.3824524,38.635182
4,15466,368168044,2002,fire_station,Sacramento Metro Fire Station Number 114,-121.3966196,38.6732365
5,15482,368168084,2002,fire_station,Sacramento Metro Fire Station Number 41,-121.3757857,38.6926806
6,16229,368170439,2007,library,North Highlands - Antelope Library,-121.3824526,38.7046246
7,16595,368171314,2001,police,Sacramento County Sheriff - Northwest Service Center,-121.3841194,38.7035136
8,10908,358836934,2005,post_office,Isleton Post Office,-121.6088428,38.1618614
9,13084,358852270,2005,post_office,Courtland Post Office,-121.5693993,38.3315787
10,13187,358852487,2005,post_office,Walnut Grove Post Office,-121.5143974,38.2413038
11,15415,368167935,2002,fire_station,Isleton Fire Station,-121.612454,38.1618614
12,15418,368167939,2002,fire_station,Isleton City Fire Station,-121.6127318,38.1613059
13,15432,368167965,2002,fire_station,Courtland Fire Station Number 91,-121.5702327,38.328801
14,15455,368168032,2002,fire_station,Walnut Grove Fire Station,-121.5135641,38.2460259
15,15456,368168033,2002,fire_station,Walnut Grove Fire Station,-121.5121752,38.2415816
16,16247,368170466,2007,library,Courtland Branch Library,-121.5691216,38.3313009
17,16258,368170486,2007,library,Iselton Neighborhood Library,-121.6091206,38.1615837
18,16339,368170824,2007,library,Courtland Community Operated Neighborhood Library,-121.5666215,38.3304677
19,16536,368171183,2001,police,Sacramento County Sheriff - Brannan Island Service Center,-121.5674529,38.1015858
20,16539,368171187,2001,police,Isleton Police Station,-121.6127318,38.1615837
21,16598,368171317,2001,police,Sacramento County Sheriff - Walnut Grove Service Center,-121.512453,38.2415816
22,16956,368172505,2008,town_hall,Isleton City Hall,-121.6127318,38.1618614
23,13075,358852257,2005,post_office,Carmichael Post Office,-121.3291177,38.6271267
24,13146,358852411,2005,post_office,Perkins Post Office,-121.3432845,38.5446288
25,13151,358852419,2005,post_office,Rancho Cordova Post Office,-121.280783,38.5993498
26,15388,368167897,2002,fire_station,Sacramento Metro Fire Station Number 107,-121.3746743,38.5821278
27,15390,368167899,2002,fire_station,Sacramento Metro Fire Station Number 109,-121.3332844,38.620738
