idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
3166,-121.36645577799999,38.5872325836,0.613924050632911,0.3707370737073711,0.44442215088282505,0.22784810126582294,0.00316455696202532,0.4113924050632911,0.151898734177215,0.0537974683544304,0.0569620253164557,0.00949367088607595,0.57032967032967,0.595604395604396,0.29606328902251194,0.29993768235394896
3214,-121.375782629,38.594324711,0.613924050632911,0.0198019801980198,0.459520465489567,0.22784810126582294,0.00316455696202532,0.4113924050632911,0.151898734177215,0.0537974683544304,0.0569620253164557,0.00949367088607595,0.452747252747253,0.5791208791208791,0.296394447530154,0.292616690710678
3325,-121.357657296,38.608924658,0.8639240506329109,0.532453245324532,0.450943017656501,0.389240506329114,0.284810126582278,0.3386075949367089,0.199367088607595,0.164556962025316,0.151898734177215,0.15506329113923994,0.59010989010989,0.479120879120879,0.393109048531752,0.3993769039913139
3326,-121.348461136,38.6090273663,0.8639240506329109,0.4015401540154021,0.7280798555377209,0.389240506329114,0.284810126582278,0.3386075949367089,0.199367088607595,0.164556962025316,0.151898734177215,0.15506329113923994,0.398901098901099,0.7362637362637359,0.396604419941436,0.390127440477945
3270,-121.357525611,38.6017284135,0.8639240506329109,0.609460946094609,0.511587078651685,0.389240506329114,0.284810126582278,0.3386075949367089,0.199367088607595,0.164556962025316,0.151898734177215,0.15506329113923994,0.358241758241758,0.886813186813187,0.5180221603330329,0.521445128785579
3271,-121.34833034299999,38.6018311116,0.8639240506329109,0.545654565456546,0.385433386837881,0.389240506329114,0.284810126582278,0.3386075949367089,0.199367088607595,0.164556962025316,0.151898734177215,0.15506329113923994,0.3835164835164829,0.662637362637363,0.470138257867017,0.476813187779445
3217,-121.348199575,38.594634868600004,0.427215189873418,0.778877887788779,0.318519261637239,0.35126582278481,0.0189873417721519,0.164556962025316,0.0506329113924051,0.0063291139240506285,0.0632911392405063,0.30379746835443,0.301098901098901,0.8890109890109891,0.302311777894151,0.2999311498344749
3216,-121.35739395200001,38.5945321806,0.427215189873418,0.778877887788779,0.513443017656501,0.35126582278481,0.0189873417721519,0.164556962025316,0.0506329113924051,0.0063291139240506285,0.0632911392405063,0.30379746835443,0.301098901098901,0.8890109890109891,0.31743209106293296,0.31505146300325704
3167,-121.357262318,38.5873359593,0.427215189873418,0.778877887788779,0.29022873194221505,0.35126582278481,0.0189873417721519,0.164556962025316,0.0506329113924051,0.0063291139240506285,0.0632911392405063,0.30379746835443,0.301098901098901,0.8890109890109891,0.273791196902613,0.27141056884293696
3117,-121.35713071,38.580139749299995,0.427215189873418,0.488448844884488,0.375200642054575,0.35126582278481,0.0189873417721519,0.164556962025316,0.0506329113924051,0.0063291139240506285,0.0632911392405063,0.30379746835443,0.0582417582417583,0.565934065934066,0.21424612204333496,0.210322773044898
3168,-121.34806883200001,38.587438637199995,0.161392405063291,0.518151815181518,0.359249598715891,0.506329113924051,0.00316455696202532,0.0063291139240506285,0.0126582278481013,0.00316455696202532,0.0063291139240506285,0.0063291139240506285,0.089010989010989,0.573626373626374,0.161616933284556,0.163375809747155
3169,-121.338875321,38.5875406173,0.161392405063291,0.31133113311331106,0.511587078651685,0.506329113924051,0.00316455696202532,0.0063291139240506285,0.0126582278481013,0.00316455696202532,0.0063291139240506285,0.0063291139240506285,0.173626373626374,0.8626373626373629,0.167811282026289,0.1630214710652
3218,-121.33900517200001,38.594736858800005,0.161392405063291,0.31133113311331106,0.449488362760835,0.506329113924051,0.00316455696202532,0.0063291139240506285,0.0126582278481013,0.00316455696202532,0.0063291139240506285,0.0063291139240506285,0.173626373626374,0.8626373626373629,0.247936403620242,0.243146592659154
3540,-121.358184292,38.6377097549,0.9303797468354428,0.7117711771177121,0.377658507223114,0.468354430379747,0.275316455696203,0.7879746835443041,0.0664556962025316,0.0506329113924051,0.0949367088607595,0.0474683544303797,0.205494505494506,0.87032967032967,0.3977261477270671,0.401842903070879
3539,-121.367383995,38.6376063077,0.9303797468354428,0.7117711771177121,0.433537319422151,0.468354430379747,0.275316455696203,0.7879746835443041,0.0664556962025316,0.0506329113924051,0.0949367088607595,0.0474683544303797,0.205494505494506,0.87032967032967,0.4438759662627321,0.447992721606544
3541,-121.34898456299999,38.6378125037,0.9303797468354428,0.645764576457646,0.337630417335473,0.468354430379747,0.275316455696203,0.7879746835443041,0.0664556962025316,0.0506329113924051,0.0949367088607595,0.0474683544303797,0.251648351648352,0.7582417582417579,0.39331654977160496,0.399250444063744
3487,-121.358052505,38.6305134626,0.9303797468354428,0.8943894389438941,0.338483146067416,0.468354430379747,0.275316455696203,0.7879746835443041,0.0664556962025316,0.0506329113924051,0.0949367088607595,0.0474683544303797,0.14725274725274698,0.975824175824176,0.421623167907218,0.432948920982306
3486,-121.367251315,38.6304100257,0.9303797468354428,0.8943894389438941,0.4956360353130021,0.468354430379747,0.275316455696203,0.7879746835443041,0.0664556962025316,0.0506329113924051,0.0949367088607595,0.0474683544303797,0.14725274725274698,0.975824175824176,0.435541225593918,0.4468669786690061
3488,-121.34885366799999,38.6306162013,0.9303797468354428,0.8943894389438941,0.5279895666131621,0.468354430379747,0.275316455696203,0.7879746835443041,0.0664556962025316,0.0506329113924051,0.0949367088607595,0.0474683544303797,0.14725274725274698,0.975824175824176,0.485845071769027,0.497170824844115
3380,-121.348591955,38.6162236327,0.0759493670886076,0.54015401540154,0.993780096308186,0.4398734177215189,0.598101265822785,0.6044303797468349,0.265822784810127,0.26898734177215194,0.6455696202531651,0.237341772151899,0.295604395604396,0.39340659340659295,0.475844023107413,0.472702668857171
3379,-121.35778900700001,38.6161209143,0.6550632911392409,0.645764576457646,0.302166934189406,0.515822784810127,0.139240506329114,0.95253164556962,0.0791139240506329,0.3259493670886081,0.556962025316456,0.0569620253164557,0.4571428571428571,0.407692307692308,0.473561263539672,0.489573030363813
3433,-121.357920743,38.6233171824,0.6550632911392409,0.39493949394939504,0.412269261637239,0.515822784810127,0.139240506329114,0.95253164556962,0.0791139240506329,0.3259493670886081,0.556962025316456,0.0569620253164557,0.28021978021978,0.33516483516483503,0.449397837488874,0.452285546760741
