geoid,countyfp,tot_elignonreg_prc_final,unreliable_flag
6039000300,39,0.4668675954592361,0
6039000106,39,0.152274534835211,0
6039000108,39,0.28412982051282,0
6039000201,39,0.617083433001107,0
6039000109,39,0.23749269565217399,0
6039000604,39,0.38298091954022995,0
6039000603,39,0.517872376154492,0
6039000800,39,0.587099198084979,0
6039000900,39,0.4582639409426459,0
6039000506,39,0.3482498603351961,0
6039000508,39,0.3876064060031599,0
6039000102,39,0.263351323383085,0
6039000502,39,0.44015297122534797,0
6039000103,39,0.19788504166666696,0
6039001000,39,0.258422684124386,0
6039000503,39,0.28604885910038697,0
6039000602,39,0.44851728070175395,0
6039000104,39,0.24732634392334804,0
6039000700,39,0.33785861545138896,0
6039000509,39,0.221117342095655,0
6039000507,39,0.439940010498688,0
6039000400,39,0.40551296803653003,0
6039000202,39,0.20245559322033901,0
