geoid,countyfp,pollvoter_dens
6039000300,39,0.0508167744066
6039000106,39,0.0717679846747
6039000108,39,0.0671851864989
6039000201,39,0.0109946106742
6039000109,39,0.020426755163900003
6039000604,39,0.0135828059106
6039000603,39,0.013635731138899999
6039000800,39,0.0158730369557
6039000900,39,0.024593784809300002
6039000506,39,0.043125880866400006
6039000508,39,0.0463761180494
6039000102,39,0.045631148973599996
6039000502,39,0.048717813292699995
6039000103,39,0.0596677727003
6039001000,39,0.038768448532199996
6039000503,39,0.0831569093948
6039000602,39,0.014080149921999999
6039000104,39,0.0511860790555
6039000700,39,0.0840102056466
6039000509,39,0.0749446156315
6039000507,39,0.059769404139599996
6039000400,39,0.0035837739406799998
6039000202,39,0.058105009622099996
