geoid,countyfp,job_dens
6081610800,81,0.0013538520151300001
6081610900,81,0.0017076223909400002
6081611200,81,0.002183851743
6081611000,81,0.00170081911449
6081610700,81,0.00280975317713
6081611600,81,0.00035377037581299996
6081612000,81,0.00272811385963
6081611500,81,0.00280975317713
6081611300,81,0.00242196641903
6081612500,81,0.010858029226899999
6081612100,81,0.0023539336544499997
6081602100,81,0.0017960649848999999
6081602200,81,0.00457180177974
6081602400,81,0.0048439328380500005
6081602500,81,0.0010545078509800001
6081602000,81,0.0013538520151300001
6081603700,81,0.00140827822679
6081602600,81,0.00383704792228
6081612600,81,0.010871635779799998
6081612700,81,0.00092524559828
6081612800,81,0.000918442321822
6081604000,81,0.00368057256375
6081604102,81,0.0153822080714
6081604101,81,0.0057283587775900004
6081604800,81,0.00322475304106
6081605100,81,0.0376833483005
6081604400,81,0.0103137671102
6081605200,81,0.000870819386617
6081605300,81,0.0026192614363099997
6081605400,81,0.019226059270099998
6081605800,81,0.000918442321822
6081605900,81,0.00424524450976
6081605500,81,0.015708765341399998
6081600402,81,0.0004490162462240001
6081609202,81,0.0055650801426
6081609201,81,0.00642909625276
6081601901,81,0.0005306555637190001
6081603802,81,0.00157155686178
6081603801,81,0.00024491795248599994
6081614000,81,0.00332680218793
6081600401,81,0.00023811467602799998
6081608013,81,0.000258524505402
6081601902,81,0.00895311181865
6081611700,81,0.0254714670585
6081601601,81,0.010878439056200001
6081606800,81,0.0088646692247
6081606000,81,0.00508204751408
6081609100,81,0.028560154570400002
6081610304,81,0.0429286744496
6081606200,81,0.00330639235856
6081606300,81,0.024913598388999997
6081606400,81,0.00518409666095
6081606100,81,0.0026872942008899997
6081613200,81,0.00474188369119
6081603900,81,0.00276213024192
6081603400,81,0.00117696682722
6081611800,81,0.009334095300299999
6081613300,81,0.0035853266933400002
6081607300,81,0.00119057338014
6081613600,81,0.0032111464881500002
6081600100,81,0.0135385201513
6081603100,81,0.0021770484665399998
6081605600,81,0.0038166380929100002
6081604600,81,0.0008027866220369999
6081608100,81,0.000932048874738
6081610202,81,0.0428674449615
6081600500,81,0.00244917952486
6081606500,81,0.00174163877323
6081606600,81,0.00900073475386
6081606900,81,0.00110893406264
6081606700,81,0.00895311181865
6081600600,81,0.0057555718834200005
6081601200,81,0.0070209813046000005
6081601100,81,0.000795983345579
6081613502,81,0.006755653522739999
6081612900,81,0.00162598307345
6081605700,81,0.00222467140175
6081607200,81,0.00829319400223
6081607100,81,0.000823196451411
6081607400,81,0.0108648325033
6081607500,81,0.0110757340735
6081607702,81,0.000680327645794
6081607800,81,0.00185049119656
6081607701,81,0.00163278634991
6081608002,81,0.0008776226630750001
6081607900,81,0.020049255721599997
6081608502,81,0.00112254061556
6081608300,81,0.0009116390453639999
6081608200,81,0.00165999945574
6081608501,81,0.00739516150978
6081608023,81,0.0020205731080099997
6081608400,81,0.00494598198492
6081608600,81,0.00637467004109
6081608700,81,0.0066808174817000006
6081609300,81,0.0026872942008899997
6081609000,81,0.00340844150543
6081610100,81,0.0007347538574580001
6081610000,81,0.00561950635426
6081610201,81,0.00854491523118
6081609900,81,0.00103409802161
6081610303,81,0.0014354913326300007
6081610400,81,0.0017620486026099999
6081610203,81,0.0044969657387
6081610602,81,0.00297303181212
6081610601,81,0.0030886875119099997
6081610500,81,0.0084768824666
6081613900,81,0.00421122812747
6081600800,81,0.00329278580564
6081600900,81,0.0007075407516259999
6081600700,81,0.00238114676028
6081601000,81,0.0009728685334860001
6081601700,81,0.0016804092851099993
6081601800,81,0.0023403271015300002
6081601300,81,0.00401393311019
6081611400,81,0.00536778512532
6081609603,81,0.00127221269764
6081611900,81,0.00226549106049
6081602300,81,0.0953683293874
6081609602,81,0.000625901434131
6081613000,81,0.012892208887799999
6081613700,81,0.0153686015185
6081603000,81,0.0050208180259600005
6081604500,81,0.0013470487386700002
6081611100,81,0.0032859825291899998
6081607000,81,0.0004490162462240001
6081604900,81,0.00126540942118
6081608004,81,0.0408536751299
6081610302,81,0.0184640923069
6081613400,81,0.00421122812747
6081602900,81,0.0027825400713
6081602800,81,0.000727950581
6081603200,81,0.00412958880997
6081607600,81,0.011395488067100001
6081613501,81,0.0040003265572699995
6081609700,81,0.00099327836286
6081609500,81,0.00190491740822
6081604700,81,0.000870819386617
6081600300,81,0.00036057365227099995
6081609601,81,0.0007755735162050001
6081603300,81,0.0025716385011
6081605000,81,0.0338599069312
6081608001,81,0.000714344028084
6081608900,81,0.006061719324029999
6081604200,81,0.00465344109723
6081602700,81,0.00110213078619
6081601400,81,0.0107491768035
6081601501,81,0.000864016110159
6081601502,81,0.0031227038941999997
6081601603,81,0.00618417830027
6081609800,81,0.00291860560046
6081601605,81,0.00160557324407
6081601604,81,0.004367703486
6081613800,81,0.00442893297412
6081600200,81,0.0017960649848999999
6081609400,81,0.0015307372030399999
6081608800,81,0.00144909788554
