geoid,countyfp,prc_pov_final,unreliable_flag
6081610800,81,0.0797213622291,0
6081610900,81,0.15928057554000002,0
6081611200,81,0.053774560496399997,0
6081611000,81,0.0472698907956,0
6081610700,81,0.0421884030052,0
6081611600,81,0.0613606047132,0
6081612000,81,0.106449422946,0
6081611500,81,0.0343300110742,0
6081611300,81,0.0443792407849,0
6081612500,81,0.032498796340900006,1
6081612100,81,0.226947941477,0
6081602100,81,0.0872683801554,0
6081602200,81,0.102613374327,0
6081602400,81,0.0560451666208,0
6081602500,81,0.0303137741535,0
6081602000,81,0.061955710375699996,1
6081603700,81,0.045716279881300004,1
6081602600,81,0.0368036299471,1
6081612600,81,0.0365987289064,0
6081612700,81,0.049429657794699995,1
6081612800,81,0.019464720194599997,0
6081604000,81,0.046763703933100004,1
6081604102,81,0.0903181662675,0
6081604101,81,0.109306301905,0
6081604800,81,0.0671641791045,0
6081605100,81,0.07864813644980001,0
6081604400,81,0.052268450763099994,0
6081605200,81,0.042189586114800004,0
6081605300,81,0.071671629094,0
6081605400,81,0.053156717701699996,0
6081605800,81,0.0249328730341,1
6081605900,81,0.141311697093,0
6081605500,81,0.0596026490066,0
6081600402,81,0.115984405458,0
6081609202,81,0.110612148428,0
6081609201,81,0.029339853300700002,0
6081601901,81,0.07952021323860001,0
6081603802,81,0.031,0
6081603801,81,0.0472508591065,1
6081614000,81,0.047894451473000005,0
6081600401,81,0.0348462664714,0
6081608013,81,0.0625686059276,1
6081601902,81,0.10410662824200001,0
6081611700,81,0.19610048743900002,0
6081601601,81,0.104591836735,0
6081606800,81,0.0314502038439,0
6081606000,81,0.0332424139107,0
6081609100,81,0.08436724565760001,0
6081610304,81,0.0253751103266,0
6081606200,81,0.13601294176200002,0
6081606300,81,0.09032553874369999,0
6081606400,81,0.0937318067145,0
6081606100,81,0.214729180047,0
6081613200,81,0.0255800118977,0
6081603900,81,0.029584744252400007,1
6081603400,81,0.0354681459069,0
6081611800,81,0.193026781203,0
6081613300,81,0.06229266494659999,0
6081607300,81,0.028042624789700002,0
6081613600,81,0.0305037744569,1
6081600100,81,0.0750288572528,0
6081603100,81,0.08551881413910002,1
6081605600,81,0.044641364320300005,0
6081604600,81,0.0348636520538,1
6081608100,81,0.030801911842799998,1
6081610202,81,0.293023255814,0
6081600500,81,0.037620876937300006,1
6081606500,81,0.01613385121,1
6081606600,81,0.0395878524946,0
6081606900,81,0.0279050395668,0
6081606700,81,0.0176248426353,1
6081600600,81,0.0687237026648,0
6081601200,81,0.0476120283019,1
6081601100,81,0.0501208702659,0
6081613502,81,0.0460018524236,0
6081612900,81,0.0376005216257,0
6081605700,81,0.00975426749203,1
6081607200,81,0.10106640814300001,0
6081607100,81,0.0192247084778,1
6081607400,81,0.07369305059839999,0
6081607500,81,0.0629287911048,0
6081607702,81,0.107725788901,0
6081607800,81,0.0696925329429,1
6081607701,81,0.166098392596,0
6081608002,81,0.0163888888889,1
6081607900,81,0.0548252645079,0
6081608502,81,0.039969547011800007,0
6081608300,81,0.019860440150299998,1
6081608200,81,0.0391076115486,1
6081608501,81,0.06692511732300001,0
6081608023,81,0.0647534952171,0
6081608400,81,0.0340146917918,0
6081608600,81,0.101316670386,1
6081608700,81,0.038174512055099995,0
6081609300,81,0.00982042648709,1
6081609000,81,0.0367083501412,1
6081610100,81,0.0927452596867,0
6081610000,81,0.024984253621700002,0
6081610201,81,0.222443890274,0
6081609900,81,0.0486486486486,1
6081610303,81,0.0268099827032,1
6081610400,81,0.186989264541,0
6081610203,81,0.17330978809300002,0
6081610602,81,0.109840425532,0
6081610601,81,0.227212681638,0
6081610500,81,0.262126688225,0
6081613900,81,0.09092286710110001,0
6081600800,81,0.20548689392900002,0
6081600900,81,0.0485850237916,1
6081600700,81,0.08166070937589999,0
6081601000,81,0.0518495588918,0
6081601700,81,0.0499779832673,0
6081601800,81,0.108002783577,0
6081601300,81,0.12789503707900002,0
6081611400,81,0.052127927474199996,0
6081609603,81,0.0359234673955,1
6081611900,81,0.130558835104,0
6081602300,81,0.177476118653,0
6081609602,81,0.0419825072886,0
6081613000,81,0.11825487944900001,0
6081613700,81,0.0810356422327,0
6081603000,81,0.045715598437900004,0
6081604500,81,0.0756234915527,0
6081611100,81,0.0311655271108,1
6081607000,81,0.0319674513223,1
6081604900,81,0.045014066895900005,0
6081608004,81,0.041696724859300004,0
6081610302,81,0.127294025771,0
6081613400,81,0.0702702702703,1
6081602900,81,0.09107659910499999,0
6081602800,81,0.0397678417885,0
6081603200,81,0.0761534185659,0
6081607600,81,0.104789550073,1
6081613501,81,0.042901554404100005,0
6081609700,81,0.026875940657900003,0
6081609500,81,0.0,1
6081604700,81,0.028667163067799997,0
6081600300,81,0.0657860657861,1
6081609601,81,0.0639753677728,1
6081603300,81,0.0203505644682,0
6081605000,81,0.096357656231,0
6081608001,81,0.07486486486489999,0
6081608900,81,0.046881910659,1
6081604200,81,0.048768472906400004,1
6081602700,81,0.0784346103038,0
6081601400,81,0.15517707488500002,0
6081601501,81,0.0558545184635,0
6081601502,81,0.14197886647500002,0
6081601603,81,0.0520694259012,0
6081609800,81,0.033183472489800005,0
6081601605,81,0.0546599109473,0
6081601604,81,0.07904998227580001,0
6081613800,81,0.172675521822,0
6081600200,81,0.144561068702,0
6081609400,81,0.0302267002519,0
6081608800,81,0.0197126628801,1
