geoid,prc_black,unreliable_flag
6081610800,0.0150404936367142,1
6081610900,0.005588193150881221,1
6081611200,0.0013788348845225802,1
6081611000,0.0238095238095238,1
6081610700,0.0103746397694524,1
6081611600,0.0259067357512953,1
6081612000,0.12392008639308899,0
6081611500,0.0,1
6081611300,0.0038475632099670204,1
6081612500,0.008907077515647571,1
6081612100,0.0699784507201996,0
6081602100,0.0376569037656904,1
6081602200,0.0358495329462257,1
6081602400,0.0108785458551363,1
6081602500,0.0320209973753281,0
6081602000,0.00703703703703704,1
6081603700,0.0148995148995149,0
6081602600,0.0425103760533266,1
6081612600,0.0025327142254115698,1
6081612700,0.00047303689687795594,1
6081612800,0.000910194174757282,1
6081604000,0.00743264168473212,1
6081604102,0.0571330824495381,0
6081604101,0.0128593958510251,1
6081604800,0.0126760563380282,1
6081605100,0.0072646873025900205,1
6081604400,0.00438159729137622,1
6081605200,0.00720961281708945,1
6081605300,0.00572640509013786,1
6081605400,0.005504902804059871,1
6081605800,0.0206264323911383,1
6081605900,0.0186429291232785,1
6081605500,0.0204004533434076,1
6081600402,0.0360046457607433,1
6081609202,0.0211218023938043,1
6081609201,0.00836030204962244,1
6081601901,0.00844069302532208,1
6081603802,0.013999999999999999,1
6081603801,0.0008550662676357419,1
6081614000,0.0174586033117351,0
6081600401,0.0644216691068814,0
6081608013,0.0021953896816685,1
6081601902,0.0203530259365994,1
6081611700,0.248270704804636,0
6081601601,0.038265306122449,0
6081606800,0.0110658124635993,1
6081606000,0.0368223661779748,0
6081609100,0.00989486703772418,1
6081610304,0.0372903795233892,1
6081606200,0.0586633663366337,0
6081606300,0.014918726341571998,1
6081606400,0.0146718146718147,1
6081606100,0.0284735602654678,1
6081613200,0.00413467217956291,1
6081603900,0.0131883799679202,1
6081603400,0.004672897196261679,1
6081611800,0.18411097099621698,0
6081613300,0.0,1
6081607300,0.0,1
6081613600,0.0031813361611877,1
6081600100,0.0281124497991968,1
6081603100,0.011076398750355,1
6081605600,0.0110349439892994,1
6081604600,0.00310666206420435,1
6081608100,0.0259026687598116,1
6081610202,0.0688816855753647,0
6081600500,0.00808054046893628,1
6081606500,0.0,1
6081606600,0.00135574837310195,1
6081606900,0.009800078400627209,0
6081606700,0.0,1
6081600600,0.0252454417952314,1
6081601200,0.0117319255022731,1
6081601100,0.0183250281305256,1
6081613502,0.0,1
6081612900,0.0243161094224924,1
6081605700,0.0206340273869818,1
6081607200,0.0146353166986564,1
6081607100,0.008824456350456979,1
6081607400,0.0148209139563606,1
6081607500,0.0437662644901822,1
6081607702,0.0332369942196532,1
6081607800,0.0205261636311073,1
6081607701,0.0158539514773,1
6081608002,0.0127777777777778,1
6081607900,0.022763706316127005,1
6081608502,0.0129425199847735,1
6081608300,0.0455032119914347,1
6081608200,0.0077379417075058,1
6081608501,0.0134529147982063,1
6081608023,0.0294334069168506,1
6081608400,0.0006377551020408161,1
6081608600,0.0143932683790965,1
6081608700,0.0161488983166826,0
6081609300,0.0,1
6081609000,0.00999200639488409,1
6081610100,0.00903861955628595,1
6081610000,0.00833680700291788,1
6081610201,0.0343112879164595,1
6081609900,0.000633713561470215,1
6081610303,0.0234741784037559,1
6081610400,0.0507037747920665,1
6081610203,0.0132965378825891,1
6081610602,0.00822281167108753,1
6081610601,0.00817929003762473,1
6081610500,0.00665272761832351,1
6081613900,0.0388134592680047,0
6081600800,0.0749830508474576,0
6081600900,0.00250438266967193,1
6081600700,0.0244404778250721,1
6081601000,0.0555983366702603,0
6081601700,0.0043917435221783,1
6081601800,0.0,1
6081601300,0.0294352538505419,0
6081611400,0.0056663644605621,1
6081609603,0.00428432327166504,1
6081611900,0.12052529182879401,0
6081602300,0.0205513784461153,1
6081609602,0.0,1
6081613000,0.000861079219288174,1
6081613700,0.0,1
6081603000,0.009648518263266709,1
6081604500,0.00640170712189917,1
6081611100,0.0,1
6081607000,0.00697471665213601,1
6081604900,0.00125039074710847,1
6081608004,0.0135388160737433,1
6081610302,0.0246734397677794,0
6081613400,0.0,1
6081602900,0.0336438923395445,1
6081602800,0.0246728169920618,1
6081603200,0.00877674163466813,1
6081607600,0.023356401384082997,1
6081613501,0.00659521846661171,1
6081609700,0.00622317596566524,1
6081609500,0.0,1
6081604700,0.005956813104988829,1
6081600300,0.0274540274540275,1
6081609601,0.0342114266164899,1
6081603300,0.00326167531504818,1
6081605000,0.0197090567808541,1
6081608001,0.0185683530678149,1
6081608900,0.00846097738876732,1
6081604200,0.00269541778975741,1
6081602700,0.0630155064335203,0
6081601400,0.0180916644331278,1
6081601501,0.0073882526782416,1
6081601502,0.0431485827766745,0
6081601603,0.017839279759919998,1
6081609800,0.01582210818901,1
6081601605,0.0391976726381871,1
6081601604,0.0187876639489543,1
6081613800,0.0155454301795765,1
6081600200,0.0402285170197572,0
6081609400,0.0041852678571428605,1
6081608800,0.00415006640106242,1
