geoid,countyfp10,pop10,areakm,popdens
6081610800,81,4721,0.507451012716,9303.36107663
6081610900,81,6932,1.10207419354,6289.95764589
6081611200,81,3005,1.12864626426,2662.48167841
6081611000,81,5707,1.37337786854,4155.44776913
6081610700,81,5207,1.12701346343,4620.17550719
6081611600,81,2262,0.834461388086,2710.73057699
6081612000,81,7327,1.3158818805,5568.12895488
6081611500,81,2677,4.18253201962,640.042918367
6081611300,81,4757,1.75200778958,2715.17057646
6081612500,81,4153,1.98851483461,2088.49334575
6081612100,81,7041,0.995622205727,7071.95958416
6081602100,81,3615,0.48047967482,7523.73136564
6081602200,81,8084,0.935213994189,8644.01094319
6081602400,81,6679,2.71604855249,2459.08711531
6081602500,81,5092,1.25165978441,4068.19813452
6081602000,81,7649,3.65701545372,2091.59630218
6081603700,81,5430,1.78628560177,3039.82744675
6081602600,81,8167,1.4209334984,5747.6299976
6081612600,81,4156,1.30451563975,3185.85678344
6081612700,81,2202,1.27541314897,1726.49937143
6081612800,81,3296,1.65295223527,1994.00801165
6081604000,81,3160,0.915056511956,3453.3386285
6081604102,81,2321,2.28896784843,1013.99414657
6081604101,81,7993,1.11805208366,7149.04083346
6081604800,81,5059,1.03392146338,4893.0215487
6081605100,81,3014,4.32116306844,697.497398793
6081604400,81,4448,2.03039734018,2190.70420946
6081605200,81,3626,0.942081956408,3848.92203416
6081605300,81,4602,1.09063780781,4219.54930136
6081605400,81,6147,3.91182267575,1571.39024683
6081605800,81,2640,1.21879615309,2166.07181874
6081605900,81,5579,0.773552264891,7212.18236079
6081605500,81,4914,1.09950849452,4469.26970051
6081600402,81,5068,0.39960611124,12682.4887244
6081609202,81,3616,0.908750905118,3979.08819637
6081609201,81,3574,1.06281693199,3362.76163132
6081601901,81,4119,0.852782969533,4830.06831416
6081603802,81,5056,2.59625631731,1947.41943093
6081603801,81,2242,0.227421681084,9858.33887653
6081614000,81,5458,3.13981432974,1738.31934847
6081600401,81,3240,0.519873377402,6232.28682375
6081608013,81,4049,1.43413488218,2823.30487203
6081601902,81,5639,1.29084283783,4368.46363843
6081611700,81,5970,12.6075808681,473.524624783
6081601601,81,2893,6.54612042883,441.941151473
6081606800,81,3234,2.89886725205,1115.60817341
6081606000,81,4959,0.772347229806,6420.68723578
6081609100,81,1525,3.36224966781,453.565365654
6081610304,81,4023,3.82119325423,1052.81249399
6081606200,81,8107,1.20393172696,6733.770544
6081606300,81,4073,1.0223634748,3983.90601816
6081606400,81,4820,0.935047841214,5154.81645703
6081606100,81,4246,5.24192683086,810.007490949
6081613200,81,6494,40.0810724541,162.021612756
6081603900,81,5284,1.99952864559,2642.62280596
6081603400,81,5483,11.6786042317,469.49103602
6081611800,81,4433,6.10596670035,726.011165398
6081613300,81,2723,9.44827039759,288.20089661
6081607300,81,3529,1.29395449723,2727.29837685
6081613600,81,6018,27.0262849397,222.67211396
6081600100,81,4854,16.8038178017,288.862927299
6081603100,81,3275,8.33159331253,393.082076519
6081605600,81,5556,8.61648585356,644.810435998
6081604600,81,2599,1.40991286286,1843.37633088
6081608100,81,3523,0.778625438796,4524.64024993
6081610202,81,2429,1.72911599385,1404.76405784
6081600500,81,7443,1.33228743449,5586.63228918
6081606500,81,3613,1.41726810493,2549.27066194
6081606600,81,3703,1.11691057659,3315.39523181
6081606900,81,2470,3.43810050508,718.41995205
6081606700,81,2348,1.96373149984,1195.68281112
6081600600,81,5352,0.767717385749,6971.31535555
6081601200,81,6252,1.98741313769,3145.79786227
6081601100,81,5716,0.978343734346,5842.52732382
6081613502,81,5975,26.3171513015,227.038250894
6081612900,81,4356,1.60430644807,2715.19197922
6081605700,81,5273,8.0350022031,656.253709298
6081607200,81,4197,1.00860169964,4161.20655112
6081607100,81,2879,1.24193815945,2318.15085002
6081607400,81,4451,1.13572716305,3919.07506029
6081607500,81,3636,1.96210234806,1853.11434115
6081607702,81,2859,0.610362617351,4684.10076031
6081607800,81,3160,1.07042729412,2952.09213868
6081607701,81,3954,1.23400893298,3204.19074313
6081608002,81,3517,1.15353416945,3048.89104558
6081607900,81,3182,1.59025110735,2000.94185458
6081608502,81,2637,0.509359643781,5177.08858995
6081608300,81,3401,1.54382352616,2202.9719993
6081608200,81,3614,1.20386281114,3002.00319052
6081608501,81,4829,1.25036296491,3862.0785608
6081608023,81,2549,0.924983461264,2755.72494725
6081608400,81,5546,1.6537321962,3353.62642921
6081608600,81,4359,1.65547710924,2633.07778506
6081608700,81,6974,2.51418150664,2773.86496623
6081609300,81,3315,0.938189055089,3533.40297674
6081609000,81,2562,1.35121133007,1896.07646339
6081610100,81,2484,0.502717619249,4941.14370551
6081610000,81,4531,1.3804412085,3282.28393364
6081610201,81,5764,1.43801219649,4008.31092676
6081609900,81,2944,1.26624209024,2324.98984412
6081610303,81,7336,4.98822230025,1470.6642083
6081610400,81,5623,1.01279537744,5551.96056897
6081610203,81,3436,0.606325840996,5666.91994251
6081610602,81,3386,1.06667951219,3174.3367725
6081610601,81,6257,0.925047412797,6763.9776226
6081610500,81,4963,1.22368068954,4055.79661623
6081613900,81,6064,2.72964530334,2221.5340552
6081600800,81,6768,0.572325923701,11825.4297416
6081600900,81,3933,2.34680286655,1675.89704958
6081600700,81,7568,0.810086451232,9342.21278295
6081601000,81,6913,4.13559756611,1671.58430904
6081601700,81,4286,1.16862640979,3667.55360318
6081601800,81,6148,1.86468291539,3297.07530929
6081601300,81,7510,1.11572805115,6731.03091048
6081611400,81,4237,8.89310751994,476.4363852
6081609603,81,5318,5.97226310028,890.449719095
6081611900,81,10325,3.3114276403,3117.99052299
6081602300,81,3753,13.4263459304,279.525048696
6081609602,81,1667,0.996933303438,1672.12790891
6081613000,81,3386,4.63758904705,730.120751461
6081613700,81,8755,116.877568395,74.9074447753
6081603000,81,4143,4.16329246999,995.125860089
6081604500,81,3402,1.61538653982,2105.99749109
6081611100,81,5913,3.32758779578,1776.96288209
6081607000,81,3241,2.26323109629,1432.02344882
6081604900,81,3243,1.53359985095,2114.63244339
6081608004,81,6521,5.81192559338,1122.00335246
6081610302,81,2108,33.4783003244,62.9661595594
6081613400,81,3093,45.1544268321,68.4982673239
6081602900,81,3846,2.20162855165,1746.88868252
6081602800,81,4522,1.22238792436,3699.31664891
6081603200,81,3828,6.28782762091,608.795315455
6081607600,81,3342,1.3064376862,2558.10134329
6081613501,81,4141,90.2748052197,45.8710488483
6081609700,81,4386,5.42667029298,808.230418139
6081609500,81,4829,1.92241677933,2511.94228635
6081604700,81,2781,1.10443255605,2518.03515278
6081600300,81,4027,2.18310772803,1844.61808654
6081609601,81,2944,2.40184133,1225.72626394
6081603300,81,6404,8.01150224177,799.35070936
6081605000,81,7603,4.06579815828,1869.98953318
6081608001,81,3393,0.608881686777,5572.51116873
6081608900,81,6556,6.14204147496,1067.39754636
6081604200,81,4170,1.73889203037,2398.07873471
6081602700,81,5795,1.79633280444,3226.01690827
6081601400,81,6658,1.46165954958,4555.09629579
6081601501,81,5063,0.724699568529,6986.34333435
6081601502,81,5125,0.807183183881,6349.24029929
6081601603,81,5800,1.24160138074,4671.38655768
6081609800,81,4492,2.04835441472,2192.97987093
6081601605,81,6189,0.942612799815,6565.79244544
6081601604,81,2510,1.48224902322,1693.37267941
6081613800,81,4005,485.343121469,8.25189401651
6081600200,81,4154,1.15876124182,3584.86273969
6081609400,81,3278,1.09295096965,2999.21962745
6081608800,81,5696,2.85549789633,1994.74844906
