geoid,countyfp10,pop10,areakm,popdens
6055201601,55,2287,6.363271428969999,359.406325116
6055201602,55,3527,6.66418425061,529.2470717140001
6055200302,55,2504,1.91063789858,1310.55706676
6055201003,55,4389,72.4844465811,60.550921018500006
6055201007,55,4089,1.31253367526,3115.34863986
6055200707,55,3152,1.49013835153,2115.23983445
6055200505,55,2460,0.771706827713,3187.73906315
6055201004,55,6081,2.65077601233,2294.04520477
6055200301,55,5095,2.90450029526,1754.1743784000007
6055200804,55,5566,1.22802295992,4532.48854594
6055200705,55,2776,1.2716046268,2183.06849589
6055200704,55,4514,1.547151061,2917.62072483
6055200803,55,2165,5.1211717540300015,422.75481159099996
6055200602,55,4468,3.33789324738,1338.5688722999996
6055201006,55,3283,1.55826666937,2106.82809594
6055200601,55,5016,2.04321642536,2454.95285656
6055200706,55,3283,1.85647157266,1768.40844123
6055200504,55,6431,1.85358884988,3469.4856955
6055201102,55,2055,153.998729687,13.3442659182
6055201300,55,2933,3.95439149651,741.7070369969998
6055200900,55,1230,5.062390369030001,242.96822456200002
6055201800,55,1806,759.0139209260001,2.37940299935
6055202000,55,5155,6.769102794659999,761.548488238
6055200201,55,3466,1.39071068686,2492.25092806
6055200203,55,2497,0.880623497091,2835.49099956
6055200202,55,2856,1.02893968547,2775.67289934
6055200501,55,5013,1.97582333943,2537.17015077
6055200503,55,1769,1.36659373991,1294.4593175999996
6055201900,55,1293,177.45934462,7.28617590002
6055201500,55,1868,133.717541998,13.969745271099999
6055200703,55,3047,2.25118560279,1353.50901153
6055200400,55,3618,6.4862260344800005,557.797397249
6055201700,55,5373,182.057205527,29.512701705100003
6055200802,55,5481,14.728769443,372.128847641
6055201402,55,2871,31.4911819214,91.1683787279
6055201403,55,800,238.78206334700002,3.35033540118
6055201101,55,1996,1.79915071811,1109.41233545
6055201005,55,2418,39.0161857872,61.974279423
6055201401,55,3114,103.069063091,30.212751592199997
6055201200,55,4739,59.7466259207,79.3182866307
