geoid,countyfp,tot_elignonreg_prc_final,unreliable_flag
6055201601,55,0.18842917241379287,0
6055201602,55,0.185081956386293,0
6055200302,55,0.2393395414462081,0
6055201003,55,0.31050055187638,0
6055201007,55,0.187063025737602,0
6055200707,55,0.12632785766158305,0
6055200505,55,0.424457215909091,0
6055201004,55,0.291875898068229,0
6055200301,55,0.254481663893511,0
6055200804,55,0.268790106609808,0
6055200705,55,0.0,1
6055200704,55,0.4157948090815271,0
6055200803,55,0.0572606935123044,0
6055200602,55,0.11673546145494,0
6055201006,55,0.15311144715447106,0
6055200601,55,0.12900877828054302,0
6055200706,55,0.104855828382838,0
6055200504,55,0.262896855172414,0
6055201102,55,0.14798346072186802,0
6055201300,55,0.274777176181707,0
6055200900,55,0.807314155251142,0
6055201800,55,0.25999742363877804,0
6055202000,55,0.234873100775194,0
6055200201,55,0.195283661740558,0
6055200203,55,0.301355351473923,0
6055200202,55,0.4334342643391521,0
6055200501,55,0.272981865154379,0
6055200503,55,0.277743298969072,0
6055201900,55,0.164940358422939,0
6055201500,55,0.16610717271727202,0
6055200703,55,0.0,1
6055200400,55,0.216541835268104,0
6055201700,55,0.3714236798856741,0
6055200802,55,0.26028304347826103,0
6055201402,55,0.137618028169014,0
6055201403,55,0.0,1
6055201101,55,0.0293661277445108,0
6055201005,55,0.110186869369369,0
6055201401,55,0.101378576779026,0
6055201200,55,0.0948324591738711,0
