geoid,countyfp,prc_nonengprof_final,unreliable_flag
6055201601,55,0.280864197531,0
6055201602,55,0.087987987988,0
6055200302,55,0.138344662135,0
6055201003,55,0.210013291981,0
6055201007,55,0.174107142857,0
6055200707,55,0.094014084507,0
6055200505,55,0.256300891819,0
6055201004,55,0.194779771615,0
6055200301,55,0.230412712426,0
6055200804,55,0.41361535727,0
6055200705,55,0.181754138781,0
6055200704,55,0.163011998345,0
6055200803,55,0.13965607087,0
6055200602,55,0.104778496765,0
6055201006,55,0.139896373057,0
6055200601,55,0.182857142857,0
6055200706,55,0.0483476132191,0
6055200504,55,0.232103086223,0
6055201102,55,0.093868650874,1
6055201300,55,0.148184028719,1
6055200900,55,0.160281997285,1
6055201800,55,0.0660869565217,0
6055202000,55,0.337672741839,0
6055200201,55,0.133519206939,0
6055200203,55,0.234823529412,0
6055200202,55,0.269841269841,0
6055200501,55,0.312762384551,0
6055200503,55,0.23748308525,0
6055201900,55,0.107313044762,1
6055201500,55,0.118357487923,0
6055200703,55,0.120998321731,1
6055200400,55,0.0799251537022,0
6055201700,55,0.0965285157634,0
6055200802,55,0.0591656638588,0
6055201402,55,0.0637156270959,0
6055201403,55,0.069535401198,1
6055201101,55,0.0406305161093,1
6055201005,55,0.151696606786,0
6055201401,55,0.128266659061,1
6055201200,55,0.193295141099,0
