geoid,prc_white,unreliable_flag
6055201601,0.554671968191,0
6055201602,0.756034482759,0
6055200302,0.491410164639,0
6055201003,0.246425073457,0
6055201007,0.264005443411,0
6055200707,0.69423640508,0
6055200505,0.409485637943,0
6055201004,0.212093166744,0
6055200301,0.417782026769,0
6055200804,0.243670886076,0
6055200705,0.531360112755,0
6055200704,0.480345158198,0
6055200803,0.743307839388,0
6055200602,0.656939501779,0
6055201006,0.351828890267,0
6055200601,0.536292627167,0
6055200706,0.636172765447,0
6055200504,0.484768004999,0
6055201102,0.883720930233,0
6055201300,0.816115011702,0
6055200900,0.531942633638,0
6055201800,0.724568709102,0
6055202000,0.474531338762,0
6055200201,0.5451843044,0
6055200203,0.562553556127,0
6055200202,0.498354180382,0
6055200501,0.415942576502,0
6055200503,0.495066744051,0
6055201900,0.690082644628,0
6055201500,0.621544327931,0
6055200703,0.891733723482,0
6055200400,0.696717411989,0
6055201700,0.590139191682,0
6055200802,0.671093894115,0
6055201402,0.854052308686,0
6055201403,0.728434504792,0
6055201101,0.798742138365,0
6055201005,0.371618625277,0
6055201401,0.870988042794,0
6055201200,0.592263136119,0
