N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score
16,3039,,-121.4930204,38.57413196,0.070155891,0.091170567,0.108206129,1.0,1.0,0.75,0.269532588,0.259493671,0.436708861,0.07278481,0.644230769,0.392405063,0.617088608,0.601265823,0.829113924,0.987341772,0.387912088,0.443037975,0.614997484,0.96589659,0.0,0.534958184,0.520447211,0.614997484,0.328997937
17,2989,,-121.4744015,38.56712631,0.05774626,0.070251746,0.115299531,1.0,1.0,1.0,0.243297537,0.370253165,0.373417722,0.439873418,0.471153846,0.879746835,0.306962025,0.57278481,0.433544304,0.857594937,0.99010989,0.560126582,0.548565677,0.9669967,0.938653692,0.63945927,0.632574245,0.548565677,0.350785408
29,2939,,-121.4557861,38.56011781,0.04927447,0.113593252,0.120072791,1.0,1.0,0.25,0.282940514,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.715384615,0.550632911,0.758429794,0.381738174,0.0,0.509724332,0.477595813,0.758429794,0.38659012
34,2839,,-121.4185658,38.54609225,0.38503248,0.377769093,0.381473651,1.0,1.0,0.75,1.144275224,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.857142857,0.550632911,0.686462003,0.97579758,0.0,0.573027295,0.560153007,0.686462003,0.393361465
35,2838,,-121.4278,38.54598368,0.085238508,0.092421343,0.130158491,1.0,1.0,1.0,0.307818342,0.107594937,0.879746835,0.382911392,0.826923077,0.943037975,0.215189873,0.737341772,0.164556962,0.905063291,0.857142857,0.550632911,0.686462003,0.97579758,0.320826645,0.541865079,0.518921083,0.686462003,0.371969788
40,2936,,-121.4834937,38.55978147,0.068383064,0.093196962,0.103548509,1.0,1.0,1.0,0.265128536,0.376582278,0.310126582,0.401898734,0.278846154,0.702531646,0.338607595,0.430379747,0.547468354,0.946202532,0.889010989,0.588607595,0.732259688,0.867986799,0.0,0.540483423,0.522047501,0.732259688,0.395774222
74,2785,,-121.4368942,38.53864237,0.077774022,0.087056198,0.101151573,0.25,0.25,0.25,0.265981793,0.841772152,0.939873418,0.344936709,0.871794872,0.981012658,0.588607595,0.727848101,0.946202532,0.39556962,0.673626374,0.439873418,0.611474585,0.301430143,0.39065008,0.614843078,0.61100128,0.611474585,0.375960916
90,2670,,-121.501234,38.52339392,0.17601927,0.192915576,0.190296315,1.0,1.0,1.0,0.559231161,0.202531646,0.515822785,0.613924051,0.426282051,0.07278481,0.319620253,0.262658228,0.14556962,0.303797468,0.86043956,0.044303797,0.740312028,0.95379538,0.735503612,0.429976841,0.446736435,0.740312028,0.318317027
94,2614,,-121.5103182,38.51604713,0.113342072,0.121801676,0.218005422,1.0,1.0,1.0,0.453149171,0.617088608,0.626582278,0.648734177,0.445512821,0.408227848,0.449367089,0.306962025,0.886075949,0.705696203,0.718681319,0.183544304,0.724710619,0.550055006,0.444422151,0.511727322,0.525791245,0.724710619,0.370854224
95,2556,,-121.5101712,38.50881522,0.024308321,0.035002401,0.098129689,1.0,1.0,1.0,0.15744041,0.617088608,0.626582278,0.648734177,0.445512821,0.408227848,0.449367089,0.306962025,0.886075949,0.705696203,0.165934066,0.183544304,0.751383996,0.441144114,0.39065008,0.441314404,0.439744598,0.751383996,0.33159658
101,2780,,-121.4830602,38.53808549,0.148915517,0.173018559,0.207612355,0.25,0.25,0.25,0.52954643,0.977848101,0.091772152,0.474683544,0.439102564,0.636075949,0.949367089,0.693037975,0.914556962,0.300632911,0.773626374,0.610759494,0.545546049,0.801980198,0.0,0.612642235,0.615475418,0.545546049,0.334224551
115,2498,,-121.5100242,38.50158333,0.052661773,0.060542234,0.104495534,1.0,1.0,1.0,0.217699542,0.620253165,0.825949367,0.768987342,0.253205128,0.623417722,0.39556962,0.193037975,0.651898734,0.71835443,0.257142857,0.123417722,0.765475591,0.657865787,0.471358347,0.452441587,0.448595992,0.765475591,0.346332991
119,2382,,-121.5097302,38.48711957,0.198121105,0.228933461,0.243676079,1.0,1.0,1.0,0.670730644,0.620253165,0.825949367,0.768987342,0.253205128,0.623417722,0.39556962,0.193037975,0.651898734,0.71835443,0.104395604,0.123417722,0.594363362,0.654565457,0.555527689,0.52100361,0.519000036,0.594363362,0.309665457
123,2495,,-121.5377097,38.50123458,0.06446308,0.075739196,0.18697844,1.0,1.0,1.0,0.327180716,0.335443038,0.943037975,0.794303797,,0.306962025,0.408227848,0.025316456,0.243670886,0.234177215,0.43956044,0.120253165,0.883744338,0.612761276,0.813904494,0.388542043,0.399186394,0.883744338,0.34337183
126,2554,,-121.52863,38.50858341,0.137974974,0.14743342,0.139965442,1.0,1.0,1.0,0.425373837,0.189873418,0.620253165,0.835443038,,0.563291139,0.525316456,0.265822785,0.224683544,0.699367089,0.289010989,0.151898734,0.776044288,0.674367437,0.601223917,0.457455782,0.454635101,0.776044288,0.355005947
137,2439,,-121.5191048,38.49423591,0.207690194,0.253218052,0.232448548,1.0,1.0,1.0,0.693356794,0.129746835,0.753164557,0.743670886,0.051282051,0.319620253,0.275316456,0.319620253,0.981012658,0.727848101,0.193406593,0.484177215,0.712632109,0.913091309,0.473414928,0.492007211,0.49632654,0.712632109,0.350620136
139,2381,,-121.518957,38.48700405,0.092056014,0.095446207,0.101074206,1.0,1.0,1.0,0.288576427,0.129746835,0.753164557,0.743670886,0.051282051,0.319620253,0.275316456,0.319620253,0.981012658,0.727848101,0.446153846,0.484177215,0.720684449,0.925192519,0.936998395,0.530936257,0.538827277,0.720684449,0.382637504
148,2502,,-121.4731097,38.50203847,0.274231661,0.288962379,0.338477605,1.0,1.0,1.0,0.901671646,0.886075949,0.414556962,0.949367089,0.304487179,0.405063291,0.965189873,0.832278481,0.939873418,0.917721519,0.836263736,0.579113924,0.531454454,0.853685369,0.317014446,0.707941649,0.720666862,0.531454454,0.376238743
151,2383,,-121.5005035,38.48723439,0.404689291,0.41483509,0.44353417,1.0,1.0,1.0,1.263058551,0.892405063,0.512658228,0.67721519,0.246794872,0.471518987,0.851265823,0.544303797,0.800632911,0.610759494,0.405494505,0.408227848,0.496225466,0.693069307,0.664325843,0.681241771,0.699755237,0.496225466,0.338049515
155,2384,,-121.4912767,38.4873485,0.128156496,0.142279096,0.266866814,0.25,0.25,0.25,0.537302406,0.898734177,0.594936709,0.791139241,0.208333333,0.905063291,0.879746835,0.64556962,0.53164557,0.813291139,0.969230769,0.658227848,0.489179668,0.126512651,0.873745987,0.689835062,0.699440244,0.489179668,0.337453287
157,2444,,-121.4729663,38.49480654,0.071569882,0.102049511,0.113839375,1.0,1.0,1.0,0.287458769,0.851265823,0.481012658,0.746835443,0.233974359,0.810126582,0.873417722,0.917721519,0.563291139,0.838607595,0.874725275,0.936708861,0.52994464,0.500550055,0.285864767,0.65313275,0.639862626,0.52994464,0.3461242
160,2325,,-121.5003574,38.48000251,0.091736707,0.09621756,0.183174065,1.0,1.0,1.0,0.371128332,0.724683544,0.965189873,0.917721519,0.221153846,0.708860759,0.905063291,0.721518987,0.78164557,0.386075949,0.895604396,0.705696203,0.476597886,0.301430143,0.851424559,0.702610626,0.710481754,0.476597886,0.334862739
202,2447,,-121.4452829,38.49514047,0.228640593,0.291460554,0.413760335,1.0,1.0,1.0,0.933861482,0.873417722,0.734177215,0.721518987,0.384615385,0.525316456,0.721518987,0.496835443,0.601265823,0.221518987,0.865934066,0.553797468,0.634121792,0.754675468,0.0,0.610925956,0.613361373,0.634121792,0.387401462
203,2446,,-121.4545107,38.49502986,0.071268777,0.116928798,0.158722558,1.0,1.0,1.0,0.346920134,0.873417722,0.734177215,0.721518987,0.384615385,0.525316456,0.721518987,0.496835443,0.601265823,0.221518987,0.865934066,0.553797468,0.634121792,0.754675468,0.338483146,0.548817516,0.552287411,0.634121792,0.348017147
204,2388,,-121.4543692,38.48779792,0.005259975,0.010670708,0.127158696,1.0,1.0,1.0,0.143089378,0.873417722,0.734177215,0.721518987,0.384615385,0.525316456,0.721518987,0.496835443,0.601265823,0.221518987,0.865934066,0.553797468,0.634121792,0.754675468,0.754765249,0.609793622,0.611395395,0.634121792,0.386683424
