N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score,cost_adjustment
212,2450,,-121.4175992,38.49546806,0.054429053,0.108609975,0.165583324,1.0,1.0,1.0,0.328622353,0.889240506,0.958860759,0.825949367,0.887820513,0.813291139,0.971518987,0.82278481,0.851265823,0.487341772,0.447252747,0.92721519,0.542526422,0.852585259,0.694121188,0.755301682,0.740409968,0.542526422,0.409771119,0.5
234,2946,,-121.391134,38.56087794,0.074000457,0.077659229,0.194197979,0.25,0.25,0.25,0.345857665,0.607594937,0.449367089,0.424050633,0.176282051,0.984177215,0.044303797,0.452531646,0.329113924,0.313291139,0.395604396,0.664556962,0.836940111,0.00660066,0.295495586,0.389297246,0.371910288,0.836940111,0.32581848,0.75
301,3149,,-121.4009161,38.58969998,0.039763852,0.08795628,0.154455282,1.0,1.0,1.0,0.282175415,0.784810127,0.205696203,0.240506329,0.413461538,0.78164557,0.420886076,0.78164557,0.360759494,0.490506329,0.662637363,0.405063291,0.455963764,0.761276128,0.506219904,0.500695743,0.494357735,0.455963764,0.228299116,1.0
314,3101,,-121.382302,38.58268015,0.080040854,0.132894466,0.177260238,1.0,1.0,1.0,0.390195558,0.14556962,0.629746835,0.224683544,0.032051282,0.006329114,0.006329114,0.022151899,0.386075949,0.224683544,0.842857143,0.0,0.770005033,0.547854785,0.409911717,0.292306657,0.310892915,0.770005033,0.225077597,1.0
318,3259,,-121.3642231,38.60458624,0.387981446,0.404635075,0.441963206,1.0,1.0,1.0,1.234579728,0.193037975,0.838607595,0.208860759,0.397435897,0.14556962,0.101265823,0.110759494,0.306962025,0.389240506,0.59010989,0.142405063,0.404630096,0.532453245,0.402237159,0.438544073,0.453611449,0.404630096,0.17744813,1.25
337,3475,,-121.3555101,38.63361897,0.135501596,0.142965544,0.173146512,1.0,1.0,1.0,0.451613652,0.063291139,0.936708861,0.370253165,0.182692308,0.037974684,0.003164557,0.060126582,0.784810127,0.46835443,0.147252747,0.170886076,0.918470055,0.894389439,0.428972713,0.376753886,0.377057878,0.918470055,0.346037163,0.5
360,3418,,-121.3831107,38.62607333,0.047102025,0.057790694,0.139495089,1.0,1.0,1.0,0.244387809,0.443037975,0.601265823,0.034810127,0.663461538,0.041139241,0.373417722,0.556962025,0.686708861,0.724683544,0.679120879,0.363924051,0.654252642,0.777777778,0.31350321,0.456424449,0.457794685,0.654252642,0.298616902,0.75
371,3361,,-121.4199489,38.61841345,0.154194012,0.165157532,0.167716615,1.0,1.0,1.0,0.487068159,0.958860759,0.237341772,0.414556962,0.682692308,0.648734177,0.686708861,0.911392405,0.797468354,0.848101266,0.776923077,0.775316456,0.130850528,0.807480748,0.439606742,0.667294637,0.662142172,0.3,0.200188391,1.0
400,3632,,-121.4576322,38.65413533,0.460639763,0.460647588,0.527560606,1.0,1.0,1.0,0.690965513,0.936708861,0.905063291,0.772151899,0.666666667,0.85443038,0.731012658,0.629746835,0.278481013,0.420886076,0.816483516,0.908227848,0.662304982,0.314631463,0.389195425,0.613036968,0.605654548,0.662304982,0.406017438,0.5
408,3411,,-121.4478196,38.62531745,0.097725983,0.110349081,0.211670493,1.0,1.0,1.0,0.419745558,0.863924051,0.563291139,0.734177215,0.673076923,0.768987342,0.933544304,0.943037975,0.585443038,0.860759494,0.515384615,0.205696203,0.227981882,0.342134213,0.282102729,0.58889002,0.587242063,0.3,0.176667006,1.25
433,3354,,-121.4846508,38.6176379,0.342232575,0.348788966,0.407637356,1.0,1.0,1.0,1.098658897,0.974683544,0.534810127,0.436708861,0.698717949,0.541139241,0.92721519,0.746835443,0.287974684,0.623417722,0.948351648,0.60443038,0.793658782,0.276127613,0.636035313,0.68117693,0.695310882,0.793658782,0.540622053,0.5
447,3352,,-121.5031368,38.61740997,0.183112861,0.191887877,0.281934992,1.0,1.0,1.0,0.65693573,0.89556962,0.268987342,0.458860759,0.211538462,0.610759494,0.164556962,0.575949367,0.759493671,0.753164557,0.746153846,0.294303797,0.745848012,0.316831683,0.656099518,0.550376822,0.559310131,0.745848012,0.410497459,0.5
455,3623,,-121.5408596,38.65310596,0.231055618,0.510280002,0.786334817,0.75,0.75,0.75,0.115527809,0.528481013,0.594936709,0.598101266,0.330128205,0.028481013,0.294303797,0.560126582,0.313291139,0.231012658,0.178021978,0.455696203,0.914947157,0.754675468,0.480838684,0.366737162,0.353576899,0.914947157,0.335545124,0.75
489,3295,,-121.5307164,38.60983075,0.937505959,0.939949962,0.76460442,1.0,1.0,1.0,0.0,0.560126582,0.582278481,0.544303797,0.724358974,0.39556962,0.462025316,0.920886076,0.009493671,0.117088608,0.6,0.689873418,0.920986412,0.346534653,0.471358347,0.408223852,0.39179595,0.920986412,0.37596862,0.5
524,3800,,-121.5320606,38.67491953,0.094032075,0.378227358,0.490204225,0.75,0.75,0.75,0.962463658,0.158227848,0.984177215,0.886075949,0.625,0.075949367,0.512658228,0.066455696,0.234177215,0.417721519,0.242857143,0.534810127,0.911424258,0.376237624,0.889145265,0.500084829,0.508955202,0.911424258,0.455789444,0.5
537,3803,,-121.5043102,38.67526699,0.379794031,0.439147292,0.471171909,1.0,0.75,0.75,1.290113232,0.509493671,0.908227848,0.870253165,0.641025641,0.129746835,0.892405063,0.607594937,0.136075949,0.155063291,0.30989011,0.851265823,0.77302466,0.381738174,0.753059791,0.559174983,0.571994245,0.77302466,0.432256051,0.5
583,3925,,-121.4583435,38.69029647,0.119509781,0.134806879,0.173628981,1.0,1.0,1.0,0.42794564,0.715189873,0.515822785,0.21835443,0.294871795,0.746835443,0.234177215,0.411392405,0.161392405,0.382911392,0.849450549,0.696202532,0.759436336,0.424642464,0.318519262,0.460638896,0.449742978,0.759436336,0.349825915,0.5
632,4102,,-121.3939861,38.71275504,0.094860203,0.114983501,0.123471427,1.0,1.0,1.0,0.333315131,0.35443038,0.199367089,0.512658228,0.169871795,0.889240506,0.765822785,0.180379747,0.155063291,0.306962025,0.982417582,0.810126582,0.72924006,0.746974697,0.375200642,0.510980356,0.509405769,0.72924006,0.372627345,0.5
