AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FAKE_POP
1400000US06067009616,6067009616,96.16,CT,2169733,0,867893.2
1400000US06067009618,6067009618,96.18,CT,13415405,552175,5366162
1400000US06067009636,6067009636,96.36,CT,2967622,0,1187048.8
1400000US06067009638,6067009638,96.38,CT,122969071,941078,49187628.4
1400000US06067002200,6067002200,22,CT,2442983,287416,977193.2
1400000US06067002700,6067002700,27,CT,1288107,0,515242.8
1400000US06067003400,6067003400,34,CT,2248127,34205,899250.8
1400000US06067003600,6067003600,36,CT,1269305,0,507722
1400000US06067003800,6067003800,38,CT,4898249,0,1959299.6
1400000US06067004006,6067004006,40.06,CT,1873697,86293,749478.8
1400000US06067004010,6067004010,40.1,CT,1648104,0,659241.6
1400000US06067004012,6067004012,40.12,CT,1522585,511274,609034
1400000US06067008144,6067008144,81.44,CT,1405520,0,562208
1400000US06067008203,6067008203,82.03,CT,6096148,22112,2438459.2
1400000US06067008207,6067008207,82.07,CT,3487973,313728,1395189.2
1400000US06067008505,6067008505,85.05,CT,1223168,0,489267.2
1400000US06067008507,6067008507,85.07,CT,3641570,0,1456628
1400000US06067008510,6067008510,85.1,CT,3988487,0,1595394.8
1400000US06067008705,6067008705,87.05,CT,80636892,9724,32254756.8
1400000US06067008905,6067008905,89.05,CT,1614295,0,645718
1400000US06067008909,6067008909,89.09,CT,2349922,352472,939968.8
1400000US06067008911,6067008911,89.11,CT,547169,0,218867.6
1400000US06067008913,6067008913,89.13,CT,4183817,193074,1673526.8
1400000US06067009005,6067009005,90.05,CT,15678764,15597,6271505.6
1400000US06067009006,6067009006,90.06,CT,2904679,0,1161871.6
1400000US06067009010,6067009010,90.1,CT,4741861,0,1896744.4
1400000US06067009011,6067009011,90.11,CT,5282390,0,2112956
1400000US06067009106,6067009106,91.06,CT,1579137,195740,631654.8
1400000US06067009108,6067009108,91.08,CT,1502477,0,600990.8
1400000US06067009314,6067009314,93.14,CT,5187090,0,2074836
1400000US06067009320,6067009320,93.2,CT,1663289,0,665315.6
1400000US06067009322,6067009322,93.22,CT,5097801,0,2039120.4
1400000US06067009325,6067009325,93.25,CT,46681280,112446,18672512
1400000US06067009407,6067009407,94.07,CT,7495655,0,2998262
1400000US06067004201,6067004201,42.01,CT,1898619,0,759447.6
1400000US06067004300,6067004300,43,CT,3778405,0,1511362
1400000US06067004401,6067004401,44.01,CT,1386523,0,554609.2
1400000US06067004501,6067004501,45.01,CT,1802495,0,720998
1400000US06067004601,6067004601,46.01,CT,2267752,0,907100.8
1400000US06067004702,6067004702,47.02,CT,1539656,0,615862.4
1400000US06067004903,6067004903,49.03,CT,1775344,0,710137.6
1400000US06067004905,6067004905,49.05,CT,1719198,0,687679.2
1400000US06067005301,6067005301,53.01,CT,5827225,439612,2330890
1400000US06067005403,6067005403,54.03,CT,1306805,0,522722
1400000US06067005508,6067005508,55.08,CT,963741,0,385496.4
1400000US06067005601,6067005601,56.01,CT,2619542,0,1047816.8
1400000US06067005904,6067005904,59.04,CT,2606819,0,1042727.6
1400000US06067006102,6067006102,61.02,CT,1308689,0,523475.6
1400000US06067006701,6067006701,67.01,CT,3289851,0,1315940.4
1400000US06067006900,6067006900,69,CT,5021337,256731,2008534.8
1400000US06067007007,6067007007,70.07,CT,3367060,556030,1346824
1400000US06067007016,6067007016,70.16,CT,4885235,0,1954094
1400000US06067007101,6067007101,71.01,CT,75516029,754933,30206411.6
1400000US06067007202,6067007202,72.02,CT,10786195,0,4314478
1400000US06067000800,6067000800,8,CT,525743,51938,210297.2
1400000US06067001200,6067001200,12,CT,676073,0,270429.2
1400000US06067002000,6067002000,20,CT,1033082,0,413232.8
1400000US06067007207,6067007207,72.07,CT,8956049,0,3582419.6
1400000US06067007413,6067007413,74.13,CT,5486059,192933,2194423.6
1400000US06067007424,6067007424,74.24,CT,1440885,0,576354
1400000US06067007430,6067007430,74.3,CT,1905258,0,762103.2
1400000US06067007601,6067007601,76.01,CT,2987952,0,1195180.8
1400000US06067007802,6067007802,78.02,CT,4580213,243183,1832085.2
1400000US06067008005,6067008005,80.05,CT,5545461,654672,2218184.4
1400000US06067008117,6067008117,81.17,CT,944515,0,377806
1400000US06067008125,6067008125,81.25,CT,2558194,0,1023277.6
1400000US06067008131,6067008131,81.31,CT,2916414,0,1166565.6
1400000US06067008134,6067008134,81.34,CT,1630867,0,652346.8
1400000US06067008211,6067008211,82.11,CT,7710359,3934,3084143.6
1400000US06067008501,6067008501,85.01,CT,5424830,4213274,2169932
1400000US06067008504,6067008504,85.04,CT,5800273,621652,2320109.2
1400000US06067008506,6067008506,85.06,CT,1109173,584,443669.2
1400000US06067008600,6067008600,86,CT,318813708,1286764,127525483.2
1400000US06067008702,6067008702,87.02,CT,3053104,218396,1221241.6
1400000US06067008801,6067008801,88.01,CT,25417822,64570,10167128.8
1400000US06067009111,6067009111,91.11,CT,1470877,0,588350.8
1400000US06067009201,6067009201,92.01,CT,56006119,11789,22402447.6
1400000US06067009309,6067009309,93.09,CT,2096554,0,838621.6
1400000US06067009316,6067009316,93.16,CT,1280254,0,512101.6
1400000US06067009318,6067009318,93.18,CT,1330305,0,532122
1400000US06067009319,6067009319,93.19,CT,2327857,0,931142.8
1400000US06067009323,6067009323,93.23,CT,3791837,0,1516734.8
1400000US06067009326,6067009326,93.26,CT,13633771,0,5453508.4
1400000US06067009330,6067009330,93.3,CT,5925547,0,2370218.8
1400000US06067009406,6067009406,94.06,CT,155014342,1465906,62005736.8
1400000US06067009502,6067009502,95.02,CT,10404013,0,4161605.2
1400000US06067009503,6067009503,95.03,CT,3787270,0,1514908
1400000US06067008120,6067008120,81.2,CT,1972205,0,788882
1400000US06067008124,6067008124,81.24,CT,2433986,0,973594.4
1400000US06067008127,6067008127,81.27,CT,2318713,0,927485.2
1400000US06067008130,6067008130,81.3,CT,1716530,0,686612
1400000US06067008133,6067008133,81.33,CT,903778,0,361511.2
1400000US06067008135,6067008135,81.35,CT,1392058,0,556823.2
1400000US06067008138,6067008138,81.38,CT,1807428,0,722971.2
1400000US06067008143,6067008143,81.43,CT,2405914,0,962365.6
1400000US06067008145,6067008145,81.45,CT,3391868,0,1356747.2
1400000US06067008206,6067008206,82.06,CT,2821077,0,1128430.8
1400000US06067008208,6067008208,82.08,CT,3544722,0,1417888.8
1400000US06067009601,6067009601,96.01,CT,7084630,548874,2833852
1400000US06067009611,6067009611,96.11,CT,1926329,0,770531.6
1400000US06067009614,6067009614,96.14,CT,2220737,0,888294.8
1400000US06067009619,6067009619,96.19,CT,3090309,120267,1236123.6
1400000US06067009632,6067009632,96.32,CT,2236384,0,894553.6
1400000US06067009634,6067009634,96.34,CT,1180160,0,472064
1400000US06067009639,6067009639,96.39,CT,2849249,0,1139699.6
1400000US06067988300,6067988300,9883,CT,3824924,166308,1529969.6
1400000US06067007015,6067007015,70.15,CT,5413460,475620,2165384
1400000US06067007102,6067007102,71.02,CT,4437053,0,1774821.2
1400000US06067007104,6067007104,71.04,CT,2224427,0,889770.8
1400000US06067007107,6067007107,71.07,CT,13580340,452122,5432136
1400000US06067007204,6067007204,72.04,CT,8183344,0,3273337.6
1400000US06067007301,6067007301,73.01,CT,12764303,0,5105721.2
1400000US06067007402,6067007402,74.02,CT,2861956,0,1144782.4
1400000US06067007406,6067007406,74.06,CT,4561337,0,1824534.8
1400000US06067007417,6067007417,74.17,CT,2459057,0,983622.8
1400000US06067007423,6067007423,74.23,CT,987680,0,395072
1400000US06067007426,6067007426,74.26,CT,868096,0,347238.4
1400000US06067007431,6067007431,74.31,CT,1142219,0,456887.6
1400000US06067007501,6067007501,75.01,CT,2630957,0,1052382.8
1400000US06067007701,6067007701,77.01,CT,2453452,0,981380.8
1400000US06067005803,6067005803,58.03,CT,3725468,70859,1490187.2
1400000US06067006002,6067006002,60.02,CT,1970203,0,788081.2
1400000US06067006101,6067006101,61.01,CT,2796720,0,1118688
1400000US06067006201,6067006201,62.01,CT,2227677,0,891070.8
1400000US06067006400,6067006400,64,CT,3416902,0,1366760.8
1400000US06067006702,6067006702,67.02,CT,3928154,0,1571261.6
1400000US06067006800,6067006800,68,CT,2481280,0,992512
1400000US06067007001,6067007001,70.01,CT,3152852,192465,1261140.8
1400000US06067007012,6067007012,70.12,CT,1060387,0,424154.8
