basename,cleanname
prc_nonEngProf_Final,Percentile Non English
prc_CarAccess_Final,Percentile Car Access
prcDisabled_Final,Percentile Disabled
prc_popAmInd_Final,Percentile American Indian
prc_popAsian_Final,Percentile Asian
prc_popLatino_Final,Percentile Latino
prc_Pov_Final,Percentile Poverty
prc_Youth_Final, Percentile Youth
cvapDens,Eligible Voter Density
