"","three_day_ID","geocode.b","geocode.bg","geocode.t","lon","lat","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","geocode.b1","geocode.b2","geocode.b3","geocode.bg1","geocode.bg2","geocode.bg3","transit.dist.1","transit.dist.2","transit.dist.3","transit.score1","transit.score2","transit.score3","transit.score.std","prc.latino.std","dens.cvap.std","prc.asian.std","prc.AmInd.std","prc.youth.std","prc.nonEngProf.std","prc.pov.std","prc.disabled.std","prc.CarAccess.std","rate.vbm.std","prc.ElNonReg.std","dens.poll.std","dens.work.std","popDens.std","commute.car.std","commute.walk.std","center_score","dropoff_score","dens.poll.std_0.3","wtd_center_score","quadrant"
"451",451,60670096222026,60670096222,6067009622,-121.474923828571,38.4077105458333,6,67,9622,2026,60670096222026,"Block 2026","G5040","U",77068,"U","S",215375,0,38.4066685,-121.4713415,60670096222027,60670096222028,60670096351000,60670096222,60670096222,60670096351,4.06405217469272,4.07817358101262,4.09253400395499,1,1,1,0,0.284810126582278,0.917721518987342,0.715189873417722,0.253164556962025,0.284810126582278,0.136075949367089,0.800632911392405,0.0411392405063291,0.259493670886076,0.269230769230769,0.129746835443038,1,0.63036303630363,0.578200240770466,0.26235952224966,0.26235952224966,0.341927341965784,0.325585729264135,1,0.341927341965784,3
"25",25,60670040101010,60670040101,6067004010,-121.513514457143,38.4817432854167,6,67,4010,1010,60670040101010,"Block 1010","G5040","U",77068,"U","S",47901,0,38.4827474,-121.5148054,60670040101005,60670040101010,60670040101015,60670040101,60670040101,60670040101,0.112212384863592,0.163084722965494,0.19724062761691,1,1,0.5,0.472537735445997,0.363924050632911,0.753164556962025,0.712025316455696,0.177215189873418,0.376582278481013,0.208860759493671,0.167721518987342,0.743670886075949,0.683544303797468,0.172527472527473,0.484177215189873,0.656976744186046,0.913091309130913,0.989014847512038,0.409565085924507,0.409565085924507,0.517870012347763,0.518146815049641,0.656976744186046,0.340228554623821,3
"89",89,60670070151012,60670070151,6067007015,-121.552105085714,38.6446153125,6,67,7015,1012,60670070151012,"Block 1012","G5040","U",77068,"U","S",633262,0,38.6489521,-121.5509594,60670070151039,60670070151038,60670070151027,60670070151,60670070151,60670070151,0.874161342538218,0.919344028065623,0.987194640740545,0.75,0.75,0.75,0,0.411392405063291,0.594936708860759,0.64873417721519,0.395569620253165,0.620253164556962,0.243670886075949,0.449367088607595,0.490506329113924,0.256329113924051,0.0912087912087912,0.455696202531646,0.895348837209302,0.754675467546755,0.267606340288925,0.336592249155874,0.336592249155874,0.373596393224123,0.351751884684192,0.895348837209302,0.334499096258808,3
"450",450,60670096192005,60670096192,6067009619,-121.474923828571,38.42251709375,6,67,9619,2005,60670096192005,"Block 2005","G5040","U",77068,"U","S",221309,0,38.4231506,-121.4772215,60670096192007,60670096192014,60670096192005,60670096192,60670096192,60670096192,3.12351900333807,3.15011569099622,3.14272287235751,1,1,1,0,0.512658227848101,0.977848101265823,0.908227848101266,0.268987341772152,0.471518987341772,0.487341772151899,0.208860759493671,0.069620253164557,0.237341772151899,0.145054945054945,0.462025316455696,0.88953488372093,0.643564356435644,0.477176966292135,0.258277478203901,0.258277478203901,0.37320181986047,0.353675331116135,0.88953488372093,0.331976037434023,3
"23",23,60670040013023,60670040013,6067004001,-121.513514457143,38.4965498333333,6,67,4001,3023,60670040013023,"Block 3023","G5040","U",77068,"U","S",27368,0,38.4970353,-121.514131,60670040013023,60670040013022,60670040013021,60670040013,60670040013,60670040013,0.091463656382971,0.103633081625038,0.147392182854638,1,1,1,0.342488920862647,0.433544303797468,0.825949367088608,0.867088607594937,0.145569620253165,0.525316455696203,0.360759493670886,0.117088607594937,0.835443037974684,0.658227848101266,0.250549450549451,0.123417721518987,0.713178294573643,0.657865786578658,0.470054173354735,0.452703724235247,0.452703724235247,0.460751977905643,0.463061621054451,0.713178294573643,0.32859830982418,3
"16",16,60670034003017,60670034003,6067003400,-121.513514457143,38.51135638125,6,67,3400,3017,60670034003017,"Block 3017","G5040","U",77068,"U","S",22655,0,38.5116281,-121.5131621,60670034003017,60670034003016,60670034003014,60670034003,60670034003,60670034003,0.119251204301896,0.136166952910497,0.165786159535672,1,1,1,0.421204316748065,0.579113924050633,0.626582278481013,0.670886075949367,0.25,0.291139240506329,0.417721518987342,0.360759493670886,0.778481012658228,0.80379746835443,0.162637362637363,0.183544303797468,0.697674418604651,0.441144114411441,0.419341894060995,0.641788036083254,0.641788036083254,0.466029288042549,0.465430414218915,0.697674418604651,0.325136712587825,3
"33",33,60670046015010,60670046015,6067004601,-121.4363332,38.51135638125,6,67,4601,5010,60670046015010,"Block 5010","G5040","U",77068,"U","S",215157,0,38.5118717,-121.4401581,60670032022012,60670032022019,60670032022016,60670032022,60670032022,60670032022,0.0444717706757951,0.0505135992947982,0.0794915386426726,1,1,1,0.174476908613266,0.911392405063291,0.844936708860759,0.620253164556962,0.300632911392405,0.867088607594937,0.822784810126582,0.930379746835443,0.636075949367089,0.870253164556962,0.575824175824176,0.965189873417722,0.449612403100775,0.952695269526953,0.562700642054575,0.135412991987099,0.135412991987099,0.705146665266387,0.682020546588767,0.449612403100775,0.317042686708918,3
"109",109,60670071051005,60670071051,6067007105,-121.494219142857,38.6742284083333,6,67,7105,1005,60670071051005,"Block 1005","G5040","U",77068,"U","S",25107,0,38.6737072,-121.4950122,60670071051005,60670071051004,60670071051011,60670071051,60670071051,60670071051,0.146647699478211,0.592162224462925,0.64775918599,0.75,0.75,0.75,0.0733238497391054,0.791139240506329,0.908227848101266,0.841772151898734,0.882911392405063,0.177215189873418,0.889240506329114,0.253164556962025,0.0253164556962025,0.177215189873418,0.171428571428571,0.85126582278481,0.633720930232558,0.22002200220022,0.893208266452649,0.594113793277226,0.594113793277226,0.464917514664007,0.453524492688234,0.633720930232558,0.294627959874283,3
"96",96,60670070201001,60670070201,6067007020,-121.532809771429,38.6150022166667,6,67,7020,1001,60670070201001,"Block 1001","G5040","U",77068,"U","S",98741,0,38.6156091,-121.5315905,60670070201002,60670070201001,60670070201000,60670070201,60670070201,60670070201,0.859617001082595,0.872219584091311,1.07367134863748,1,1,0.75,0,0.623417721518987,0.582278481012658,0.607594936708861,0.661392405063291,0.338607594936709,0.430379746835443,0.186708860759494,0,0.142405063291139,0.565934065934066,0.689873417721519,0.89922480620155,0.346534653465347,0,0.158342992491055,0.158342992491055,0.310393843074875,0.291391930351758,0.89922480620155,0.279113843385159,3
"17",17,60670035021021,60670035021,6067003502,-121.494219142857,38.5261629291667,6,67,3502,1021,60670035021021,"Block 1021","G5040","U",77068,"U","S",11618,0,38.5262853,-121.4944541,60670035021021,60670035021010,60670035021020,60670035021,60670035021,60670035021,0.100836839473236,0.109791337670326,0.139895268846255,1,1,1,0.350523445989817,0.778481012658228,0.167721518987342,0.686708860759494,0.240506329113924,0.10126582278481,0.85126582278481,0.291139240506329,0.689873417721519,0.462025316455696,0.614285714285714,0.265822784810127,0.529069767441861,0.601760176017602,0.692114767255217,0.83495439197702,0.83495439197702,0.519896268407769,0.53875445831603,0.529069767441861,0.275061397820389,3
"125",125,60670072082012,60670072082,6067007208,-121.474923828571,38.68903495625,6,67,7208,2012,60670072082012,"Block 2012","G5040","U",77068,"U","S",273737,0,38.6873286,-121.4733167,60670072082012,60670072082011,60670072083011,60670072082,60670072082,60670072083,0.716962973768033,0.733002615723794,0.731362084572381,1,1,1,0,0.199367088607595,0.515822784810127,0.857594936708861,0.924050632911392,0.537974683544304,0.161392405063291,0.468354430379747,0.370253164556962,0.294303797468354,0.865934065934066,0.69620253164557,0.705426356589147,0.424642464246425,0.274929775280899,0.0680340674293202,0.0680340674293202,0.376571184479533,0.367544806591737,0.705426356589147,0.265643238663856,3
"117",117,60670072042026,60670072042,6067007204,-121.4363332,38.6594218604167,6,67,7204,2026,60670072042026,"Block 2026","G5040","U",77068,"U","S",43341,0,38.6590204,-121.436206,60670072042026,60670072042038,60670072042014,60670072042,60670072042,60670072042,0.217016469569117,0.224451839300222,0.436213990509573,1,1,1,0.877682299378913,0.756329113924051,0.443037974683544,0.588607594936709,0.319620253164557,0.658227848101266,0.70253164556962,0.392405063291139,0.322784810126582,0.158227848101266,0.682417582417582,0.360759493670886,0.507751937984496,0.914191419141914,0.290930979133226,0.0611298694753817,0.0611298694753817,0.51144098205225,0.521654021061933,0.507751937984496,0.259685149801724,3
"78",78,60670067014002,60670067014,6067006701,-121.455628514286,38.6446153125,6,67,6701,4002,60670067014002,"Block 4002","G5040","U",77068,"U","S",79175,0,38.6461251,-121.4556205,60670067014002,60670067014004,60670067014009,60670067014,60670067014,60670067014,0.0655245189518873,0.0710977356115522,0.0765903053804136,1,1,1,0.213212559943853,0.905063291139241,0.905063291139241,0.813291139240506,0.721518987341772,0.857594936708861,0.721518987341772,0.541139240506329,0.287974683544304,0.572784810126582,0.986813186813187,0.908227848101266,0.356589147286822,0.683168316831683,0.981139646869984,0.154210552839792,0.154210552839792,0.671504226476797,0.664519174413372,0.356589147286822,0.239451119518858,3
"80",80,60670068003003,60670068003,6067006800,-121.455628514286,38.6150022166667,6,67,6800,3003,60670068003003,"Block 3003","G5040","U",77068,"U","S",20723,0,38.6158518,-121.4552079,60670068003003,60670068003004,60670068003008,60670068003,60670068003,60670068003,0.0662075248935349,0.0796997341470968,0.13694632466291,1,1,1,0.282853583703542,0.990506329113924,0.768987341772152,0.481012658227848,0.762658227848101,0.924050632911392,0.89873417721519,0.965189873417722,0.968354430379747,0.949367088607595,0.926373626373626,0.977848101265823,0.122093023255814,0.0616061606160616,0.713633627608347,0.46268205412488,0.46268205412488,0.763201425109598,0.760259793392392,0.3,0.22896042753288,3
"141",141,60670074213017,60670074213,6067007421,-121.339856628571,38.7038415041667,6,67,7421,3017,60670074213017,"Block 3017","G5040","U",77068,"U","S",58841,0,38.7045546,-121.3396591,60670074213017,60670074213015,60670074282031,60670074213,60670074213,60670074282,0.490782439505994,0.669773846051681,0.742231289753516,1,1,1,0.245391219752997,0.319620253164557,0.981012658227848,0.560126582278481,0.879746835443038,0.731012658227848,0.620253164556962,0.955696202531646,0.151898734177215,0.0981012658227848,0.741758241758242,0.300632911392405,0.711240310077519,0.730473047304731,0.656099518459069,0.412185657410674,0.412185657410674,0.528343416509747,0.524586003750604,0.711240310077519,0.375779135385809,4
"303",303,60670091092019,60670091092,6067009109,-121.359151942857,38.555776025,6,67,9109,2019,60670091092019,"Block 2019","G5040","U",77068,"U","S",37214,0,38.5555129,-121.3567876,60670091092013,60670091092020,60670091082005,60670091092,60670091092,60670091082,0.298698330495373,0.302159281401782,0.308412179482505,1,1,1,0.90926979137966,0.44620253164557,0.784810126582278,0.518987341772152,0.129746835443038,0.981012658227848,0.268987341772152,0.408227848101266,0.44620253164557,0.484177215189873,0.584615384615385,0.392405063291139,0.693798449612403,0.151815181518152,0.630016051364366,0.424633371969964,0.424633371969964,0.532211270808186,0.538489359860594,0.693798449612403,0.369247354552966,4
"285",285,60670088012011,60670088012,6067008801,-121.281970685714,38.5409694770833,6,67,8801,2011,60670088012011,"Block 2011","G5040","U",77068,"U","S",54522,0,38.5417701,-121.2807071,60670088012012,60670088012011,60670088012035,60670088012,60670088012,60670088012,1.88559514065518,1.94935285629069,1.96079449071968,1,0.5,0.5,0,0.427215189873418,0.40506329113924,0.737341772151899,0.854430379746835,0.25,0.45253164556962,0.237341772151899,0.462025316455696,0.708860759493671,0.66043956043956,0.284810126582278,0.905038759689923,0.456545654565457,0.589887640449438,0.336340271128358,0.336340271128358,0.405667400673671,0.410624482849826,0.905038759689923,0.367144721152334,4
"299",299,60670090111017,60670090111,6067009011,-121.281970685714,38.5705825729167,6,67,9011,1017,60670090111017,"Block 1017","G5040","U",77068,"U","S",381945,0,38.5737417,-121.2813888,60670090111017,60670090111021,60670090112022,60670090111,60670090111,60670090112,0.183387150880081,0.186545460153779,0.435524041250304,0.5,0.5,0.5,0.805456652284165,0.151898734177215,0.360759493670886,0.816455696202532,0.0474683544303797,0.411392405063291,0.718354430379747,0.629746835443038,0.0126582278481013,0.272151898734177,0.335164835164835,0.414556962025316,0.854651162790698,0.543454345434543,0.283758025682183,0.54865695711334,0.54865695711334,0.422595332756064,0.423827819114766,0.854651162790698,0.361171592529892,4
"146",146,60670074333009,60670074333,6067007433,-121.359151942857,38.7038415041667,6,67,7433,3009,60670074333009,"Block 3009","G5040","U",77068,"U","S",268686,0,38.7058905,-121.3579115,60670074291001,60670074291000,60670074291007,60670074291,60670074291,60670074291,0.259690867970977,0.255731958784001,0.292281565404352,1,1,1,0.807704392159329,0.215189873417722,0.962025316455696,0.658227848101266,0.272151898734177,0.914556962025316,0.813291139240506,0.183544303797468,0.0348101265822785,0.474683544303797,0.448351648351648,0.867088607594937,0.65891472868217,0.766776677667767,0.430628009630819,0.185052663407751,0.185052663407751,0.547905875135354,0.539035903388361,0.65891472868217,0.361023251058179,4
