geoid,lon,lat
06067000700,-121.50277008474,38.5818005851984
06067005202,-121.394931721823,38.5601071957148
06067000300,-121.454347971418,38.5777748672271
06067000500,-121.482309222832,38.5834324065036
06067002500,-121.481226552422,38.5455434041045
06067003204,-121.418331359438,38.5205737663678
06067004100,-121.478518861667,38.506613646571
06067004402,-121.460278134185,38.5323690877005
06067004802,-121.419058633357,38.4995660810566
06067005002,-121.426523535371,38.4848800516545
06067005801,-121.355265157897,38.602751278053
06067006003,-121.375173676926,38.6341848259924
06067007011,-121.508131035838,38.6170516223988
06067007106,-121.489854164032,38.6678088873856
06067007416,-121.353865609541,38.6811699607412
06067007432,-121.354900276969,38.7226042960031
06067007905,-121.301795965893,38.6429389348939
06067008122,-121.253264009968,38.6713748029651
06067008139,-121.266969757121,38.6711148765908
06067008404,-121.175042843512,38.6764647699431
06067008910,-121.311171425855,38.5937960700479
06067009008,-121.298460803541,38.5874635931447
06067009107,-121.344615414687,38.5710731449965
06067009110,-121.371345167695,38.5576368161212
06067009328,-121.345269078545,38.399396728523
06067009504,-121.297582541356,38.2467032775758
06067009633,-121.438387817295,38.4632109729122
06067001600,-121.439657382588,38.5616490707349
06067000400,-121.469379210518,38.5801058332748
06067002300,-121.493842907507,38.5571659842568
06067003203,-121.418236845265,38.5133057851562
06067003502,-121.488572670079,38.5245183219798
06067004008,-121.54535588068,38.4901619615656
06067005101,-121.4013847871,38.4884284992639
06067005502,-121.426975690763,38.6046426905293
06067005605,-121.392260074528,38.5922370293383
06067005903,-121.350636429757,38.6137480895999
06067006004,-121.373712020627,38.6249575433888
06067006600,-121.440925085231,38.6251343118422
06067007010,-121.516279402456,38.6105072246106
06067008111,-121.300231997898,38.6991392835009
06067007018,-121.517319485803,38.6442159867511
06067007105,-121.500231610827,38.6780821295138
06067007208,-121.46618833383,38.6839142053416
06067007414,-121.358316917983,38.6881567645195
06067007422,-121.340950994671,38.6918377661471
06067007429,-121.357690949433,38.6982634824508
06067007602,-121.337081817255,38.6317817041863
06067008006,-121.234947461833,38.6488224276877
06067008128,-121.304388905014,38.7183373748952
06067008137,-121.288515435071,38.6709683269221
06067008140,-121.279070852189,38.6948396922663
06067008204,-121.234964222259,38.671342435803
06067008403,-121.165329639722,38.6663003908479
06067008509,-121.123158098873,38.6779198598117
06067008704,-121.233379249002,38.5534665284573
06067009307,-121.362358558945,38.4162659146904
06067009311,-121.352951791202,38.4728727503054
06067009321,-121.388968617752,38.4601423719191
06067009329,-121.344318524191,38.4581430967083
06067009332,-121.339313886385,38.4381467483231
06067009609,-121.433333197345,38.4459248646938
06067009622,-121.467234396371,38.4114061504755
06067000800,-121.504882418176,38.5765799961961
06067001500,-121.459370176421,38.567462181553
06067004202,-121.486275854849,38.4884256448695
06067005102,-121.383158394233,38.4891628972009
06067007209,-121.447836581852,38.6910448469547
06067008008,-121.25819646648,38.6584852143751
06067008908,-121.277141830734,38.6063607864618
06067009308,-121.381992889859,38.4166749801716
06067009612,-121.41222690198,38.4158297940463
06067003102,-121.435899304328,38.5287307089426
06067004203,-121.474420360714,38.4882270555343
06067004502,-121.462915657583,38.5025552452518
06067005001,-121.417384344141,38.4893027860009
06067007014,-121.490604935701,38.614999994952
06067007702,-121.336988522588,38.6020675982403
06067008113,-121.297035540079,38.7128035982896
06067008513,-121.103708124024,38.6509307807859
06067009112,-121.345822064018,38.538969987305
06067009331,-121.343928978158,38.4163494356696
06067009630,-121.442284496704,38.3865613123695
06067009310,-121.362033033675,38.3945004123677
06067004701,-121.439471324373,38.5002033286645
06067003101,-121.418554196789,38.5285829023499
06067009615,-121.434092667548,38.4284171489343
06067006300,-121.429333482406,38.622843756014
06067007004,-121.489797577687,38.6327982306958
06067007415,-121.346805365552,38.6789528846974
06067007904,-121.300245040653,38.6563113555071
06067009109,-121.360715542107,38.5555087906693
06067000200,-121.440823854849,38.5740908462138
06067003501,-121.48832659598,38.5331649725454
06067005204,-121.385442055469,38.5498231099399
06067005509,-121.413005731704,38.585232985388
06067007428,-121.346625311508,38.699476721488
06067009007,-121.303670578335,38.5765349159824
06067009314,-121.362464785106,38.4380757049682
06067001200,-121.487074314268,38.5716063235207
06067009501,-121.359959410284,38.2762159172461
06067009610,-121.43755306016,38.4555255153564
06067009616,-121.425871237933,38.4168583810262
06067009618,-121.464245233743,38.4419341830484
06067009636,-121.443443749695,38.4013624451141
06067009638,-121.414328900114,38.3320028280274
06067002000,-121.490336339464,38.5652800590777
06067002200,-121.509980139167,38.5579631946385
06067002700,-121.471107403628,38.5475993813475
06067003400,-121.508352354442,38.5136111767371
06067003600,-121.477886922444,38.532754100062
06067003800,-121.493166129151,38.5073232295092
06067004006,-121.524147303854,38.5075838845544
06067004010,-121.520625464856,38.4876756470558
06067004012,-121.522224686577,38.4764337356341
06067008144,-121.256489594714,38.6844564139345
06067008203,-121.233784565159,38.6994053576398
06067008207,-121.197996444384,38.665257949003
06067008505,-121.145533156332,38.6632337436585
06067008507,-121.129317782191,38.6506761845196
06067008510,-121.120176451181,38.6655040479687
06067008705,-121.211795109534,38.5848015335178
06067008905,-121.296734209002,38.5983087058534
06067008909,-121.324952950865,38.5899069279874
06067008911,-121.31729714177,38.5875974668376
06067008913,-121.298872727682,38.6136500952799
06067009005,-121.30303173108,38.5330134063657
06067009006,-121.319032953695,38.5734933790241
06067009010,-121.28061496565,38.5901209353118
06067009320,-121.403392572102,38.4605098653998
06067009106,-121.3636716951,38.5661705620945
06067009108,-121.35482543079,38.5505762493946
06067009011,-121.271497013064,38.5745772633258
06067009322,-121.389655102585,38.4461393405076
06067009325,-121.288565623702,38.4186895621141
06067009407,-121.287832251651,38.2826298517187
06067004201,-121.498989975257,38.488724924949
06067004300,-121.487364384426,38.476154339534
06067004401,-121.450749259028,38.5311657475792
06067004501,-121.47119026167,38.5180274140019
06067004601,-121.447191687397,38.5171887700179
06067004702,-121.446869412245,38.5068865790881
06067004903,-121.462191254185,38.4886162205482
06067004905,-121.439083397134,38.477740944659
06067005301,-121.483792605989,38.5915032293826
06067005403,-121.415008263545,38.5663276225801
06067005508,-121.408440533134,38.5779854224823
06067005601,-121.392210899957,38.603198354145
06067005904,-121.35641723956,38.6206307832547
06067006102,-121.392239123544,38.6142358110945
