"GEOID","FIPS","prc_nonEngProf_Final","prc_nonEngProf.CV_Final","LEP_flag","prc_CarAccess_Final","prc_CarAccess.CV_Final","Car_flag","prcDisabled_Final","prcDisabled.CV_Final","Disab_flag","prc_popAmInd_Final","prc_popAmInd.CV_Final","AmInd_flag","prc_popAsian_Final","prc_popAsian.CV_Final","Asn_flag","prc_popLatino_Final","prc_popLatino.CV_Final","Latino_flag","prc_Pov_Final","prc_Pov.CV_Final","Pov_flag","prc_Youth_Final","prc_Youth.CV_Final","Youth_flag","count_Tracts.in.Pool","cvapDens","cvapDens.CV"
"06067000100","06067",0.0399480985599572,44.5292480235347,1,0.935308343409915,7.25518568540899,0,0.0504464285714286,28.4737960830694,0,0.00621807191496444,61.9902341085469,1,0.0348126494817964,30.0652196027403,0,0.0932766409779431,27.3712703517051,0,0.0813984520950093,27.3354727685055,0,0.0289662503321818,37.248358233202,0,8,0.00296255713321869,3.37654065471294
"06067000200","06067",0.0343209574129312,41.5170194233292,1,0.964224872231687,6.3486059818951,0,0.0752561071710008,26.6123130355009,0,0.00530396076735152,64.0799484189166,1,0.0323428871943203,30.6604805206509,0,0.142256113594531,13.1033991565936,0,0.033626901521217,36.5304161121664,0,0.0347094399158559,27.4057042858693,0,6,0.00309952467191202,3.52577627094408
"06067000300","06067",0.0573145840987321,50.0832237823955,1,0.938814531548757,7.01539128026009,0,0.0521350546176763,39.5191607713666,0,0.0178704259653644,56.9929169035219,1,0.0463254495099856,35.4021940163519,1,0.101463414634146,20.8239545395125,0,0.0763458401305057,29.0590107268043,0,0.0328455284552846,30.9134592696094,0,7,0.00249078005549722,3.37547534150673
"06067000400","06067",0.0870998743216363,43.3856978467484,1,0.85054347826087,7.66327256868847,0,0.0869276708692767,29.4601407306813,0,0.021292498389834,54.7968217395588,1,0.063319894877733,39.1738503215386,1,0.246632124352332,19.6275469936917,0,0.124352331606218,25.7503773642299,0,0.0875647668393782,21.8398966195576,0,7,0.00322634646699843,6.39507350548778
"06067000500","06067",0.127189204708585,39.3351012939563,0,0.779063360881543,7.64716114559695,0,0.0970873786407767,27.1672124328565,0,0.0288360475560844,53.8719351609967,1,0.0702821492053738,40.5107329898575,1,0.230056179775281,20.5128418390361,0,0.342647473892182,17.2159588718116,0,0.170786516853933,14.4283093866772,0,6,0.00292704703059449,6.31229532092622
"06067000600","06067",0.16544694622596,27.2668029754937,1,0.714776632302406,12.1464911552647,0,0.214757709251101,22.0014664469573,0,0.0269543751847522,52.2781602452682,1,0.117764667411411,25.1404558854754,1,0.19449081803005,17.9504838423527,0,0.468855218855219,19.4910575074277,0,0.107679465776294,29.5251033579922,0,5,0.000999355745280961,7.27463518672336
"06067000700","06067",0.220666941128036,15.5886931260988,0,0.216165413533835,24.3818774277109,0,0.398809523809524,25.6036170216777,0,0.00680489375265473,60.5503305465588,1,0.156854672704817,10.9834584960036,0,0.265953067105805,13.4558340279141,0,0.442434210526316,11.528144760635,0,0.136270069987649,14.7938900833844,0,7,0.0020950960548276,6.73290547155112
"06067000800","06067",0.272209910546063,16.164112000868,1,0.804511278195489,7.74151195173726,0,0.117470203898274,21.0680354529232,1,0.00659884672991592,60.5495316279188,1,0.117241379310345,31.4326819133351,0,0.103448275862069,31.8032149649714,0,0.171652421652422,26.6672255871659,0,0.165319775443628,17.4757862414858,1,6,0.00128343656627453,8.54720228714699
"06067001101","06067",0.0657276995305164,39.7287626688974,0,0.634375,7.14423480292948,0,0.199316628701595,16.3077792474829,0,0.0247191726673413,54.636146190948,1,0.0813045475424897,22.844740471464,0,0.15112540192926,21.2390309799179,0,0.345888837850253,15.2761915170652,0,0.0721175930179146,24.5119842739804,0,12,0.00190232692629625,5.8260618772239
"06067001200","06067",0.146903692194233,27.1909465213489,1,0.667811158798283,7.74095118633919,0,0.164656964656965,18.7546774413987,0,0.0101624251476611,63.0995179626006,1,0.0619765494137353,31.5498930484513,0,0.114572864321608,23.9656130104597,0,0.217038539553753,17.9411413814846,0,0.0830820770519263,28.334985932049,0,7,0.0028560268253461,5.75597449761045
"06067001300","06067",0.0806114071107897,33.0923716933165,1,0.866700456158135,6.6889308619143,0,0.084241103848947,20.8245047519321,0,0.00711406809726839,68.289935099061,1,0.117360208062419,19.1031730595902,0,0.159297789336801,20.0103895826156,0,0.197984395318596,15.0833039605605,0,0.121261378413524,17.8192066919131,0,8,0.00272920503025968,5.00548419002518
"06067001400","06067",0.0827423486269434,44.0601417350621,1,0.676386506575186,7.72751680236933,0,0.134337000579039,23.5321938741324,0,0.018965215584134,55.1600680714555,1,0.0508474576271186,31.3345818126439,0,0.142620917734601,19.5114857906165,0,0.202766969303934,16.5779175085401,0,0.0863993385696569,36.4942905721942,0,8,0.00223713646532438,5.254865431627
"06067001500","06067",0.0601035105030284,43.2505269924951,1,0.935189212701174,7.56101556066188,0,0.0627656096763648,39.7222919060425,0,0.0138992200383426,57.5960443453323,1,0.0412328196584756,31.5635129837724,0,0.108496459808413,21.2990818051665,0,0.0599058622165169,30.3507270102163,0,0.11690552429544,26.0295817505061,1,10,0.00390103841685817,4.95287808984471
"06067001600","06067",0.0498403080859636,38.413483332999,1,0.949962935507784,7.1184581734506,0,0.0666369089497037,29.192533363758,1,0.00454000656026043,63.3912643159759,1,0.0720308456897997,28.0404329073295,1,0.108876329787234,17.4187713227067,0,0.0777927775902801,35.2030408799952,0,0.062998670212766,34.2392001854822,0,7,0.00485473831590802,4.75211298087174
"06067001700","06067",0.0647482014388489,35.0447206807897,0,0.833333333333333,9.01790075958369,0,0.0806495263870095,22.8280264871179,0,0.0138530639670353,87.4058954057499,1,0.0820419325432999,32.5642633394084,0,0.150957155879672,15.073004953745,0,0.287341539592137,20.0586541650477,0,0.179945305378304,26.5841300281404,0,8,0.00452500164868334,6.31532331710921
"06067001800","06067",0.0679963735267452,33.7060899102969,0,0.862649534780682,6.87446693082068,0,0.143072743736794,19.7681630298322,0,0.0131750255855846,81.9423729739249,1,0.109627396080121,15.7849519738238,0,0.150333835881973,21.3727809144584,0,0.18531781557744,15.7246165589434,0,0.0794744777083782,20.9205394718421,0,8,0.00384523682702014,4.88039326154019
"06067001900","06067",0.0840950752086659,31.8713506779693,1,0.80773606370876,6.7801445436449,0,0.0970328789093825,20.8337915822515,0,0.00614275520487088,66.5208923945925,1,0.104511522233041,24.3784197674907,0,0.216488153197014,19.2403212278529,0,0.170458292120013,19.9372686301002,0,0.103213242453749,19.7275986996931,0,9,0.00251107154271104,5.19609537954174
"06067002000","06067",0.197663971248877,19.3532681440596,0,0.753086419753086,7.84140288515635,0,0.197038724373576,16.0870369459866,0,0.00893713166012839,63.1319149722777,1,0.266753134457415,14.6806215696834,0,0.185473411154345,16.9222636061261,0,0.24167747514051,16.634604308287,0,0.0497189796800692,33.8550482065568,0,9,0.00185159820826168,5.45232198832143
"06067002100","06067",0.24481658692185,22.5434241434537,0,0.804010938924339,10.1648555864864,0,0.0871391076115486,33.6909511028109,0,0.0085891074604415,73.3287794948477,1,0.2858249419055,16.0820350597953,0,0.252904725019365,25.300037449836,0,0.298605731990705,22.4572564857602,0,0.123547637490318,23.6537309851786,0,8,0.00173492215678218,8.38295184425528
"06067002200","06067",0.119426751592357,24.2381382383681,0,0.774138904573687,7.99203389595635,0,0.184702303346371,19.0877805245219,0,0.0399826171074903,64.5620945515008,1,0.128023733455043,17.9961379439634,0,0.286855317206755,18.3577526889794,0,0.46371519853948,10.4246583625661,0,0.0830670926517572,19.4793691272112,0,8,0.00274949651747351,4.02354673524002
"06067002300","06067",0.134607869638658,26.2494399558628,1,0.9736680955297,6.81017046519933,0,0.0616346583296114,35.3332280284829,0,0.00181419581995202,111.322618669627,1,0.0883620689655172,17.4543878112793,0,0.0899014778325123,25.2456225460756,0,0.0446428571428571,30.3031569902524,0,0.0403325123152709,32.4922794017194,0,8,0.0027038406712424,3.86303280806689
"06067002400","06067",0.155208522561373,20.9212498433564,1,0.91991991991992,7.64935765226326,0,0.131464213439318,22.3881970657844,1,0.00695542214916612,81.0849758269106,1,0.0913252460517281,18.1590118295358,0,0.0791943236438544,15.1969401765478,0,0.0745071068317286,30.9307779056689,0,0.0281528953994049,37.9008712846743,0,8,0.00347491718536781,4.17508995446545
