"","top_points_ID","geocode.b","geocode.bg","geocode.t","lon","lat","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","geocode.b1","geocode.b2","geocode.b3","geocode.bg1","geocode.bg2","geocode.bg3","transit.dist.1","transit.dist.2","transit.dist.3","transit.score1","transit.score2","transit.score3","transit.score.std","prc.latino.std","dens.cvap.std","prc.asian.std","prc.AmInd.std","prc.youth.std","prc.nonEngProf.std","prc.pov.std","prc.disabled.std","prc.CarAccess.std","rate.vbm.std","prc.ElNonReg.std","dens.poll.std","dens.work.std","popDens.std","commute.car.std","commute.walk.std","center_score","dropoff_score","dens.poll.std_0.3","wtd_center_score"
"94",94,60670070182051,60670070182,6067007018,-121.513514457143,38.6298087645833,6,67,7018,2051,60670070182051,"Block 2051","G5040","U",77068,"U","S",206576,0,38.6313833,-121.5116458,60670070182051,60670070191086,60670070191085,60670070182,60670070191,60670070191,0.322956304759336,0.356942519707705,0.377562799664321,1,1,1,1.05746162413136,0.360759493670886,0.579113924050633,0.958860759493671,0.844936708860759,0.55379746835443,0.588607594936709,0.136075949367089,0.20253164556962,0.626582278481013,0.245054945054945,0.873417721518987,0.868217054263566,0.830583058305831,0.266603130016051,0.0944917603185002,0.0944917603185002,0.496716193141476,0.489452247350079,0.868217054263566,0.431257470014305
"325",325,60670093112025,60670093112,6067009311,-121.359151942857,38.4669367375,6,67,9311,2025,60670093112025,"Block 2025","G5040","U",77068,"U","S",34413,0,38.4664734,-121.3604522,60670093112026,60670093112027,60670093112025,60670093112,60670093112,60670093112,1.6832692876662,1.69807600579968,1.73437993578653,1,1,1,0,0.636075949367089,0.854430379746835,0.879746835443038,0.75,0.677215189873418,0.636075949367089,0.45253164556962,0.363924050632911,0.0348101265822784,0.198901098901099,0.503164556962025,0.887596899224806,0.556655665566557,0.847461878009631,0.571536562011793,0.571536562011793,0.482693164873986,0.472537552421049,0.887596899224806,0.428436956419158
"145",145,60670074332005,60670074332,6067007433,-121.359151942857,38.7186480520833,6,67,7433,2005,60670074332005,"Block 2005","G5040","U",77068,"U","S",29144,0,38.7194038,-121.3584148,60670074331000,60670074332005,60670074332006,60670074331,60670074332,60670074332,1.05480134705581,1.09827739887622,1.1561242148741,1,1,1,0,0.215189873417722,0.962025316455696,0.658227848101266,0.272151898734177,0.914556962025316,0.813291139240506,0.183544303797468,0.0348101265822785,0.474683544303797,0.796703296703297,0.867088607594937,0.796511627906977,0.350935093509351,0.79399077046549,0.52834752809555,0.52834752809555,0.534724801353988,0.524902735124147,0.796511627906977,0.425914522008699
"463",463,60670096381015,60670096381,6067009638,-121.397742571429,38.4077105458333,6,67,9638,1015,60670096381015,"Block 1015","G5040","R",NA,NA,"S",172186,0,38.4077567,-121.3991259,60670096381015,60670096112008,60670096112006,60670096381,60670096112,60670096112,3.13456468353513,3.39658716462065,3.41100734798166,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0,0.0583581111727057,0.0583581111727057,0.466580899416715,0.410853600431458,0.910852713178295,0.424986478150884
"474",474,60670096381051,60670096381,6067009638,-121.455628514286,38.2892581625,6,67,9638,1051,60670096381051,"Block 1051","G5040","R",NA,NA,"S",1762240,0,38.2936392,-121.4513519,60670096381059,60670096381050,60670096381058,60670096381,60670096381,60670096381,11.3200874417211,11.3983268435055,11.419104679421,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0,0.0195534949352416,0.0195534949352416,0.463809141114039,0.408428311916617,0.910852713178295,0.422461814580617
"476",476,60670096381055,60670096381,6067009638,-121.4363332,38.2892581625,6,67,9638,1055,60670096381055,"Block 1055","G5040","R",NA,NA,"S",2819204,0,38.2832153,-121.4298027,60670096381056,60670096381053,60670096381055,60670096381,60670096381,60670096381,11.1780751621743,11.3053637971826,11.3255058859118,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0,0.00665221992642242,0.00665221992642242,0.462887621470552,0.407621982228566,0.910852713178295,0.4216224459131
"465",465,60670096381033,60670096381,6067009638,-121.378447257143,38.37809745,6,67,9638,1033,60670096381033,"Block 1033","G5040","R",NA,NA,"S",1913283,0,38.3758659,-121.3827489,60670096381033,60670096381001,60670093104018,60670096381,60670096381,60670093104,5.42538249253449,5.62373464917215,5.61844831711144,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0,0.00463639570629441,0.00463639570629441,0.462743634026257,0.407495993214808,0.910852713178295,0.4214912945588
"477",477,60670096381074,60670096381,6067009638,-121.4363332,38.2744516145833,6,67,9638,1074,60670096381074,"Block 1074","G5040","R",NA,NA,"S",8650868,0,38.2683322,-121.4154079,60670096381060,60670096381061,60670096381056,60670096381,60670096381,60670096381,12.1984743386602,12.3286793483493,12.3487931201156,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0,0.00393085722924961,0.00393085722924961,0.462693238420754,0.407451897059992,0.910852713178295,0.421445391584795
"478",478,60670096381074,60670096381,6067009638,-121.417037885714,38.2596450666667,6,67,9638,1074,60670096381074,"Block 1074","G5040","R",NA,NA,"S",8650868,0,38.2683322,-121.4154079,60670095011058,60670096381074,60670096381073,60670095011,60670096381,60670096381,13.1813729800332,13.3550966682889,13.3744984250085,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0,0.00393085722924961,0.00393085722924961,0.462693238420754,0.407451897059992,0.910852713178295,0.421445391584795
"479",479,60670096381074,60670096381,6067009638,-121.417037885714,38.2892581625,6,67,9638,1074,60670096381074,"Block 1074","G5040","R",NA,NA,"S",8650868,0,38.2683322,-121.4154079,60670096381055,60670096381044,60670096381054,60670096381,60670096381,60670096381,11.1330271641544,11.308869097124,11.3281984753913,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0,0.00393085722924961,0.00393085722924961,0.462693238420754,0.407451897059992,0.910852713178295,0.421445391584795
"466",466,60670096381035,60670096381,6067009638,-121.378447257143,38.3632909020833,6,67,9638,1035,60670096381035,"Block 1035","G5040","R",NA,NA,"S",8270224,0,38.3615997,-121.3821073,60670096381035,60670096381033,60670096381002,60670096381,60670096381,60670096381,6.37978013378507,6.61907127931279,6.61112300947219,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0,0.0016126593761024,0.0016126593761024,0.462527652859815,0.407307009694171,0.910852713178295,0.421294567527351
"467",467,60670096381035,60670096381,6067009638,-121.359151942857,38.3632909020833,6,67,9638,1035,60670096381035,"Block 1035","G5040","R",NA,NA,"S",8270224,0,38.3615997,-121.3821073,60670096381034,60670093251033,60670093251031,60670096381,60670093251,60670093251,6.92202605879818,6.9238406040282,6.80151985524148,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0,0.0016126593761024,0.0016126593761024,0.462527652859815,0.407307009694171,0.910852713178295,0.421294567527351
"135",135,60670074062008,60670074062,6067007406,-121.378447257143,38.7038415041667,6,67,7406,2008,60670074062008,"Block 2008","G5040","U",77068,"U","S",10791,0,38.7038688,-121.37948,60670074062004,60670074062008,60670074062002,60670074062,60670074062,60670074062,0.0360231704228697,0.0722666722159866,0.194548888298111,1,1,1,0.302838730936968,0.829113924050633,0.974683544303797,0.376582278481013,0.379746835443038,0.832278481012658,0.794303797468354,0.642405063291139,0.471518987341772,0.670886075949367,0.992307692307692,0.958860759493671,0.567829457364341,0.331133113311331,0.80372191011236,0.938769339313612,0.938769339313612,0.733100957035963,0.722602255612103,0.567829457364341,0.41627631862701
"442",442,60670096121013,60670096121,6067009612,-121.417037885714,38.42251709375,6,67,9612,1013,60670096121013,"Block 1013","G5040","U",77068,"U","S",186561,0,38.4213083,-121.4153557,60670096162000,60670096121013,60670096121015,60670096162,60670096121,60670096121,1.91581107111895,2.1258487962737,2.1516229321559,1,1,1,0,0.294303797468354,0.670886075949367,0.778481012658228,0.373417721518987,0.680379746835443,0.556962025316456,0.294303797468354,0.117088607594937,0.29746835443038,0.494505494505495,0.259493670886076,0.998062015503876,0.873487348734873,0.740720304975923,0.16897646525223,0.16897646525223,0.415002669521264,0.412133846803348,0.998062015503876,0.414198400781882
"106",106,60670071022070,60670071022,6067007102,-121.532809771429,38.6742284083333,6,67,7102,2070,60670071022070,"Block 2070","G5040","U",77068,"U","S",6917,0,38.6743825,-121.5326054,60670071022070,60670071022073,60670071022067,60670071022,60670071022,60670071022,0.126786730594279,0.431904003580156,0.552633425203832,0.75,0.75,0.75,0.419018050630826,0.19620253164557,0.984177215189873,0.886075949367089,0.860759493670886,0.0379746835443038,0.481012658227848,0.0506329113924051,0.262658227848101,0.5,0.237362637362637,0.534810126582278,0.891472868217054,0.376237623762376,0.889145264847512,0.98362142821146,0.98362142821146,0.458822941916314,0.457898216412209,0.891472868217054,0.409028204033923
"37",37,60670049042026,60670049042,6067004904,-121.4363332,38.4817432854167,6,67,4904,2026,60670049042026,"Block 2026","G5040","U",77068,"U","S",21527,0,38.4821888,-121.4361262,60670049042026,60670049051010,60670049051005,60670049042,60670049051,60670049051,0.308931343174199,0.313409011810955,0.514013087620498,1,1,1,0.466755266238865,0.844936708860759,0.734177215189873,0.708860759493671,0.215189873417722,0.734177215189873,0.712025316455696,0.363924050632911,0.639240506329114,0.265822784810127,0.841758241758242,0.55379746835443,0.701550387596899,0.392739273927393,0.682233146067416,0.274504863175931,0.274504863175931,0.582528122466042,0.594456221443764,0.701550387596899,0.408672830102146
"320",320,60670093081010,60670093081,6067009308,-121.378447257143,38.42251709375,6,67,9308,1010,60670093081010,"Block 1010","G5040","U",77068,"U","S",19458,0,38.4224787,-121.3793168,60670093081006,60670093081004,60670093081010,60670093081,60670093081,60670093081,2.76705094590118,2.78106502810393,2.90353705913201,1,1,1,0,0.708860759493671,0.879746835443038,0.433544303797468,0.734177215189873,0.455696202531646,0.585443037974684,0.227848101265823,0.892405063291139,0.756329113924051,0.858241758241758,0.370253164556962,0.695736434108527,0.584158415841584,0.678671749598716,0.542811066874968,0.542811066874968,0.578902456998708,0.584332639656364,0.695736434108527,0.402763531128946
"20",20,60670038001000,60670038001,6067003800,-121.494219142857,38.51135638125,6,67,3800,1000,60670038001000,"Block 1000","G5040","U",77068,"U","S",2441542,0,38.5128082,-121.4936013,60670038001000,60670038001009,60670038001014,60670038001,60670038001,60670038001,0.418956536327522,0.410858048567312,0.482063861824523,1,1,1,1.31187844671936,0.731012658227848,0.693037974683544,0.70253164556962,0.117088607594937,0.300632911392405,0.705696202531646,0.534810126582278,0.544303797468354,0.664556962025316,0.908791208791209,0.598101265822785,0.635658914728682,0.837183718371837,0.255969101123595,0.0619865947689361,0.0619865947689361,0.63348221230371,0.648996513905601,0.635658914728682,0.402678615572901
"39",39,60670050013029,60670050013,6067005001,-121.417037885714,38.4817432854167,6,67,5001,3029,60670050013029,"Block 3029","G5040","U",77068,"U","S",13439,0,38.4818878,-121.4183338,60670050013030,60670050013007,60670050013026,60670050013,60670050013,60670050013,0.00145498756683426,0.0949423389020871,0.164832157921697,1,1,1,0.261229484390619,0.901898734177215,0.958860759493671,0.829113924050633,0.481012658227848,0.560126582278481,0.971518987341772,0.645569620253165,0.857594936708861,0.379746835443038,0.571428571428571,0.927215189873418,0.60077519379845,0.295929592959296,0.524829454253612,0.7653580607771,0.7653580607771,0.664781636669878,0.658329229365805,0.60077519379845,0.399384316603997
"411",411,60670094073000,60670094073,6067009407,-121.262675371429,38.2892581625,6,67,9407,3000,60670094073000,"Block 3000","G5040","U",32451,"C","S",408366,0,38.2896551,-121.2601229,60670094073000,60670094073001,60670094073009,60670094073,60670094073,60670094073,13.917413533985,13.9335292991247,14.2172352891685,1,1,1,0,0.943037974683544,0.996835443037975,0.164556962025316,0.0506329113924051,0.348101265822785,0.512658227848101,0.39873417721519,0.205696202531646,0.164556962025316,0.292307692307692,0.490506329113924,0.992248062015504,0.658965896589659,0.260232744783307,0.0477246384115305,0.0477246384115305,0.40092317289058,0.38011840467832,0.992248062015504,0.397815241317784
