geoid,countyfp,prc_youth_final,unreliable_flag
6057000103,57,0.07906794083,0
6057000401,57,0.0687520910003,0
6057000900,57,0.0363196125908,0
6057000701,57,0.0593694554388,0
6057001206,57,0.100615683733,0
6057001204,57,0.0695328858875,1
6057001205,57,0.0525480864565,0
6057001203,57,0.0704815873793,1
6057000102,57,0.0304521685635,0
6057000802,57,0.0829707893101,0
6057000402,57,0.144974799881,0
6057000300,57,0.0610057708162,0
6057000501,57,0.0505682754077,0
6057000105,57,0.093690248566,0
6057000502,57,0.0737035524704,0
6057000600,57,0.0754830013479,0
6057000104,57,0.0372923848323,0
6057000200,57,0.0592651126037,0
6057000801,57,0.0621468926554,0
6057000702,57,0.0666160081054,0
