geoid,countyfp10,pop10,areakm,popdens
6057000103,57,7893,72.5864775072,108.739262065
6057000401,57,5744,19.7587214175,290.707069482
6057000900,57,4348,1328.53733653,3.27277215358
6057000701,57,7436,226.614923375,32.8133729644
6057001206,57,6090,15.6344406217,389.524649289
6057001204,57,2832,31.6331103362,89.5264477599
6057001205,57,4537,59.8125800396,75.8536080035
6057001203,57,2927,21.087296572,138.803947201
6057000102,57,6677,20.0589907993,332.868191965
6057000802,57,6528,29.0903839817,224.404050634
6057000402,57,6926,141.524794498,48.9384211762
6057000300,57,2353,58.5862665974,40.1629961535
6057000501,57,6034,10.8054757434,558.420577057
6057000105,57,2792,44.0448074323,63.3899922094
6057000502,57,4664,11.1266820395,419.17257844
6057000600,57,6237,14.7918120048,421.65219501
6057000104,57,3190,12.4499320044,256.226298977
6057000200,57,2700,196.021801879,13.7739780683
6057000801,57,4888,158.777898833,30.7851409795
6057000702,57,3968,49.1791262603,80.6846380108
