geoid,vbm_rate_youth
6057000103,0.735268611684
6057000401,0.700589213858
6057000900,0.754745812597
6057000701,0.827377804575
6057001206,0.733807963981
6057001204,0.699275947953
6057001205,0.725098808501
6057001203,0.795012633874
6057000102,0.774790061368
6057000802,0.831571593973
6057000402,0.72170972424
6057000300,0.87960908315
6057000501,0.731441515857
6057000105,0.79829508595
6057000502,0.647376651847
6057000600,0.667126964592
6057000104,0.777762779264
6057000200,0.807845036189
6057000801,0.86687783562
6057000702,0.797389300198
