GEOID,prc_popAsian_Final
6067000100,0.0348126494818
6067000200,0.0323428871943
6067000300,0.04632544951
6067000400,0.0633198948777
6067000500,0.0702821492054
6067000600,0.117764667411
6067000700,0.156854672705
6067000800,0.11724137931
6067001101,0.0813045475425
6067001200,0.0619765494137
6067001300,0.117360208062
6067001400,0.0508474576271
6067001500,0.0412328196585
6067001600,0.0720308456898
6067001700,0.0820419325433
6067001800,0.10962739608
6067001900,0.104511522233
6067002000,0.266753134457
6067002100,0.285824941906
6067002200,0.128023733455
6067002300,0.0883620689655
6067002400,0.0913252460517
6067002500,0.057194461168
6067002600,0.129133245516
6067002700,0.0624833820792
6067002800,0.04843387471
6067002900,0.116221582483
6067003000,0.096241979835
6067003101,0.331009294361
6067003102,0.0921052631579
6067003202,0.275047258979
6067003203,0.502331364625
6067003204,0.436454254183
6067003300,0.175030599755
6067003400,0.182504440497
6067003501,0.0974559686888
6067003502,0.195851615477
6067003600,0.133887043189
6067003700,0.157510080645
6067003800,0.205552589429
6067003900,0.236752136752
6067004001,0.296659331866
6067004004,0.301529149411
6067004005,0.223018257453
6067004006,0.187574198655
6067004008,0.240265120133
6067004009,0.291832878438
6067004010,0.212988551125
6067004011,0.48184263618
6067004012,0.297173850985
6067004100,0.337015464953
6067004201,0.140085012013
6067004202,0.284776663628
6067004203,0.24963583394
6067004300,0.339718067363
6067004401,0.222449501406
6067004402,0.164462457338
6067004501,0.410994764398
6067004502,0.162680412371
6067004601,0.162048033782
6067004602,0.0895491377519
6067004701,0.230836746635
6067004702,0.2
6067004801,0.475221700574
6067004802,0.315482392165
6067004903,0.360430950049
6067004904,0.207534128218
6067004905,0.180420156529
6067004906,0.288582183187
6067005001,0.28574432296
6067005002,0.24314585618
6067005101,0.271954674221
6067005102,0.270047169811
6067005201,0.142941698727
6067005202,0.0926233139987
6067005204,0.0662044285395
6067005205,0.248718120883
6067005301,0.11481506806
6067005402,0.102189781022
6067005403,0.103356060601
6067005404,0.0958801498127
6067005502,0.080608365019
6067005505,0.0637375045705
6067005506,0.0779366993693
6067005508,0.12586362271
6067005509,0.17643894567
6067005510,0.102969814995
6067005601,0.0579765330472
6067005605,0.0446002805049
6067005606,0.0683103370278
6067005701,0.0916666666667
6067005702,0.0682548186415
6067005801,0.0608452773916
6067005803,0.0609042553191
6067005804,0.109486166008
6067005901,0.0579872204473
6067005903,0.0575871720485
6067005904,0.0489901879462
6067006002,0.0467855933825
6067006003,0.0589247311828
6067006004,0.0527378392437
6067006101,0.0643000570692
6067006102,0.0576114716624
6067006201,0.067901572763
6067006202,0.07625
6067006300,0.0650537634409
6067006400,0.135774952301
6067006500,0.174443646805
6067006600,0.154212563263
6067006701,0.280422092501
6067006702,0.223075808088
6067006800,0.108650608651
6067006900,0.101299346729
6067007001,0.150059171598
6067007004,0.107207332315
6067007007,0.0842981186686
6067007010,0.13923013923
6067007011,0.127939793039
6067007012,0.0695252679939
6067007013,0.123746867168
6067007014,0.075
6067007015,0.175800558779
6067007016,0.316469131435
6067007017,0.175816993464
6067007018,0.388208894329
6067007019,0.225
6067007020,0.155009451796
6067007101,0.291010928688
6067007102,0.304065247865
6067007103,0.298349056604
6067007104,0.246918100818
6067007105,0.289871944121
6067007106,0.290009469697
6067007107,0.255670103093
6067007202,0.106197033898
6067007204,0.145928338762
6067007206,0.189319395151
6067007207,0.0910980986781
6067007208,0.29417111236
6067007209,0.0369206598586
6067007301,0.0587896253602
