geoid,countyfp,prcdisabled_final,disab_flag
6067002300,67,0.0616346583296,0
6067002400,67,0.131464213439,1
6067009004,67,0.145462836297,0
6067008913,67,0.122732535701,0
6067008910,67,0.095717884131,0
6067008911,67,0.120491174213,0
6067009504,67,0.165480427046,0
6067009322,67,0.083551565033,0
6067009503,67,0.178633975482,0
6067009502,67,0.133289560079,0
6067009006,67,0.131768388106,0
6067009005,67,0.146196150321,0
6067009108,67,0.0992736077482,0
6067009109,67,0.0995260663507,0
6067009111,67,0.105446740005,0
6067007017,67,0.0622489959839,0
6067007015,67,0.105410122164,0
6067008513,67,0.0535269120298,1
6067007107,67,0.0503909643788,0
6067002500,67,0.177635343673,1
6067003900,67,0.0758341759353,0
6067004005,67,0.0886899918633,0
6067004004,67,0.0946480358555,0
6067004001,67,0.161019683769,0
6067005403,67,0.0644803323443,1
6067005402,67,0.0780612244898,0
6067005404,67,0.0545001557147,0
6067004401,67,0.204998047638,0
6067004203,67,0.130727762803,0
6067004300,67,0.136962552011,0
6067004100,67,0.232692307692,0
6067004202,67,0.0989285714286,0
6067004012,67,0.0642640034737,0
6067005502,67,0.0972626674432,0
6067004006,67,0.0586170586171,0
6067005601,67,0.121600621601,0
6067004402,67,0.211985018727,0
6067004601,67,0.124065420561,0
6067004602,67,0.146857923497,0
6067004801,67,0.12979172955,0
6067005201,67,0.0781609195402,0
6067004904,67,0.124742571345,0
6067004903,67,0.165402843602,0
6067004802,67,0.106382978723,0
6067005202,67,0.0994038083177,1
6067005605,67,0.101584342964,0
6067003101,67,0.194322075379,0
6067005701,67,0.061804697157,0
6067005606,67,0.0745166959578,0
6067005702,67,0.113036628594,0
6067005801,67,0.0775444264943,0
6067002900,67,0.0702321481046,0
6067003000,67,0.145113969759,0
6067003102,67,0.108365019011,0
6067002800,67,0.282755049197,0
6067004905,67,0.196590303676,0
6067005101,67,0.182958317964,0
6067005002,67,0.272391017173,0
6067004906,67,0.0974025974026,0
6067002200,67,0.184702303346,0
6067004008,67,0.0540663334848,0
6067004011,67,0.0546218487395,0
6067004010,67,0.144643460629,0
6067004009,67,0.105140650671,1
6067003502,67,0.134910485934,0
6067003300,67,0.0633992805755,0
6067003400,67,0.147470817121,0
6067003800,67,0.11117898595,0
6067003700,67,0.216044142615,0
6067002100,67,0.0871391076115,0
6067007207,67,0.0854870775348,0
6067005804,67,0.0930414161536,1
6067005803,67,0.0597416576964,0
6067007206,67,0.0996705107084,0
6067007209,67,0.231505657093,0
6067007402,67,0.141753998897,0
6067007208,67,0.0928285402257,0
6067007204,67,0.0871143375681,0
6067007403,67,0.125392944464,0
6067007414,67,0.0898086684889,0
6067007416,67,0.11780104712,0
6067007413,67,0.217067108534,0
6067007417,67,0.0741272118604,0
6067007422,67,0.0717105263158,0
6067007421,67,0.0653330886401,0
6067006102,67,0.152245862884,0
6067006002,67,0.121199500208,0
6067006101,67,0.168316831683,0
6067006201,67,0.149289099526,0
6067006003,67,0.123750430886,0
6067005901,67,0.0981132075472,0
6067007904,67,0.0974493132767,0
6067007701,67,0.0907521578298,0
6067007802,67,0.201751540707,0
6067007801,67,0.130109383995,0
6067007905,67,0.0993403181995,0
6067007702,67,0.123881932021,0
6067007601,67,0.0575382374363,0
6067006202,67,0.159803921569,0
6067006400,67,0.135685210312,0
6067006300,67,0.16486332574,0
6067006701,67,0.084,0
6067006600,67,0.177262931034,0
6067006500,67,0.129139922978,0
6067006800,67,0.215113782739,0
6067006702,67,0.111020185488,0
6067008007,67,0.0394594594595,0
6067008006,67,0.0556597873671,0
6067008005,67,0.112990007686,0
6067008009,67,0.0603907637655,0
6067008117,67,0.16168148747,0
6067008113,67,0.153399668325,0
6067008120,67,0.144839857651,0
6067008119,67,0.145715138847,0
6067008111,67,0.125914711077,0
6067008010,67,0.105614012496,1
6067007004,67,0.0936420881576,0
6067006900,67,0.188376068376,0
6067007001,67,0.121428571429,0
6067007007,67,0.0762250453721,0
6067007501,67,0.186234817814,0
6067007503,67,0.142219387755,0
6067007504,67,0.136997538966,0
