geoid,countyfp,prc_pov_final,pov_flag
6067002300,67,0.0446428571429,0
6067002400,67,0.0745071068317,0
6067009004,67,0.111533957845,0
6067008913,67,0.169289568345,0
6067008910,67,0.213804713805,0
6067008911,67,0.414561027837,0
6067009504,67,0.222445898339,0
6067009322,67,0.15337288508,0
6067009503,67,0.186168469354,0
6067009502,67,0.182722107438,0
6067009006,67,0.178943308909,0
6067009005,67,0.264300381344,0
6067009108,67,0.130520393812,0
6067009109,67,0.171171171171,0
6067009111,67,0.132326083347,0
6067007017,67,0.521377368451,1
6067007015,67,0.179454115624,0
6067008513,67,0.108728092264,1
6067007107,67,0.41705969366,1
6067002500,67,0.0248635536689,0
6067003900,67,0.0518389805966,0
6067004005,67,0.0936231191784,0
6067004004,67,0.0468302007009,0
6067004001,67,0.0824408971509,0
6067005403,67,0.231007067138,0
6067005402,67,0.303495966193,0
6067005404,67,0.14081862561,0
6067004401,67,0.322051282051,0
6067004203,67,0.427895120175,0
6067004300,67,0.241476963294,0
6067004100,67,0.378822080854,0
6067004202,67,0.242734724292,0
6067004012,67,0.623553223764,1
6067005502,67,0.317602283539,0
6067004006,67,0.188335120793,1
6067005601,67,0.274355613805,0
6067004402,67,0.478242320819,0
6067004601,67,0.424326465927,0
6067004602,67,0.313994593471,0
6067004801,67,0.263314646111,0
6067005201,67,0.40507859734,0
6067004904,67,0.158285813029,0
6067004903,67,0.412629515542,0
6067004802,67,0.378828922692,0
6067005202,67,0.222222222222,0
6067005605,67,0.29649368864,0
6067003101,67,0.147305389222,0
6067005701,67,0.0636666666667,0
6067005606,67,0.0949669779094,0
6067005702,67,0.0309210526316,0
6067005801,67,0.062955352139,0
6067002900,67,0.17359647442,0
6067003000,67,0.155362053162,0
6067003102,67,0.252699055331,0
6067002800,67,0.430624816662,0
6067004905,67,0.3307990047,0
6067005101,67,0.369908015769,0
6067005002,67,0.329782234059,0
6067004906,67,0.245994344958,0
6067002200,67,0.463715198539,0
6067004008,67,0.0587094987538,0
6067004011,67,0.171745552561,1
6067004010,67,0.0950463149416,0
6067004009,67,0.175938290752,1
6067003502,67,0.135221380136,0
6067003300,67,0.0908200734394,0
6067003400,67,0.156256945988,0
6067003800,67,0.206086492258,0
6067003700,67,0.389959432049,0
6067002100,67,0.298605731991,0
6067007207,67,0.0615201900238,0
6067005804,67,0.0193675889328,0
6067005803,67,0.030585106383,0
6067007206,67,0.0922055569216,0
6067007209,67,0.251706036745,0
6067007402,67,0.313021571406,0
6067007208,67,0.184488297384,0
6067007204,67,0.168388656848,0
6067007403,67,0.211335062862,0
6067007414,67,0.250119789171,0
6067007416,67,0.1240234375,0
6067007413,67,0.263689847639,0
6067007417,67,0.0850226928896,0
6067007422,67,0.257628427964,0
6067007421,67,0.465017775032,1
6067006102,67,0.172206303725,0
6067006002,67,0.275853220426,0
6067006101,67,0.306592039801,0
6067006201,67,0.428504085481,0
6067006003,67,0.269648284846,0
6067005901,67,0.0721317040054,0
6067007904,67,0.095313426933,0
6067007701,67,0.312963840202,0
6067007802,67,0.13132780083,0
6067007801,67,0.196652012175,0
6067007905,67,0.0958625367398,0
6067007702,67,0.103062712688,0
6067007601,67,0.153071798668,0
6067006202,67,0.369375,0
6067006400,67,0.300172182896,0
6067006300,67,0.390226244344,0
6067006701,67,0.210774720847,0
6067006600,67,0.374043510878,0
6067006500,67,0.382164678499,0
6067006800,67,0.473111312686,0
6067006702,67,0.435516739447,0
6067008007,67,0.216656230432,0
6067008006,67,0.0528385772914,0
6067008005,67,0.0836363636364,0
6067008009,67,0.136962626917,0
6067008117,67,0.0536165907941,0
6067008113,67,0.140833333333,0
6067008120,67,0.125207100592,0
6067008119,67,0.15577092511,0
6067008111,67,0.103723404255,0
6067008010,67,0.174979558463,0
6067007004,67,0.298405148293,0
6067006900,67,0.337783711615,0
6067007001,67,0.371681415929,0
6067007007,67,0.226683701405,0
6067007501,67,0.276330509829,0
6067007503,67,0.282209774,0
6067007504,67,0.195324675325,0
6067007013,67,0.177099716892,0
6067007010,67,0.18313714755,0
6067007012,67,0.232465543645,0
6067007011,67,0.238789589213,0
6067007014,67,0.155689424364,0
6067007202,67,0.202860169492,0
6067009900,67,0.150431253171,0
6067009606,67,0.35314254416,0
6067000100,67,0.081398452095,0
6067007429,67,0.267090313884,0
6067007426,67,0.291611185087,0
6067007427,67,0.232423712865,0
6067007432,67,0.10321231705,0
6067007431,67,0.524100640822,1
6067007433,67,0.100539480137,0
6067007430,67,0.15918789603,0
6067008507,67,0.132021852396,1
6067008505,67,0.124883573197,1
6067009331,67,0.0798839968363,0
6067008704,67,0.284997415318,1
6067009329,67,0.171082173327,0
6067009324,67,0.273579451053,1
6067009010,67,0.0831207482993,0
6067008801,67,0.118560338744,0
6067009201,67,0.171383647799,0
6067009638,67,0.349659304808,1
6067008703,67,0.376573811915,1
6067008508,67,0.205463594658,1
6067005509,67,0.265734265734,0
6067009328,67,0.0675650028468,0
6067009332,67,0.112479474548,0
