GEOID,prcDisabled_Final
6067000100,0.0504464285714
6067000200,0.075256107171
6067000300,0.0521350546177
6067000400,0.0869276708693
6067000500,0.0970873786408
6067000600,0.214757709251
6067000700,0.39880952381
6067000800,0.117470203898
6067001101,0.199316628702
6067001200,0.164656964657
6067001300,0.0842411038489
6067001400,0.134337000579
6067001500,0.0627656096764
6067001600,0.0666369089497
6067001700,0.080649526387
6067001800,0.143072743737
6067001900,0.0970328789094
6067002000,0.197038724374
6067002100,0.0871391076115
6067002200,0.184702303346
6067002300,0.0616346583296
6067002400,0.131464213439
6067002500,0.177635343673
6067002600,0.0788923719958
6067002700,0.207822994864
6067002800,0.282755049197
6067002900,0.0702321481046
6067003000,0.145113969759
6067003101,0.194322075379
6067003102,0.108365019011
6067003202,0.165592783505
6067003203,0.108229988726
6067003204,0.169276218612
6067003300,0.0633992805755
6067003400,0.147470817121
6067003501,0.182674199623
6067003502,0.134910485934
6067003600,0.161346488683
6067003700,0.216044142615
6067003800,0.11117898595
6067003900,0.0758341759353
6067004001,0.161019683769
6067004004,0.0946480358555
6067004005,0.0886899918633
6067004006,0.0586170586171
6067004008,0.0540663334848
6067004009,0.105140650671
6067004010,0.144643460629
6067004011,0.0546218487395
6067004012,0.0642640034737
6067004100,0.232692307692
6067004201,0.169225743221
6067004202,0.0989285714286
6067004203,0.130727762803
6067004300,0.136962552011
6067004401,0.204998047638
6067004402,0.211985018727
6067004501,0.219027705175
6067004502,0.146656815663
6067004601,0.124065420561
6067004602,0.146857923497
6067004701,0.12723556464
6067004702,0.109720885467
6067004801,0.12979172955
6067004802,0.106382978723
6067004903,0.165402843602
6067004904,0.124742571345
6067004905,0.196590303676
6067004906,0.0974025974026
6067005001,0.165181753386
6067005002,0.272391017173
6067005101,0.182958317964
6067005102,0.144377438808
6067005201,0.0781609195402
6067005202,0.0994038083177
6067005204,0.0984759671747
6067005205,0.162621359223
6067005301,0.42
6067005402,0.0780612244898
6067005403,0.0644803323443
6067005404,0.0545001557147
6067005502,0.0972626674432
6067005505,0.112143331121
6067005506,0.111961722488
6067005508,0.0874155405405
6067005509,0.0800561797753
6067005510,0.0709656513286
6067005601,0.121600621601
6067005605,0.101584342964
6067005606,0.0745166959578
6067005701,0.061804697157
6067005702,0.113036628594
6067005801,0.0775444264943
6067005803,0.0597416576964
6067005804,0.0930414161536
6067005901,0.0981132075472
6067005903,0.119383825417
6067005904,0.187042459736
6067006002,0.121199500208
6067006003,0.123750430886
6067006004,0.1125
6067006101,0.168316831683
6067006102,0.152245862884
6067006201,0.149289099526
6067006202,0.159803921569
6067006300,0.16486332574
6067006400,0.135685210312
6067006500,0.129139922978
6067006600,0.177262931034
6067006701,0.084
6067006702,0.111020185488
6067006800,0.215113782739
6067006900,0.188376068376
6067007001,0.121428571429
6067007004,0.0936420881576
6067007007,0.0762250453721
6067007010,0.0760947595118
6067007011,0.0836879432624
6067007012,0.168741355463
6067007013,0.149810964083
6067007014,0.100190234623
6067007015,0.105410122164
6067007016,0.0538869257951
6067007017,0.0622489959839
6067007018,0.0741994060493
6067007019,0.163302752294
6067007020,0.0221366698749
6067007101,0.0920245219886
6067007102,0.0809867349313
6067007103,0.104091653028
6067007104,0.0736322501028
6067007105,0.041539799913
6067007106,0.0643902439024
6067007107,0.0503909643788
6067007202,0.147198480532
6067007204,0.0871143375681
6067007206,0.0996705107084
6067007207,0.0854870775348
6067007208,0.0928285402257
6067007209,0.231505657093
6067007301,0.182428115016
6067007402,0.141753998897
6067007403,0.125392944464
6067007406,0.10249697946
6067007413,0.217067108534
6067007414,0.0898086684889
6067007415,0.15962984384
6067007416,0.11780104712
6067007417,0.0741272118604
6067007421,0.0653330886401
6067007422,0.0717105263158
6067007423,0.152859618718
6067007424,0.0955265610438
6067007426,0.0725429017161
6067007427,0.156607224508
6067007428,0.105375426621
6067007429,0.0935274078662
6067007430,0.11256490135
6067007431,0.0580819450698
6067007432,0.0792663972645
6067007433,0.0428600040056
6067007501,0.186234817814
6067007503,0.142219387755
6067007504,0.136997538966
6067007601,0.0575382374363
6067007602,0.126501766784
6067007701,0.0907521578298
6067007702,0.123881932021
6067007801,0.130109383995
6067007802,0.201751540707
6067007903,0.111111111111
6067007904,0.0974493132767
6067007905,0.0993403181995
6067007906,0.177069499779
6067008005,0.112990007686
6067008006,0.0556597873671
6067008007,0.0394594594595
6067008008,0.0797178130511
6067008009,0.0603907637655
6067008010,0.105614012496
6067008111,0.125914711077
6067008113,0.153399668325
6067008117,0.16168148747
6067008119,0.145715138847
6067008120,0.144839857651
6067008122,0.0850730688935
6067008124,0.0768378278537
6067008125,0.0923815236953
6067008127,0.0851413543721
6067008128,0.142744479495
6067008129,0.156644770086
6067008130,0.106518282989
6067008131,0.155986818015
6067008132,0.174655908875
6067008133,0.160752688172
6067008134,0.151390644753
6067008135,0.0793163891323
6067008136,0.0956263899185
