GEOID,prc_popAmInd_Final
6067000100,0.00621807191496
6067000200,0.00530396076735
6067000300,0.0178704259654
6067000400,0.0212924983898
6067000500,0.0288360475561
6067000600,0.0269543751848
6067000700,0.00680489375265
6067000800,0.00659884672992
6067001101,0.0247191726673
6067001200,0.0101624251477
6067001300,0.00711406809727
6067001400,0.0189652155841
6067001500,0.0138992200383
6067001600,0.00454000656026
6067001700,0.013853063967
6067001800,0.0131750255856
6067001900,0.00614275520487
6067002000,0.00893713166013
6067002100,0.00858910746044
6067002200,0.0399826171075
6067002300,0.00181419581995
6067002400,0.00695542214917
6067002500,0.00628672141843
6067002600,0.00626577272012
6067002700,0.0175150229407
6067002800,0.0136047498358
6067002900,0.0151062864415
6067003000,0.0153746694518
6067003101,0.00663345728365
6067003102,0.00516768910803
6067003202,0.00526715302765
6067003203,0.00702769951247
6067003204,0.00746741020584
6067003300,0.00511071980581
6067003400,0.00522489778605
6067003501,0.00560567355966
6067003502,0.00517039086814
6067003600,0.00636261579715
6067003700,0.0169911616654
6067003800,0.00333307331867
6067003900,0.0346885185378
6067004001,0.00375741500943
6067004004,0.0121708074777
6067004005,0.0116300720289
6067004006,0.0100060671066
6067004008,0.00254895332538
6067004009,0.0108440954146
6067004010,0.00405724814393
6067004011,0.00433565343157
6067004012,0.00526924638133
6067004100,0.00345870013653
6067004201,0.00162763576978
6067004202,0.00274170044967
6067004203,0.00261260342122
6067004300,0.00392404014797
6067004401,0.0121177850821
6067004402,0.0196438590842
6067004501,0.00549152929602
6067004502,0.00509732498097
6067004601,0.00562342407468
6067004602,0.00109672239258
6067004701,0.00886696584474
6067004702,0.00731277121399
6067004801,0.00708619191487
6067004802,0.00851804013951
6067004903,0.00254246220559
6067004904,0.00480439292781
6067004905,0.00160780556119
6067004906,0.00137382989072
6067005001,0.00880940351878
6067005002,0.00834242046052
6067005101,0.0134328980332
6067005102,0.0163898167447
6067005201,0.00448376004262
6067005202,0.00393578327306
6067005204,0.0058282596536
6067005205,0.00484852458115
6067005301,0.0140393731548
6067005402,0.0044548702003
6067005403,0.00481954190598
6067005404,0.00251247467361
6067005502,0.0149063679357
6067005505,0.0161517265125
6067005506,0.011776683067
6067005508,0.0032088109703
6067005509,0.00401658307457
6067005510,0.00384790425091
6067005601,0.0172032168924
6067005605,0.0140646021027
6067005606,0.00268352368318
6067005701,0.0088856129384
6067005702,0.0020526424438
6067005801,0.0100077266526
6067005803,0.00814832049086
6067005804,0.00981090407204
6067005901,0.00621384260297
6067005903,0.00979996832402
6067005904,0.00812312552069
6067006002,0.00940893821948
6067006003,0.00546957478198
6067006004,0.00788173350264
6067006101,0.0137875588154
6067006102,0.0155816079846
6067006201,0.0130580940655
6067006202,0.0084375
6067006300,0.00914800327904
6067006400,0.00787723072829
