GEOID,prc_poplatino_final
6067000100,0.0932766409779
6067000200,0.142256113595
6067000300,0.101463414634
6067000400,0.246632124352
6067000500,0.230056179775
6067000600,0.19449081803
6067000700,0.265953067106
6067000800,0.103448275862
6067001101,0.151125401929
6067001200,0.114572864322
6067001300,0.159297789337
6067001400,0.142620917735
6067001500,0.108496459808
6067001600,0.108876329787
6067001700,0.15095715588
6067001800,0.150333835882
6067001900,0.216488153197
6067002000,0.185473411154
6067002100,0.252904725019
6067002200,0.286855317207
6067002300,0.0899014778325
6067002400,0.0791943236439
6067002500,0.113786875376
6067002600,0.257935060197
6067002700,0.290880085084
6067002800,0.416183294664
6067002900,0.296416938111
6067003000,0.330430797434
6067003101,0.494328358209
6067003102,0.432186234818
6067003202,0.30359168242
6067003203,0.290021759403
6067003204,0.338376646493
6067003300,0.133904528764
6067003400,0.21825044405
6067003501,0.293933463796
6067003502,0.287195851615
6067003600,0.515946843854
6067003700,0.499495967742
6067003800,0.267841252892
6067003900,0.195156695157
6067004001,0.180436087217
6067004004,0.154985664224
6067004005,0.141899699561
6067004006,0.195290858726
6067004008,0.169290251312
6067004009,0.148435859752
6067004010,0.162060797473
6067004011,0.0907868190989
6067004012,0.185555238367
6067004100,0.32637075718
6067004201,0.40731842543
6067004202,0.371558796718
6067004203,0.328113619811
6067004300,0.243624233294
6067004401,0.350805420609
6067004402,0.563139931741
6067004501,0.446335078534
6067004502,0.465567010309
6067004601,0.396542623383
6067004602,0.546228963225
6067004701,0.459332943242
6067004702,0.493577981651
6067004801,0.218222917753
6067004802,0.325067722442
6067004903,0.227647964181
6067004904,0.32711249352
6067004905,0.400933681175
6067004906,0.294228356336
6067005001,0.374894869638
6067005002,0.245025849914
6067005101,0.288298104162
6067005102,0.268867924528
6067005201,0.355430600769
6067005202,0.212507237985
6067005204,0.222321628271
6067005205,0.206763285024
6067005301,0.368421052632
6067005402,0.218209757972
6067005403,0.133392226148
6067005404,0.11329588015
6067005502,0.472813688213
6067005505,0.311410459588
6067005506,0.353515625
6067005508,0.176028837489
6067005509,0.248520710059
