geoid,countyfp,prc_youth_final,unreliable_flag
6067002300,67,0.0463263499557,0
6067002400,67,0.0656940511418,1
6067009004,67,0.0999165043139,0
6067008913,67,0.0853686372974,0
6067008910,67,0.0753209700428,0
6067008911,67,0.101643598616,0
6067009504,67,0.0911403136922,0
6067009322,67,0.11100685673,0
6067009503,67,0.134770022515,0
6067009502,67,0.131128991702,0
6067009006,67,0.0956309769361,0
6067009005,67,0.0738018229932,0
6067009108,67,0.0794148380355,0
6067009109,67,0.183576786419,0
6067009111,67,0.105015390186,0
6067007017,67,0.0533950617284,0
6067007015,67,0.0414381474711,0
6067008513,67,0.0399644760213,0
6067007107,67,0.0476891374742,0
6067002500,67,0.0469667318982,0
6067003900,67,0.0550161812298,0
6067004005,67,0.0952267303103,0
6067004004,67,0.075962855838,0
6067004001,67,0.098944591029,0
6067005403,67,0.250840336134,0
6067005402,67,0.277821625888,0
6067005404,67,0.131172545281,0
6067004401,67,0.0836611591922,0
6067004203,67,0.116497829233,0
6067004300,67,0.104670239528,0
6067004100,67,0.0822870388256,0
6067004202,67,0.138312586445,0
6067004012,67,0.109600679694,0
6067005502,67,0.122207864131,0
6067004006,67,0.0759745425617,0
6067005601,67,0.0688316993464,0
6067004402,67,0.104082068818,0
6067004601,67,0.127719119705,0
6067004602,67,0.079294260799,0
6067004801,67,0.107219061166,0
6067005201,67,0.691988130564,0
6067004904,67,0.0921588594705,0
6067004903,67,0.158496023138,0
6067004802,67,0.106427818757,0
6067005202,67,0.209926017263,0
6067005605,67,0.113636363636,0
6067003101,67,0.128683980158,0
6067005701,67,0.0809836065574,0
6067005606,67,0.0808396605628,0
6067005702,67,0.0286147843052,0
6067005801,67,0.0593235666486,0
6067002900,67,0.063042220937,0
6067003000,67,0.197661623109,0
6067003102,67,0.0910871694417,0
6067002800,67,0.116130900666,0
6067004905,67,0.105136550163,0
6067005101,67,0.0953824626866,0
6067005002,67,0.0562510160949,0
6067004906,67,0.0844430009743,0
6067002200,67,0.0739962651727,0
