geoid,countyfp10,pop10,aream,popdens,popprccounty
6067002300,67,3156,1213095.11,2.60160969571,0.00222443381252
6067002400,67,4387,3224723.94,1.36042653003,0.00309207577172
6067009004,67,3878,1381160.27,2.80778421175,0.00273331886089
6067008913,67,4145,4351395.05,0.952568073542,0.00292150765301
6067008910,67,3486,1694938.57,2.05671170726,0.00245702670166
6067008911,67,2295,547169.0,4.19431656399,0.00161757781994
6067009504,67,2059,2139408.59,0.96241550568,0.00145123866286
6067009322,67,13206,5092511.0,2.59321972991,0.0093079445273
6067009503,67,3067,3787270.66,0.809818012848,0.00216170421515
6067009502,67,7055,10404004.0,0.678104314454,0.00497255403908
6067009006,67,4940,2909434.33,1.69792455841,0.00348184506776
6067009005,67,3165,15745944.83,0.20100413371,0.00223077725495
6067009108,67,3693,1502477.21,2.45794077635,0.00260292587758
6067009109,67,4842,1756607.8,2.75644910606,0.00341277202796
6067009111,67,5539,1470876.74,3.76578121699,0.0039040364029
6067007017,67,2770,7511468.4,0.368769440606,0.00195237061492
6067007015,67,4997,5889091.87,0.848517922679,0.00352202020316
6067008513,67,2793,3360863.73,0.831036371713,0.00196858163447
6067007107,67,3372,14032448.08,0.240300194291,0.00237667643087
6067002500,67,1587,984310.99,1.61229531736,0.00111856034869
6067003900,67,3374,2418001.3,1.39536732259,0.00237808608474
6067004005,67,4185,2176904.64,1.92245444431,0.00294970073048
6067004004,67,6086,3007616.58,2.0235292093,0.00428957673733
6067004001,67,5755,3414422.28,1.68549743648,0.00405627902125
6067005403,67,2224,1306804.38,1.70186145229,0.00156753510743
6067005402,67,2641,5632841.83,0.468857475446,0.00186144794007
6067005404,67,5611,4143973.69,1.35401438806,0.00395478394235
6067004401,67,4122,1386521.74,2.97290686549,0.00290529663346
6067004203,67,5112,1637038.74,3.12271168366,0.00360307530089
6067004300,67,9553,3778403.21,2.52831671716,0.00673321172719
6067004100,67,5015,2033368.39,2.46635092031,0.00353470708802
6067004202,67,5538,1642386.95,3.37192158036,0.00390333157596
6067004012,67,3267,2033885.85,1.60628483649,0.00230266960251
6067005502,67,5477,2868040.47,1.9096662189,0.00386033713282
6067004006,67,4843,1959988.99,2.47093224743,0.00341347685489
6067005601,67,4822,2607714.85,1.8491285579,0.00339867548922
6067004402,67,4252,1240514.4,3.42761035261,0.00299692413525
6067004601,67,7614,2267753.77,3.35750737171,0.00536655229675
6067004602,67,5067,1316730.19,3.84816877329,0.00357135808873
6067004801,67,5899,1872221.72,3.15080203214,0.00415777410015
6067005201,67,3040,2049901.64,1.48299798423,0.00214267388785
6067004904,67,5675,2477086.64,2.29099778278,0.00399989286631
6067004903,67,6740,1775338.81,3.79645843488,0.00475053355399
6067004802,67,4485,1423395.45,3.15091635287,0.00316114881152
6067005202,67,3154,1873017.59,1.6839137106,0.00222302415865
6067005605,67,3124,1285812.89,2.42959144701,0.00220187935054
