stop_long,stop_lat,county,num_stops_per_day,score_std
-121.41783,38.450207,67,56,1.0
-121.427384,38.452549,67,56,1.0
-121.427223,38.452835,67,54,1.0
-121.418322,38.453234,67,276,1.0
-121.418841,38.453591,67,296,1.0
-121.418798,38.453876,67,174,1.0
-121.418659,38.454113,67,110,1.0
-121.418263,38.454141,67,278,1.0
-121.427811,38.454628,67,56,1.0
-121.42765,38.455243,67,54,1.0
-121.406134,38.456373,67,30,1.0
-121.404985,38.456696,67,32,1.0
-121.428246,38.456806,67,56,1.0
-121.427928,38.45681,67,54,1.0
-121.416569,38.457369,67,32,1.0
-121.41716,38.458358,67,234,1.0
-121.429365,38.458599,67,276,1.0
-121.405676,38.458672,67,30,1.0
-121.430422,38.458941,67,278,1.0
-121.417259,38.459496,67,236,1.0
-121.429215,38.459648,67,56,1.0
-121.406055,38.459942,67,32,1.0
-121.429421,38.460533,67,54,1.0
-121.417191,38.46072,67,234,1.0
-121.4301,38.46122,67,56,1.0
-121.408104,38.461574,67,30,1.0
-121.430283,38.462101,67,54,1.0
-121.413563,38.462193,67,236,1.0
-121.408444,38.462734,67,32,1.0
-121.448058,38.462785,67,276,1.0
-121.446445,38.46279,67,28,1.0
-121.448928,38.462823,67,56,1.0
-121.449009,38.463285,67,278,1.0
-121.431842,38.463788,67,32,1.0
-121.430801,38.463867,67,30,1.0
-121.431694,38.464218,67,56,1.0
-121.43506,38.46428,67,30,1.0
-121.431505,38.464535,67,54,1.0
-121.417481,38.464657,67,234,1.0
-121.414715,38.464688,67,236,1.0
-121.428146,38.465183,67,30,1.0
-121.428314,38.465233,67,32,1.0
-121.436512,38.465393,67,32,1.0
-121.440008,38.465833,67,30,1.0
-121.416347,38.465959,67,236,1.0
-121.440545,38.466242,67,32,1.0
-121.417822,38.466436,67,234,1.0
-121.447518,38.46666,67,28,1.0
-121.444062,38.466668,67,30,1.0
-121.44414,38.466978,67,32,1.0
-121.4471,38.467042,67,30,1.0
-121.427284,38.467064,67,32,1.0
-121.433212,38.467091,67,56,1.0
-121.427162,38.467659,67,30,1.0
-121.447617,38.467672,67,60,1.0
-121.433319,38.467754,67,54,1.0
-121.42672,38.468422,67,236,1.0
-121.423004,38.468525,67,236,1.0
-121.426613,38.468563,67,234,1.0
-121.423019,38.468712,67,234,1.0
-121.390134,38.468876,67,62,1.0
-121.419334,38.468941,67,236,1.0
-121.419777,38.469135,67,234,1.0
-121.390337,38.469485,67,30,1.0
-121.427376,38.469616,67,236,1.0
-121.427412,38.470347,67,32,1.0
-121.449028,38.470642,67,58,1.0
-121.426637,38.470665,67,30,1.0
-121.435303,38.471012,67,56,1.0
-121.424828,38.471317,67,32,1.0
-121.449068,38.471448,67,60,1.0
-121.435516,38.471863,67,54,1.0
-121.424538,38.471958,67,30,1.0
-121.427094,38.47234,67,234,1.0
-121.425583,38.472691,67,32,1.0
-121.390377,38.472902,67,30,1.0
-121.427338,38.472908,67,236,1.0
-121.390221,38.473019,67,32,1.0
-121.436478,38.473652,67,54,1.0
-121.436783,38.47374,67,56,1.0
-121.45026,38.473817,67,58,1.0
-121.42675,38.474079,67,88,1.0
-121.399477,38.474157,67,30,1.0
-121.430808,38.47417,67,150,1.0
-121.435915,38.474173,67,150,1.0
-121.396238,38.474178,67,30,1.0
-121.443505,38.474198,67,150,1.0
-121.44114,38.474198,67,150,1.0
-121.448212,38.474205,67,150,1.0
-121.454361,38.474239,67,180,1.0
-121.417481,38.474281,67,30,1.0
-121.399483,38.474281,67,32,1.0
-121.413643,38.474297,67,30,1.0
-121.396417,38.474313,67,32,1.0
-121.428711,38.474335,67,146,1.0
-121.404822,38.474353,67,30,1.0
-121.433647,38.474354,67,146,1.0
-121.437584,38.474377,67,146,1.0
-121.441391,38.474388,67,146,1.0
-121.444122,38.474396,67,146,1.0
-121.410919,38.474403,67,32,1.0
-121.414879,38.474419,67,32,1.0
-121.417702,38.474423,67,32,1.0
-121.404686,38.474453,67,32,1.0
-121.449219,38.474472,67,146,1.0
-121.455055,38.474506,67,178,1.0
-121.451273,38.47456,67,32,1.0
-121.458153,38.474644,67,180,1.0
-121.450378,38.474885,67,28,1.0
-121.408576,38.475036,67,32,1.0
-121.459206,38.475559,67,178,1.0
-121.419785,38.476357,67,88,1.0
-121.420075,38.476425,67,86,1.0
-121.532997,38.476799,67,8,0.5
-121.532501,38.476841,67,9,0.5
-121.521317,38.478169,67,9,0.5
-121.520729,38.478218,67,8,0.5
-121.408635,38.478374,67,32,1.0
-121.408966,38.478386,67,30,1.0
-121.451691,38.47847,67,28,1.0
